candidate_id,family_id,strategy_kind,top_n,frequency,score_family,liquidity_label,min_history_days,min_daily_dollar_volume,include_btc,overlay_set,risk_off_asset,initial_asset,stop_kind,stop_lookback,stop_confirm_days,ma_window,total_return,cagr,annualized_volatility,sharpe,sortino,max_drawdown,calmar,monthly_win_rate,annualized_turnover,avg_turnover_per_rebalance,average_holdings,multiple,median_rolling_start_multiple,cost_survival_100bps,stability_score,trial_count_estimate,best_rolling_3y_multiple,median_rolling_3y_multiple,hundred_x_hit_rate_3y,best_rolling_5y_multiple,median_rolling_5y_multiple,hundred_x_hit_rate_5y,raw_convexity_score,robust_convexity_score
focus__medium__14D__ctrend_lite_relative_strength__btc1__ma100__c1__cash,ctrend_lite,ctrend_lite,1,14D,ctrend_lite_relative_strength,medium,90,25000000,True,btc_ma_defensive,cash,cash,ma,,1,100,0.5024581524485621,0.09001395827839342,0.7811006153753804,0.4677034834478561,0.9323753416105416,-0.763128635920188,0.11795384688959248,0.2982456140350877,25.19431554524362,1.4875,0.4353623188405797,1.502458152448562,1.502458152448562,0.0,0.0,192,0.0,0.0,0.0,0.0,0.0,0.0,-5.112089613833393,-0.04309212442916728
focus__strict__14D__ctrend_lite_acceleration__btc0__ma100__c2__cash,ctrend_lite,ctrend_lite,1,14D,ctrend_lite_acceleration,strict,90,25000000,False,btc_ma_defensive,cash,cash,ma,,2,100,0.427983388163687,0.07834446271375883,0.6318829691891583,0.41649772243330024,0.7391701845340033,-0.6422051043377123,0.12199289944067516,0.3684210526315789,26.888051044083525,1.548780487804878,0.4602898550724638,1.427983388163687,1.427983388163687,0.0,0.0,192,0.0,0.0,0.0,0.0,0.0,0.0,-5.116828770977248,-0.035006077116243754
focus__medium__14D__ctrend_lite_acceleration__btc0__ma100__c2__cash,ctrend_lite,ctrend_lite,1,14D,ctrend_lite_acceleration,medium,90,25000000,False,btc_ma_defensive,cash,cash,ma,,2,100,0.427983388163687,0.07834446271375883,0.6318829691891583,0.41649772243330024,0.7391701845340033,-0.6422051043377123,0.12199289944067516,0.3684210526315789,26.888051044083525,1.548780487804878,0.4602898550724638,1.427983388163687,1.427983388163687,0.0,0.0,192,0.0,0.0,0.0,0.0,0.0,0.0,-5.116828770977248,-0.035006077116243754
focus__strict__14D__ctrend_lite_acceleration__btc1__ma125__c2__cash,ctrend_lite,ctrend_lite,1,14D,ctrend_lite_acceleration,strict,90,25000000,True,btc_ma_defensive,cash,cash,ma,,2,125,0.4059173038011803,0.07479488432838144,0.633648705892345,0.41054196930155695,0.7431344404836936,-0.6344178682265014,0.11789529909910733,0.3508771929824561,27.734918793503482,1.6375,0.4915942028985507,1.4059173038011803,1.4059173038011803,0.0,0.0,192,0.0,0.0,0.0,0.0,0.0,0.0,-5.122668650713114,-0.038544040537075816
focus__strict__14D__ctrend_lite_relative_strength__btc1__ma150__c1__cash,ctrend_lite,ctrend_lite,1,14D,ctrend_lite_relative_strength,strict,90,25000000,True,btc_ma_defensive,cash,cash,ma,,1,150,0.43751642310289873,0.07986459521608014,0.8206363454953767,0.4714287678795762,0.9283666023091591,-0.7684824812916645,0.1039250694197268,0.2807017543859649,25.617749419953597,1.6575342465753424,0.49971014492753624,1.4375164231028987,1.4375164231028987,0.0,0.0,192,0.0,0.0,0.0,0.0,0.0,0.0,-5.132776218154249,-0.057630295450907656
focus__medium__14D__ctrend_lite_relative_strength__btc1__ma150__c1__cash,ctrend_lite,ctrend_lite,1,14D,ctrend_lite_relative_strength,medium,90,25000000,True,btc_ma_defensive,cash,cash,ma,,1,150,0.43751642310289873,0.07986459521608014,0.8206363454953767,0.4714287678795762,0.9283666023091591,-0.7684824812916645,0.1039250694197268,0.2807017543859649,25.617749419953597,1.6575342465753424,0.49971014492753624,1.4375164231028987,1.4375164231028987,0.0,0.0,192,0.0,0.0,0.0,0.0,0.0,0.0,-5.132776218154249,-0.057630295450907656
focus__strict__14D__ctrend_lite_balanced__btc1__ma75__c2__cash,ctrend_lite,ctrend_lite,1,14D,ctrend_lite_balanced,strict,90,25000000,True,btc_ma_defensive,cash,cash,ma,,2,75,0.4391255710146238,0.08012040463503856,0.7907992136771104,0.4616444834934737,0.8884504532970932,-0.7756286939911488,0.10329737057916641,0.2807017543859649,24.770881670533644,1.481012658227848,0.4255072463768116,1.4391255710146238,1.4391255710146238,0.0,0.0,192,0.0,0.0,0.0,0.0,0.0,0.0,-5.133344704279485,-0.05830047359630332
focus__medium__14D__ctrend_lite_balanced__btc1__ma75__c2__cash,ctrend_lite,ctrend_lite,1,14D,ctrend_lite_balanced,medium,90,25000000,True,btc_ma_defensive,cash,cash,ma,,2,75,0.4391255710146238,0.08012040463503856,0.7907992136771104,0.4616444834934737,0.8884504532970932,-0.7756286939911488,0.10329737057916641,0.2807017543859649,24.770881670533644,1.481012658227848,0.4255072463768116,1.4391255710146238,1.4391255710146238,0.0,0.0,192,0.0,0.0,0.0,0.0,0.0,0.0,-5.133344704279485,-0.05830047359630332
focus__strict__14D__ctrend_lite_relative_strength__btc1__ma125__c1__cash,ctrend_lite,ctrend_lite,1,14D,ctrend_lite_relative_strength,strict,90,25000000,True,btc_ma_defensive,cash,cash,ma,,1,125,0.3394845498065753,0.0638364414963184,0.8072705394442663,0.4482688560160478,0.8772883828191099,-0.7458546561337376,0.08558831264421579,0.3333333333333333,24.770881670533644,1.6027397260273972,0.4701449275362319,1.3394845498065753,1.3394845498065753,0.0,0.0,192,0.0,0.0,0.0,0.0,0.0,0.0,-5.161166463619982,-0.07387090937089337
focus__medium__14D__ctrend_lite_relative_strength__btc1__ma125__c1__cash,ctrend_lite,ctrend_lite,1,14D,ctrend_lite_relative_strength,medium,90,25000000,True,btc_ma_defensive,cash,cash,ma,,1,125,0.3394845498065753,0.0638364414963184,0.8072705394442663,0.4482688560160478,0.8772883828191099,-0.7458546561337376,0.08558831264421579,0.3333333333333333,24.770881670533644,1.6027397260273972,0.4701449275362319,1.3394845498065753,1.3394845498065753,0.0,0.0,192,0.0,0.0,0.0,0.0,0.0,0.0,-5.161166463619982,-0.07387090937089337
focus__strict__14D__ctrend_lite_relative_strength__btc0__ma100__c2__cash,ctrend_lite,ctrend_lite,1,14D,ctrend_lite_relative_strength,strict,90,25000000,False,btc_ma_defensive,cash,cash,ma,,2,100,0.3550645740096967,0.06644427033405154,0.7456800250664254,0.4387169028730578,0.8197825790871172,-0.7869219404105872,0.084435656094915,0.2982456140350877,24.770881670533644,1.5194805194805194,0.4602898550724638,1.3550645740096967,1.3550645740096967,0.0,0.0,192,0.0,0.0,0.0,0.0,0.0,0.0,-5.162122651116851,-0.07861509612982455
focus__medium__14D__ctrend_lite_acceleration__btc0__ma125__c2__cash,ctrend_lite,ctrend_lite,1,14D,ctrend_lite_acceleration,medium,90,25000000,False,btc_ma_defensive,cash,cash,ma,,2,125,0.2895200986984712,0.05530866093502085,0.6410943010071103,0.38598882077202173,0.6843690831519174,-0.6433692405677459,0.08596721361160088,0.3684210526315789,26.888051044083525,1.6282051282051282,0.4915942028985507,1.2895200986984712,1.2895200986984712,0.0,0.0,192,0.0,0.0,0.0,0.0,0.0,0.0,-5.162900285631308,-0.06583683384195352
focus__medium__21D__ctrend_lite_relative_strength__btc0__ma125__c1__cash,ctrend_lite,ctrend_lite,1,21D,ctrend_lite_relative_strength,medium,90,25000000,False,btc_ma_defensive,cash,cash,ma,,1,125,0.34074408512247834,0.064048151904744,0.7006353386062534,0.41982462780089075,0.7679617591904748,-0.8297528527280945,0.07718943260534017,0.2631578947368421,15.87877030162413,1.5625,0.4318840579710145,1.3407440851224783,1.3407440851224783,0.0,0.0,192,0.0,0.0,0.0,0.0,0.0,0.0,-5.173328250882123,-0.08592253152063506
focus__strict__14D__ctrend_lite_acceleration__btc0__ma125__c2__cash,ctrend_lite,ctrend_lite,1,14D,ctrend_lite_acceleration,strict,90,25000000,False,btc_ma_defensive,cash,cash,ma,,2,125,0.1900113567968249,0.03751754304993926,0.6449591678057569,0.3616487124718186,0.6347402547594888,-0.6433692405677459,0.05831416966224812,0.3684210526315789,27.311484918793504,1.6329113924050633,0.4915942028985507,1.190011356796825,1.190011356796825,0.0,0.0,192,0.0,0.0,0.0,0.0,0.0,0.0,-5.199038562549675,-0.09014073539155319
