base_id,family,kind,frequency,regime_mode,top_n,score_family,concentrated,overlay_id,target_volatility,vol_window,trend_window,asset_trend_window,risk_on_kind,risk_on_window,candidate_id,total_return,cagr,annualized_volatility,sharpe,sortino,max_drawdown,calmar,monthly_win_rate,annualized_turnover,avg_turnover_per_rebalance,average_holdings,avg_gross_exposure,max_gross_exposure,beats_btc_total,beats_btc_sharpe
BTC_BH,benchmark,standard,monthly,always_on,,,True,none,,30,,,none,100,BTC_BH__none,1.9423728677091403,0.20751654241387585,0.5707656002669484,0.6154488731871423,1.0381746407010286,-0.7663456451340276,0.2707871359764599,0.5507246376811594,0.17472474868358065,1.0,0.9995215311004785,0.9995215311004785,1.0,False,False
BTC_BH,benchmark,standard,monthly,always_on,,,True,vol30,0.3,30,,,none,100,BTC_BH__vol30,0.9335329343159904,0.12210295687273032,0.33698655318185283,0.5100853797108554,0.8548341838567225,-0.5210556965931963,0.23433762968349184,0.5507246376811594,0.0838877920082893,0.48011396576799004,0.9995215311004785,0.602186373009026,0.7968352605025474,False,False
BTC_BH,benchmark,standard,monthly,always_on,,,True,vol40,0.4,30,,,none,100,BTC_BH__vol40,1.2443113840202984,0.1517093923345858,0.414693414621081,0.5476238439435136,0.9207002337920706,-0.6158447430546651,0.2463435696180318,0.5507246376811594,0.11185038934438574,0.6401519543573201,0.9995215311004785,0.7368067814053332,0.8831124965157269,False,False
BTC_BH,benchmark,standard,monthly,always_on,,,True,vol50,0.5,30,,,none,100,BTC_BH__vol50,1.5548902361907713,0.17808876257581807,0.48604944212918216,0.5798650712593086,0.9768641402216424,-0.6913004507324607,0.2576141276736126,0.5507246376811594,0.1398129866804822,0.8001899429466501,0.9995215311004785,0.8583819264461702,0.9444699119353177,False,False
BTC_BH,benchmark,standard,monthly,always_on,,,True,vol60,0.6,30,,,none,100,BTC_BH__vol60,1.8652694908273761,0.20192708735720033,0.5540777026767482,0.6086627700638735,1.0265456887457796,-0.7527903285101978,0.2682381530549444,0.5507246376811594,0.1677755840165786,0.9602279315359801,0.9995215311004785,0.9720400272889705,0.9903416075272138,False,False
BTC_BH,benchmark,standard,monthly,always_on,,,True,vol80,0.8,30,,,none,100,BTC_BH__vol80,1.9423728677091403,0.20751654241387585,0.5707656002669484,0.6154488731871423,1.0381746407010286,-0.7663456451340276,0.2707871359764599,0.5507246376811594,0.17472474868358065,1.0,0.9995215311004785,0.9995215311004785,1.0,False,False
BTC_BH,benchmark,standard,monthly,always_on,,,True,vol100,1.0,30,,,none,100,BTC_BH__vol100,1.9423728677091403,0.20751654241387585,0.5707656002669484,0.6154488731871423,1.0381746407010286,-0.7663456451340276,0.2707871359764599,0.5507246376811594,0.17472474868358065,1.0,0.9995215311004785,0.9995215311004785,1.0,False,False
BTC_BH,benchmark,standard,monthly,always_on,,,True,trend100,,30,100.0,,none,100,BTC_BH__trend100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
BTC_BH,benchmark,standard,monthly,always_on,,,True,trend200,,30,200.0,,none,100,BTC_BH__trend200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
BTC_BH,benchmark,standard,monthly,always_on,,,True,vol50_trend100,0.5,30,100.0,,none,100,BTC_BH__vol50_trend100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
