candidate_id,period,total_return,cagr,vol,sharpe,max_drawdown
BTC_BH__none,2021,0.5732822995189288,0.5752421868787907,0.8027133980820164,0.9655279240520476,-0.5306185104836724
BTC_BH__none,2022,-0.642652443632367,-0.6436612566064981,0.6341851268572103,-1.2993003129555183,-0.6689381488321313
BTC_BH__none,2023,1.5541741949459387,1.5607626864153494,0.43702707534342916,2.3638736148799153,-0.20057771659603996
BTC_BH__none,2024,1.2105475550097968,1.2105475550097968,0.53477112494001,1.745604645261733,-0.2618203662635511
BTC_BH__none,2025,-0.06336752914187327,-0.0635359645504634,0.41863125103741644,0.0527645113514418,-0.3214698102977003
BTC_BH__none,2026_ytd,-0.01035223272214647,-0.01433826428788143,0.4687590975999315,0.20396713372729255,-0.3958602833209408
BTC_BH__none,2023_onward,4.233596471339013,0.5597509200381825,0.4674453259800913,1.1829592066709866,-0.5305998261659732
BTC_BH__none,2024_onward,1.049036624712195,0.3013738046239447,0.47778761251531804,0.7887369084609046,-0.5305998261659721
BTC_BH__none,2025_onward,-0.0730637664553151,-0.04313858505761703,0.44037012607887893,0.12023366799285834,-0.5305998261659727
BTC_BH__vol30,2021,0.2755286000039574,0.2763816695063328,0.464293840048986,0.7565278553971183,-0.35353878533048366
BTC_BH__vol30,2022,-0.38096861124624093,-0.3817836978384488,0.29902662663565616,-1.4526822090071514,-0.40128077345925917
BTC_BH__vol30,2023,0.5318520908705584,0.5336479242430159,0.2028960204124114,2.2040450805102707,-0.09976363536881705
BTC_BH__vol30,2024,0.6907274431278856,0.6907274431278856,0.3565561803103953,1.6469797024950337,-0.18242512725380045
BTC_BH__vol30,2025,-0.04727351440241678,-0.04740025895386324,0.3142674554615589,0.0030122585975077593,-0.2561584800322717
BTC_BH__vol30,2026_ytd,-0.007592522963069448,-0.010521613531655483,0.32406841546302895,0.12973393269562036,-0.2980536384521494
BTC_BH__vol30,2023_onward,1.4487739807455662,0.27193166536753877,0.303862180556032,0.9427648543995311,-0.4228006507055677
BTC_BH__vol30,2024_onward,0.5985707728178418,0.1879851117291349,0.3332656119771835,0.6826761536156668,-0.4228006507055678
BTC_BH__vol30,2025_onward,-0.054507112121840895,-0.03205131011448836,0.318419562794676,0.05714228317031955,-0.42280065070556805
BTC_BH__vol40,2021,0.36725335668372283,0.3684288126448638,0.5808136571245093,0.8291233167743852,-0.42111966171916426
BTC_BH__vol40,2022,-0.47372899926167744,-0.4746562963832769,0.3972607248576037,-1.4146208158334812,-0.4968860638191205
BTC_BH__vol40,2023,0.7779198946875212,0.7807328139406182,0.2722230011604278,2.2505573023121723,-0.1315616189042904
BTC_BH__vol40,2024,0.8704731158417831,0.8704731158417831,0.42396300631363704,1.6845181930325808,-0.2135680336999638
BTC_BH__vol40,2025,-0.05385036765736928,-0.05399424047002499,0.35694351467331537,0.023321566720793253,-0.28389400672643905
BTC_BH__vol40,2026_ytd,-0.00870894024638158,-0.012066103810523532,0.3804101508139328,0.15866883544087076,-0.3382404794868865
