weight_name,momentum_rank,ret_14_rank,ret_21_rank,accel_rank,near_high_rank,multiple,cagr,sharpe,mdd,turnover
all5_032,0.6121324303901113,0.01972234081607625,0.23966555803573616,0.002181096805876,0.1262985739522001,229.82579397599778,3.904937231870054,2.2802905175389765,-0.5078751284617214,37.21505043535211
seed,0.55,0.08,0.24,0.02,0.11,226.85512762462315,3.8863093756103417,2.2643448256876972,-0.5373737925034298,38.3875943591654
all5_000,0.49324123557743643,0.09869694710077645,0.2902638932913156,0.007347147238387342,0.1104507767920843,226.85512762462315,3.8863093756103417,2.2643448256876972,-0.5373737925034298,38.3875943591654
all5_020,0.5243618469010995,0.08019698259077158,0.25817706627030723,0.02342281128390772,0.11384129295391378,226.85512762462315,3.8863093756103417,2.2643448256876972,-0.5373737925034298,38.3875943591654
all5_132,0.641655062172356,0.056952487873463395,0.15881631029744425,0.010135296092088728,0.13244084356464755,224.31748159075127,3.8702596391198902,2.271756788832114,-0.5078751284617209,37.215085007822225
all5_172,0.6633613259586693,0.032186656015129086,0.15063120603559624,0.021331042399727104,0.13248976959087835,223.89853218543254,3.8675975903535758,2.271076224251194,-0.5078751284617204,37.215085007822225
all5_137,0.6231498298558109,0.06151617591979178,0.2551773159571992,0.002430857951235301,0.05772582031596275,221.67000758368027,3.8533777622487264,2.2973836435473522,-0.5078751284617204,37.8010069198199
all5_120,0.4904192326774397,0.10308701979601743,0.37500531881478255,0.0034257801350535597,0.02806264857670682,217.9822073996686,3.8296227278538915,2.2883791134546683,-0.5078751284617209,38.387112268884316
all5_124,0.5351851126890685,0.014074273804101391,0.333870416514237,0.00572466805532641,0.11114552893726665,213.0849684306899,3.7976334646263403,2.261763383071854,-0.5078751284617213,38.38729345369462
all5_113,0.6583995581646999,0.11379691818551678,0.1168929771569706,0.006757462282537442,0.10415308421027544,210.87157314727804,3.7830044876777205,2.241458703017763,-0.5373737925034296,37.2153670694006
