weight_name,momentum_rank,ret_14_rank,ret_21_rank,accel_rank,near_high_rank,multiple,cagr,sharpe,mdd,turnover
feat5_155,0.5172297021957478,0.07690180940331547,0.23782333725128443,0.01634773107428627,0.15169742007536613,153.0528106150685,3.355079186407586,2.1472311624499856,-0.5012335051585705,46.00630781840199
feat5_280,0.6696043746769472,0.11678990304275542,0.11577257775779959,0.006756616560032121,0.09107652796246561,143.05756027534994,3.2699012015256557,2.1237890037193705,-0.5448362135262146,44.83432983246611
feat5_229,0.554214732058257,0.09710099440250837,0.18241706777926017,0.03049609253972763,0.135771113220247,139.64101057939334,3.2398212494036915,2.1147652389893272,-0.5012335051585703,45.4201858777012
feat5_171,0.5962723425138187,0.10464066094306217,0.07221778536840881,0.017932011390364343,0.20893719978434608,117.80356825298436,3.0341074533012247,2.0357870991412494,-0.5657737457775343,46.00637119911165
feat5_242,0.6515481570382626,0.1353086457898177,0.026770277562950296,0.041981407547554715,0.14439151206141468,117.80356825298436,3.0341074533012247,2.0357870991412494,-0.5657737457775343,46.00637119911165
feat5_213,0.4988011097905593,0.15261799183431254,0.22983079133897885,0.036278712095449334,0.08247139494069984,113.86770688623804,2.9942133402634883,2.060671271249311,-0.5012335051585703,46.00639092737861
feat5_095,0.6167134448523567,0.02072353197294235,0.10809172876863822,0.11643909048115882,0.13803220392490392,111.66530442311418,2.9714623612066693,2.0446558259239938,-0.523044833998564,45.41995270124311
feat5_206,0.6798846243514084,0.0453158446919772,0.09233166047162983,0.020830802572191314,0.16163706791279306,111.64834330531772,2.971285924767558,2.0503865093433276,-0.5907571982005388,45.42005796018419
feat5_093,0.6332844780291587,0.15971057904956124,0.10429018574877573,0.016528676412430016,0.08618608076007439,103.88964173903916,2.8885057813770674,2.0278159092002315,-0.5012335051585702,45.42026898667782
feat5_234,0.5408763788961819,0.08058363899949682,0.23485678785108016,0.06970131530757322,0.07398187894566785,97.32103280030599,2.814931443596408,2.019068154819712,-0.5012335051585702,46.592365434644826
feat5_060,0.48520597242950164,0.10671320382251316,0.18718488657545085,0.07361953437851,0.1472764027940243,87.11523078265029,2.6933064055319345,1.948781222340078,-0.5012335051585703,46.006715455442766
feat5_266,0.5015297896226343,0.08570822904531207,0.20056022296360973,0.07484237479540012,0.1373593835730438,87.11523078265029,2.6933064055319345,1.948781222340078,-0.5012335051585703,46.006715455442766
feat5_199,0.5544858382559896,0.11023403164474596,0.0966931347363997,0.09552949818563285,0.143057497177232,79.48144705386242,2.5955624016218657,1.916465736730399,-0.5012335051585705,45.420593514741974
feat5_292,0.5561168504372683,0.07849294955017835,0.1342241773404998,0.083888758983061,0.14727726368899252,79.48144705386242,2.5955624016218657,1.916465736730399,-0.5012335051585705,45.420593514741974
feat5_262,0.41255498266621377,0.11406977631171704,0.2663032097692159,0.06759145224260092,0.1394805790102523,76.68852832049244,2.5581416632867295,1.9024079310557904,-0.5012335051585705,46.00680380692829
feat5_281,0.510818761850637,0.22107646038608939,0.07242300726557614,0.02908778684914261,0.16659398364855468,71.76365138270319,2.489736133538317,1.8788330067132684,-0.5012335051585706,46.006943904076216
feat5_227,0.5264331994938836,0.13083022545405798,0.13343891234836616,0.07586158765266797,0.1334360750510243,69.96842169369289,2.4639748180642633,1.8701730771971827,-0.5012335051585703,45.42068186622748
feat5_012,0.49330802354171793,0.18629683690686294,0.12433684279755379,0.06081979638466488,0.1352385003692005,68.17768074528043,2.4378076982485664,1.8599470414581025,-0.5012335051585705,46.006943904076216
