universe,min_history_days,min_daily_dollar_volume,earliest_universe_date,weight_name,stop_lb,seed_asset,risk_off_asset,multiple,cagr,sharpe,max_drawdown,annualized_turnover
medium,60,10000000,2023-01-30,short_accel,13,btc,btc,54.21162142065755,2.2148924310206337,1.8751077172462767,-0.5012379292641214,35.154832653532914
medium,60,10000000,2023-01-30,short_accel,13,eth,btc,54.21162142065755,2.2148924310206337,1.8751077172462767,-0.5012379292641214,35.154832653532914
medium,60,10000000,2023-01-30,short_accel,13,cash,btc,54.21162142065755,2.2148924310206337,1.8751077172462767,-0.5012379292641214,35.154832653532914
loose,30,5000000,2022-12-31,short_accel,13,btc,btc,52.550599008796404,2.1857656260820026,1.8679254837949266,-0.501237929264122,35.740869755148154
loose,30,5000000,2022-12-31,short_accel,13,eth,btc,52.550599008796404,2.1857656260820026,1.8679254837949266,-0.501237929264122,35.740869755148154
loose,30,5000000,2022-12-31,short_accel,13,cash,btc,52.550599008796404,2.1857656260820026,1.8679254837949266,-0.501237929264122,35.740869755148154
medium,60,10000000,2023-01-30,breakout,13,btc,btc,50.01448713865451,2.140010274144646,1.8315816924071,-0.5014878515484151,35.74084082197638
medium,60,10000000,2023-01-30,breakout,13,eth,btc,50.01448713865451,2.140010274144646,1.8315816924071,-0.5014878515484151,35.74084082197638
medium,60,10000000,2023-01-30,breakout,13,cash,btc,50.01448713865451,2.140010274144646,1.8315816924071,-0.5014878515484151,35.74084082197638
medium,60,10000000,2023-01-30,short_accel,12,btc,btc,49.79150156645766,2.135909399642571,1.8617376576807338,-0.4814260089176915,35.15573402086555
medium,60,10000000,2023-01-30,short_accel,12,eth,btc,49.79150156645766,2.135909399642571,1.8617376576807338,-0.4814260089176915,35.15573402086555
medium,60,10000000,2023-01-30,short_accel,12,cash,btc,49.79150156645766,2.135909399642571,1.8617376576807338,-0.4814260089176915,35.15573402086555
medium,60,10000000,2023-01-30,breakout,12,btc,btc,49.08328613447009,2.122797985354548,1.8406274178390176,-0.48142600891769083,35.74165494837571
medium,60,10000000,2023-01-30,breakout,12,eth,btc,49.08328613447009,2.122797985354548,1.8406274178390176,-0.48142600891769083,35.74165494837571
medium,60,10000000,2023-01-30,breakout,12,cash,btc,49.08328613447009,2.122797985354548,1.8406274178390176,-0.48142600891769083,35.74165494837571
loose,30,5000000,2022-12-31,balanced,13,btc,btc,49.055052123724494,2.1222725134371485,1.8268770822466145,-0.5012379292641218,35.74080348708149
loose,30,5000000,2022-12-31,balanced,13,eth,btc,49.055052123724494,2.1222725134371485,1.8268770822466145,-0.5012379292641218,35.74080348708149
loose,30,5000000,2022-12-31,balanced,13,cash,btc,49.055052123724494,2.1222725134371485,1.8268770822466145,-0.5012379292641218,35.74080348708149
loose,30,5000000,2022-12-31,short_accel,12,btc,btc,43.66011405425082,2.017673551181613,1.8416713558299753,-0.48646985292617595,35.74159804446095
loose,30,5000000,2022-12-31,short_accel,12,eth,btc,43.66011405425082,2.017673551181613,1.8416713558299753,-0.48646985292617595,35.74159804446095
loose,30,5000000,2022-12-31,short_accel,12,cash,btc,43.66011405425082,2.017673551181613,1.8416713558299753,-0.48646985292617595,35.74159804446095
