weight_name,freq,stop_lb,momentum_rank,ret_21_rank,ret_42_rank,near_high_rank,multiple,cagr,sharpe,mdd,turnover,monthly_win_rate
rand_029,14D,12,0.6700171935588621,0.19625432151545258,0.015615764059367765,0.11811272086631759,106.83515095839223,2.920431511128059,2.0228974311100205,-0.5710243186752325,43.662581147482726,0.5714285714285714
rand_012,14D,12,0.5553691553837029,0.20502379926659,0.13320570074119079,0.10640134460851636,105.07190429903919,2.9013960528967773,2.008282128310793,-0.571024318675232,44.834067977716025,0.5714285714285714
rand_038,14D,12,0.5522124982162608,0.25344301321821333,0.09538118099705041,0.09896330756847545,102.76344031000897,2.8761298617767372,2.0196424357992653,-0.5710243186752322,44.83460480105517,0.5714285714285714
rand_049,14D,12,0.3583395194482463,0.27700580425281024,0.15586174946062378,0.20879292683831963,97.14755285126473,2.8129413126431073,1.9820093705258026,-0.523044834047635,45.420486684556195,0.5714285714285714
rand_000,14D,12,0.3815369261417054,0.30918048896875655,0.14498156867626788,0.16430101621327,96.27866088770563,2.8029355242898575,1.9924493817415883,-0.5230448340476345,45.420563400994475,0.5714285714285714
rand_033,14D,12,0.38700536824821247,0.27529853261319426,0.15586017107329464,0.18183592806529875,96.27866088770563,2.8029355242898575,1.9924493817415883,-0.5230448340476345,45.420563400994475,0.5714285714285714
rand_040,14D,12,0.30691156489246846,0.32134755512103275,0.21288990066480842,0.15885097932169023,96.27866088770563,2.8029355242898575,1.9924493817415883,-0.5230448340476345,45.420563400994475,0.5714285714285714
rand_027,14D,12,0.47613363039613404,0.19327838367915878,0.12030075484249224,0.21028723108221486,93.247695681958,2.7675239109372605,1.9675277336964447,-0.5230448340476339,46.00665124420677,0.5714285714285714
rand_059,14D,12,0.48079326823629975,0.21029231253031727,0.08880246134205884,0.22011195789132437,93.247695681958,2.7675239109372605,1.9675277336964447,-0.5230448340476339,46.00665124420677,0.5714285714285714
rand_035,14D,12,0.295145806874128,0.3124482264359952,0.14993050563797422,0.24247546105190265,92.808692303988,2.762327676832456,1.9851489916525236,-0.5181332066235624,45.42020149317534,0.5952380952380952
rand_001,14D,12,0.4528797412513354,0.18249839730207498,0.16989101683052155,0.19473084461606807,92.41368421156584,2.757637305354419,1.9777928572479755,-0.5230448340476339,46.006727960645065,0.5714285714285714
rand_060,14D,12,0.5074841410429314,0.18090273019951914,0.14579866795474863,0.16581446080280082,92.41368421156584,2.757637305354419,1.9777928572479755,-0.5230448340476339,46.006727960645065,0.5714285714285714
rand_069,14D,12,0.4483483732293588,0.240360908497548,0.16020118527310717,0.1510895329999862,92.41368421156584,2.757637305354419,1.9777928572479755,-0.5230448340476339,46.006727960645065,0.5714285714285714
rand_005,14D,12,0.23842754198838018,0.2204348961323182,0.26299625637781343,0.2781413055014881,92.40983822519388,2.7575915680054224,1.9840468929493338,-0.5181332066235629,45.42017592105614,0.5952380952380952
rand_029,14D,13,0.6700171935588621,0.19625432151545258,0.015615764059367765,0.11811272086631759,91.06483764945209,2.741513229891314,1.9357729345513623,-0.6668942011341394,43.66262841910437,0.5714285714285714
rand_012,14D,13,0.5553691553837029,0.20502379926659,0.13320570074119079,0.10640134460851636,90.75938246936718,2.7378383904864254,1.9273231376057438,-0.6668942011341393,44.834115373645304,0.5714285714285714
rand_038,14D,13,0.5522124982162608,0.25344301321821333,0.09538118099705041,0.09896330756847545,90.46218472546205,2.734254485207056,1.9518077523980684,-0.666894201134139,44.83465231485978,0.5714285714285714
rand_056,14D,12,0.25065912410032054,0.34102995392173574,0.26909987301207977,0.13921104896586403,89.44724208691262,2.7219521372945343,1.9710701892373945,-0.5230448340476339,45.42066192133765,0.5714285714285714
balanced,14D,12,0.4,0.2,0.2,0.2,87.90736905744234,2.703096986139587,1.9469368318418725,-0.523044834047634,46.00665124420677,0.5714285714285714
short_accel,14D,12,0.35,0.35,0.15,0.15,86.91128141253733,2.690775465143264,1.9629048363804034,-0.5230448339985635,46.00656762114629,0.5714285714285714
rand_022,14D,12,0.2944513030687452,0.4029843859058124,0.08747436856507511,0.2150899424603672,86.15815289683785,2.6813928318161375,1.9450913608297684,-0.5230448339985645,45.42046644220536,0.5714285714285714
rand_000,14D,13,0.3815369261417054,0.30918048896875655,0.14498156867626788,0.16430101621327,86.04163458540235,2.6799360445665985,1.9217812400452174,-0.6337535406177152,45.42066255554907,0.5714285714285714
