weight_name,momentum_rank,ret_21_rank,ret_42_rank,near_high_rank,multiple,cagr,sharpe,mdd,turnover
best_prev,0.607681,0.268948,0.017319,0.106052,224.02414365193303,3.8683961085381524,2.2753040086613283,-0.5078751285123513,39.559604762317655
c2_215,0.6254820195343124,0.27297369747776395,0.0011396606484288447,0.1004046223394947,198.6823735343155,3.700433879409207,2.2394593736316253,-0.5078751284617207,39.55958452054434
c2_274,0.6618175272109236,0.20016975630573183,0.019371287993798742,0.11864142848954608,173.272459932083,3.516028110902961,2.1922801648234853,-0.507875128512352,38.38766427427353
c2_226,0.5367753209477736,0.3756594812878076,0.01079690581241052,0.0767682919520084,157.88587292958633,3.394859013447581,2.1827195393230445,-0.5078751284617203,39.55945728416111
c2_051,0.5827841044618263,0.3164162690918861,0.007089953768099784,0.09370967267818782,157.76638709083264,3.3938860137692943,2.1873590481886027,-0.5078751284617212,39.55957324041528
c2_053,0.6396210827840358,0.2780092039702097,0.0032665078743901645,0.07910320537136424,152.91089516869482,3.3538977639995,2.1630308868632837,-0.5078751284617206,40.14522573817702
c2_113,0.6229725527175886,0.27045471489164985,0.02691297432633164,0.07965975806443007,152.91089516869482,3.3538977639995,2.1630308868632837,-0.5078751284617206,40.14522573817702
momish,0.62,0.26,0.02,0.1,148.3151537397406,3.3152124007609354,2.1561814336794094,-0.5078751285123522,40.14526170852805
c2_014,0.45032087332990767,0.2920392850767786,0.10655934659474683,0.1510804949985669,146.3227782849865,3.298177446894891,2.152186731612312,-0.507875128512352,40.14570655781789
c2_029,0.7081085902062679,0.17629274369284592,0.0010223878575892887,0.11457627824329693,144.46581797680463,3.282151899023786,2.125707677762272,-0.5078751285123517,38.973332500612976
c2_171,0.6793363434691041,0.1913392910560332,0.01834567647464782,0.11097868900021488,144.46581797680463,3.282151899023786,2.125707677762272,-0.5078751285123517,38.973332500612976
c2_228,0.6637166046948783,0.18633839400946603,0.042847258062677536,0.10709774323297812,144.46581797680463,3.282151899023786,2.125707677762272,-0.5078751285123517,38.973332500612976
