lookback,confirm,multiple,cagr,sharpe,mdd,turnover
11,2,224.02414365193303,3.8683961085381524,2.2753040086613283,-0.5078751285123513,39.559604762317655
10,4,170.8761700680447,3.497671981647188,2.1047684958791955,-0.4735853110142877,37.800813321093955
12,2,167.81031186231934,3.473919291185905,2.1060752150381,-0.4625944203424207,38.973073592461574
10,3,164.82541335394842,3.4504969966669075,2.1443828680992403,-0.4266695250893464,39.55961024123685
12,1,159.15046599153155,3.4051250787630885,2.145643609412418,-0.5230448340476341,45.420485686209
10,2,148.74005540250096,3.3188243671619144,2.127392367231592,-0.51972823903774,37.2150825998122
12,3,132.76534102022586,3.1776709636491667,2.022396223382386,-0.5307720955795248,41.317965508343114
13,1,130.9909648055467,3.1612636419183007,2.044778764624228,-0.6421338730862174,45.420638612465616
11,4,124.04568332311345,3.0954868173238532,1.9676378108154642,-0.5723240686472861,41.31829576569293
13,2,121.44375272685426,3.070173598925942,1.994574324029018,-0.618507953580522,38.387694724689695
11,3,120.71093926169245,3.062975152790325,1.9997926894617475,-0.5618876473365586,38.97345816026331
12,4,116.15106277516978,3.017474194429571,1.9338941679555186,-0.5306942358924744,41.904243513326996
14,1,93.05586712105368,2.7652554788777395,1.9469637998947744,-0.6554855216529978,47.76387297088761
13,4,77.57123549084689,2.5700713014837464,1.800713419469024,-0.6611136468306362,41.31869137276294
14,4,77.2686705899724,2.565993057635599,1.7949143261484222,-0.6528301921084365,41.3187330237018
10,1,70.8400738591271,2.476540597440481,1.8669654075239108,-0.6506984518144996,46.59378433055784
14,2,69.54657260713445,2.457853618375083,1.7959808853830903,-0.6836016619408248,41.318379977650764
14,3,69.24699302057275,2.453490627495282,1.7749057558769545,-0.6582588407988896,38.9744422144078
13,3,62.202474980961156,2.3468114664350157,1.760384779897767,-0.688431750194031,41.318511702310694
11,1,48.865215987607584,2.1187338464566476,1.7719812972861269,-0.5545747465642068,46.007096669705106
