min_history_days,min_daily_dollar_volume,earliest_universe_date,variant,multiple,cagr,sharpe,mdd,turnover
30,1000000,2022-12-31,all,236.99983312605926,3.9492305844527538,2.2937857129091577,-0.5078751284617207,37.8012035414024
45,1000000,2023-01-16,all,236.99983312605926,3.9492305844527538,2.2937857129091577,-0.5078751284617207,37.8012035414024
0,5000000,2022-11-21,all,236.55719736515175,3.94652537073771,2.2931031798416015,-0.5078751284617204,37.8012035414024
7,5000000,2022-11-30,all,236.55719736515175,3.94652537073771,2.2931031798416015,-0.5078751284617204,37.8012035414024
14,5000000,2022-12-05,all,236.55719736515175,3.94652537073771,2.2931031798416015,-0.5078751284617204,37.8012035414024
21,5000000,2022-12-19,all,236.55719736515175,3.94652537073771,2.2931031798416015,-0.5078751284617204,37.8012035414024
30,5000000,2022-12-31,all,236.55719736515175,3.94652537073771,2.2931031798416015,-0.5078751284617204,37.8012035414024
45,5000000,2023-01-16,all,236.55719736515175,3.94652537073771,2.2931031798416015,-0.5078751284617204,37.8012035414024
60,5000000,2023-01-30,all,229.2285298730829,3.9012057695856805,2.2936509119428714,-0.4605124612877741,37.80081297583568
0,5000000,2022-11-21,exbtc,224.02414365193303,3.8683961085381524,2.2753040086613283,-0.5078751285123513,39.559604762317655
7,5000000,2022-11-30,exbtc,224.02414365193303,3.8683961085381524,2.2753040086613283,-0.5078751285123513,39.559604762317655
14,5000000,2022-12-05,exbtc,224.02414365193303,3.8683961085381524,2.2753040086613283,-0.5078751285123513,39.559604762317655
21,5000000,2022-12-19,exbtc,224.02414365193303,3.8683961085381524,2.2753040086613283,-0.5078751285123513,39.559604762317655
30,5000000,2022-12-31,exbtc,224.02414365193303,3.8683961085381524,2.2753040086613283,-0.5078751285123513,39.559604762317655
45,5000000,2023-01-16,exbtc,224.02414365193303,3.8683961085381524,2.2753040086613283,-0.5078751285123513,39.559604762317655
60,5000000,2023-01-30,exbtc,217.0837568139629,3.823792320352969,2.2757195322860584,-0.46051246128777523,39.55921419675095
0,1000000,2022-11-21,all,204.96585508683035,3.7434327949127306,2.2464637978105566,-0.5042239346127126,37.80133431248097
7,1000000,2022-11-30,all,204.96585508683035,3.7434327949127306,2.2464637978105566,-0.5042239346127126,37.80133431248097
14,1000000,2022-12-05,all,204.96585508683035,3.7434327949127306,2.2464637978105566,-0.5042239346127126,37.80133431248097
21,1000000,2022-12-19,all,204.96585508683035,3.7434327949127306,2.2464637978105566,-0.5042239346127126,37.80133431248097
60,1000000,2023-01-30,all,199.92850707260015,3.709037083285918,2.2736245921421303,-0.507875128461721,37.80068053604264
30,1000000,2022-12-31,exbtc,189.3105094990464,3.6344758188279824,2.2136177572930276,-0.5078751285123516,40.1452729886571
45,1000000,2023-01-16,exbtc,189.3105094990464,3.6344758188279824,2.2136177572930276,-0.5078751285123516,40.1452729886571
0,1000000,2022-11-21,exbtc,163.722437871351,3.4417660908752463,2.16619598258461,-0.5042239409940168,40.145403759750074
7,1000000,2022-11-30,exbtc,163.722437871351,3.4417660908752463,2.16619598258461,-0.5042239409940168,40.145403759750074
14,1000000,2022-12-05,exbtc,163.722437871351,3.4417660908752463,2.16619598258461,-0.5042239409940168,40.145403759750074
21,1000000,2022-12-19,exbtc,163.722437871351,3.4417660908752463,2.16619598258461,-0.5042239409940168,40.145403759750074
60,1000000,2023-01-30,exbtc,159.69870964915927,3.4095578332941914,2.1913058923355404,-0.5078751285123515,40.14474998329734
0,5000000,2022-11-21,exbtceth,150.12481226980714,3.3305453557964624,2.1708364078243982,-0.507875128512352,38.97377495195931
