weight_name,momentum_rank,ret_21_rank,ret_42_rank,near_high_rank,multiple,cagr,sharpe,mdd,turnover
focus_259,0.6076806955462493,0.26894838581423297,0.017319182133044248,0.1060517365064734,158.33508454007347,3.3985123887311186,2.142502333884719,-0.523044833998564,44.83432269878367
focus_007,0.5968570494539984,0.2704803389949843,0.03506846910646554,0.09759414244455175,142.4073070527896,3.264215718055472,2.113564504550751,-0.5710243186310985,44.834485721860126
focus_294,0.6551451341589769,0.21392424137211533,0.010850692978054929,0.12007993149085294,140.1186446784386,3.2440575167377865,2.1034118893455265,-0.5230448340476339,44.24823672830129
focus_337,0.656748888056789,0.21688303143290732,0.005230400120476112,0.12113768038982758,140.1186446784386,3.2440575167377865,2.1034118893455265,-0.5230448340476339,44.24823672830129
focus_298,0.6482106900016943,0.2375127544340588,0.014704901890693666,0.09957165367355311,126.02335682268142,3.114476707527367,2.074207215745202,-0.5710243186752321,44.24839975137774
focus_452,0.5391196800487068,0.27991840797686396,0.05104969792036603,0.12991221405406309,107.17102116924083,2.924032212067974,2.028219343272813,-0.5230448339985635,46.006551893278704
best_prev,0.670017,0.196254,0.015616,0.118113,106.83515095839223,2.920431511128059,2.0228974311100205,-0.5710243186752325,43.662581147482726
focus_092,0.6858879749084063,0.1933143933318022,0.0035210315440967464,0.11727660021569475,106.83515095839223,2.920431511128059,2.0228974311100205,-0.5710243186752325,43.662581147482726
focus_132,0.5678662799800086,0.1876988803267652,0.12685106102482516,0.11758377866840121,106.83515095839223,2.920431511128059,2.0228974311100205,-0.5710243186752325,43.662581147482726
focus_381,0.7127564156385618,0.16568948570325773,0.004419208801306901,0.11713488985687333,106.83515095839223,2.920431511128059,2.0228974311100205,-0.5710243186752325,43.662581147482726
focus_399,0.6573496148978535,0.19388829313740566,0.03744451151212871,0.11131758045261216,106.83515095839223,2.920431511128059,2.0228974311100205,-0.5710243186752325,43.662581147482726
focus_411,0.6977915106329682,0.17773761426810994,0.00014923457780890423,0.12432164052111291,106.83515095839223,2.920431511128059,2.0228974311100205,-0.5710243186752325,43.662581147482726
focus_467,0.6805659894554679,0.17253541247149376,0.030097202753564572,0.11680139531947373,106.83515095839223,2.920431511128059,2.0228974311100205,-0.5710243186752325,43.662581147482726
focus_470,0.609921502747908,0.2082420434350497,0.0740823300201002,0.10775412379694203,106.83515095839223,2.920431511128059,2.0228974311100205,-0.5710243186752325,43.662581147482726
focus_151,0.5086476401872931,0.26195926432624767,0.13321833565820873,0.09617475982825044,106.49330259813027,2.9167584875974475,2.030000768574888,-0.5710243186752327,45.42073181826207
focus_160,0.5310779357123784,0.2600216367055392,0.07921637718824641,0.12968405039383601,103.94999303859892,2.8891663016851203,2.0209865729722587,-0.5230448340476341,46.00658786349712
focus_230,0.5162565172630604,0.26539998990351477,0.1030774287028653,0.11526606413055945,103.94999303859892,2.8891663016851203,2.0209865729722587,-0.5230448340476341,46.00658786349712
focus_378,0.47110605015464235,0.2874168479520793,0.08761418970597053,0.15386291218730772,103.94999303859892,2.8891663016851203,2.0209865729722587,-0.5230448340476341,46.00658786349712
focus_383,0.5677208451165402,0.2599912400473696,0.03254565681900821,0.13974225801708187,103.94999303859892,2.8891663016851203,2.0209865729722587,-0.5230448340476341,46.00658786349712
focus_279,0.5794025315428786,0.2658218845279375,0.04286642214004713,0.1119091617891366,103.41742220586652,2.883328135736142,2.0178835921003238,-0.523044833998564,45.420424876071806
focus_398,0.5901703641133894,0.26274618489759716,0.02864354918420565,0.11843990180480779,103.41742220586652,2.883328135736142,2.0178835921003238,-0.523044833998564,45.420424876071806
focus_005,0.6037517852661881,0.3076473142287496,0.003307437312753851,0.08529346319230847,101.33233123094647,2.860264057484871,2.0124640246078362,-0.5230448339985645,44.834421535627875
focus_324,0.5802956522821218,0.3284295303064633,0.0005030216495444344,0.09077179576187051,101.33233123094647,2.860264057484871,2.0124640246078362,-0.5230448339985645,44.834421535627875
focus_448,0.6022006853153152,0.28742339589821786,0.017686714092275204,0.09268920469419159,101.33233123094647,2.860264057484871,2.0124640246078362,-0.5230448339985645,44.834421535627875
focus_115,0.6723832752529264,0.19440385642847183,0.003893112601232359,0.12931975571736948,98.29550502873249,2.826064012817637,2.00336070193202,-0.5230448340476341,44.24841456405258
focus_143,0.6795410125915773,0.1685970418489475,0.004376235987860719,0.14748570957161464,98.29550502873249,2.826064012817637,2.00336070193202,-0.5230448340476341,44.24841456405258
focus_255,0.6627207017015985,0.1485695959910916,0.013139044179940171,0.1755706581273698,98.29550502873249,2.826064012817637,2.00336070193202,-0.5230448340476341,44.24841456405258
focus_314,0.6800410800842652,0.16567885398706098,0.012563075655815239,0.14171699027285845,98.29550502873249,2.826064012817637,2.00336070193202,-0.5230448340476341,44.24841456405258
focus_404,0.6717444431000636,0.14673545464453325,0.01831650055791117,0.16320360169749204,98.29550502873249,2.826064012817637,2.00336070193202,-0.5230448340476341,44.24841456405258
focus_002,0.677478942320054,0.09250065567245574,0.004643523284873587,0.22537687872261666,97.81737321534034,2.820611543161686,1.9765119938259947,-0.5907571982005384,45.42041848935805
focus_062,0.66529298681543,0.10163154104442088,0.015287626077100153,0.21778784606304905,97.81737321534034,2.820611543161686,1.9765119938259947,-0.5907571982005384,45.42041848935805
focus_293,0.6729063754409638,0.0833562441393995,0.0036490282727286343,0.24008835214690813,97.81737321534034,2.820611543161686,1.9765119938259947,-0.5907571982005384,45.42041848935805
focus_135,0.5052245176196648,0.39688037133182125,0.034851533489987145,0.0630435775585268,96.76913025685506,2.808591375467495,1.9939702218487505,-0.5230448339985644,45.42052958350819
focus_207,0.5014897221035961,0.4429538004859858,0.001872887465752262,0.0536835899446656,96.76913025685506,2.808591375467495,1.9939702218487505,-0.5230448339985644,45.42052958350819
focus_479,0.4810622533673006,0.45250395309326225,0.013043535212194184,0.053390258327242944,96.76913025685506,2.808591375467495,1.9939702218487505,-0.5230448339985644,45.42052958350819
focus_036,0.5564396926559045,0.21487366761612822,0.05824582716237953,0.17044081256558752,94.84100304527037,2.7862388311591353,1.988318666054793,-0.5230448340476344,45.420465922796325
focus_074,0.5882469925347594,0.2121809773743106,0.019013416602145956,0.180558613488784,94.84100304527037,2.7862388311591353,1.988318666054793,-0.5230448340476344,45.420465922796325
focus_129,0.5566184043791077,0.2101581707298572,0.07357094476745829,0.15965248012357688,94.84100304527037,2.7862388311591353,1.988318666054793,-0.5230448340476344,45.420465922796325
focus_254,0.5807822118818785,0.19964607553489525,0.03944734675311899,0.18012436583010719,94.84100304527037,2.7862388311591353,1.988318666054793,-0.5230448340476344,45.420465922796325
focus_496,0.5682383813580106,0.2272644746821839,0.0523385016831824,0.15215864227662293,94.84100304527037,2.7862388311591353,1.988318666054793,-0.5230448340476344,45.420465922796325
focus_001,0.5085700898271796,0.17239428708159313,0.09228064898826806,0.2267549741029595,93.247695681958,2.7675239109372605,1.9675277336964447,-0.5230448340476339,46.00665124420677
focus_041,0.559685358336632,0.17563644865786668,0.03429916822966404,0.23037902477583722,93.247695681958,2.7675239109372605,1.9675277336964447,-0.5230448340476339,46.00665124420677
focus_128,0.5829926201527262,0.17589399674167816,0.026915113740393366,0.2141982693652024,93.247695681958,2.7675239109372605,1.9675277336964447,-0.5230448340476339,46.00665124420677
focus_203,0.5545858615050032,0.19497739872803388,0.025011236826429188,0.22542550294053365,93.247695681958,2.7675239109372605,1.9675277336964447,-0.5230448340476339,46.00665124420677
focus_341,0.5911731546822276,0.1544933025769536,0.01791348875769451,0.2364200539831244,93.247695681958,2.7675239109372605,1.9675277336964447,-0.5230448340476339,46.00665124420677
focus_349,0.5011619370339067,0.22050206984432855,0.062334081719270545,0.2160019114024943,93.247695681958,2.7675239109372605,1.9675277336964447,-0.5230448340476339,46.00665124420677
focus_009,0.5549417653605488,0.3045431641298018,0.06692870218775031,0.07358636832189913,92.9476975353304,2.7639748809116016,1.9805929315610313,-0.5710243186310979,45.42013843800768
focus_225,0.6147078046061422,0.27507163010622615,0.0375748969049437,0.07264566838268796,92.9476975353304,2.7639748809116016,1.9805929315610313,-0.5710243186310979,45.42013843800768
focus_367,0.5521804014605601,0.26058872477015893,0.1174379450835325,0.0697929286857484,92.9476975353304,2.7639748809116016,1.9805929315610313,-0.5710243186310979,45.42013843800768
focus_426,0.6013295068749094,0.26831156129035183,0.061485641482060774,0.06887329035267802,92.9476975353304,2.7639748809116016,1.9805929315610313,-0.5710243186310979,45.42013843800768
focus_490,0.6134768891660871,0.2522924650945595,0.05790571905761025,0.07632492668174318,92.9476975353304,2.7639748809116016,1.9805929315610313,-0.5710243186310979,45.42013843800768
focus_491,0.5770064887668745,0.29692204873957534,0.0565950631515728,0.06947639934197714,92.9476975353304,2.7639748809116016,1.9805929315610313,-0.5710243186310979,45.42013843800768
focus_030,0.5676735879748797,0.1620974644651485,0.087610014351633,0.18261893320833883,92.41368421156584,2.757637305354419,1.9777928572479755,-0.5230448340476339,46.006727960645065
focus_054,0.5226619362808964,0.22531533507870385,0.07792572928108099,0.17409699935931855,92.41368421156584,2.757637305354419,1.9777928572479755,-0.5230448340476339,46.006727960645065
focus_073,0.5789582933601185,0.1564173429793138,0.08546589361794514,0.17915847004262267,92.41368421156584,2.757637305354419,1.9777928572479755,-0.5230448340476339,46.006727960645065
focus_156,0.5907176398383301,0.1876982474166751,0.03676778056890708,0.18481633217608756,92.41368421156584,2.757637305354419,1.9777928572479755,-0.5230448340476339,46.006727960645065
focus_179,0.5491845804468474,0.2035734002632313,0.07217459602988367,0.17506742326003774,92.41368421156584,2.757637305354419,1.9777928572479755,-0.5230448340476339,46.006727960645065
focus_231,0.49804900374314653,0.21856714892963305,0.09157043434971218,0.1918134129775082,92.41368421156584,2.757637305354419,1.9777928572479755,-0.5230448340476339,46.006727960645065
focus_273,0.5671222754444213,0.20832471729873867,0.033868389676036226,0.1906846175808039,92.41368421156584,2.757637305354419,1.9777928572479755,-0.5230448340476339,46.006727960645065
focus_345,0.565791176090577,0.1906395206780164,0.08170428832692346,0.16186501490448305,92.41368421156584,2.757637305354419,1.9777928572479755,-0.5230448340476339,46.006727960645065
focus_401,0.464771727733458,0.18641018283497673,0.17560806449115068,0.17321002494041454,92.41368421156584,2.757637305354419,1.9777928572479755,-0.5230448340476339,46.006727960645065
focus_451,0.5781070250810263,0.1704108405097908,0.0879233420122704,0.1635587923969124,92.41368421156584,2.757637305354419,1.9777928572479755,-0.5230448340476339,46.006727960645065
focus_015,0.5286680380085675,0.3104745190404334,0.003506525810137492,0.1573509171408615,92.19109623437366,2.754988018643184,1.983859903856482,-0.5230448339985635,46.00656762114629
