strategy,regime,annualized_return,annualized_volatility,sharpe,days
BTC_BH__always_on,bull,2.3169516829674137,0.5268122238571044,2.539647585381499,1031
BTC_BH__always_on,non_bull,-0.5485883027546437,0.6063132483150828,-1.0048873166640273,1059
ETH_BH__always_on,bull,3.7975126692718586,0.6863179432446384,2.6260712412443183,1031
ETH_BH__always_on,non_bull,-0.6559836733738459,0.838843558124885,-0.8473499712652932,1059
TOP20_EQ__always_on,bull,4.1585689003786,0.665335884238731,2.8035055733236085,1031
TOP20_EQ__always_on,non_bull,-0.7505247195050931,0.7691455626967343,-1.4038016902974708,1059
TOP20_MOM_top4_monthly__always_on,bull,2.7052821192533103,0.6881505459652664,2.2464922015313444,1031
TOP20_MOM_top4_monthly__always_on,non_bull,-0.7353233753494033,0.768216290591888,-1.329183862305427,1059
TOP20_MOM_top4_biweekly__always_on,bull,3.80947041388137,0.71357569630329,2.5576953023554543,1031
TOP20_MOM_top4_biweekly__always_on,non_bull,-0.7234080742702218,0.8331946548431777,-1.1135034093321383,1059
TOP20_MOM_top6_monthly__always_on,bull,4.075947695167662,0.7151895176928996,2.6253097429588657,1031
TOP20_MOM_top6_monthly__always_on,non_bull,-0.741803143334612,0.7495110993195547,-1.4148293473363474,1059
TOP20_MOM_top6_biweekly__always_on,bull,4.809055694701829,0.6941136409119134,2.8839541233198025,1031
TOP20_MOM_top6_biweekly__always_on,non_bull,-0.7033490770885817,0.7804245927490041,-1.1527986131028793,1059
TOP20_MOM_top8_monthly__always_on,bull,3.946290760652958,0.6823351146605229,2.683605852987811,1031
TOP20_MOM_top8_monthly__always_on,non_bull,-0.7447489250313988,0.7422917237428466,-1.4507096875988634,1059
TOP20_MOM_top8_biweekly__always_on,bull,4.528200173473452,0.6752165373222646,2.873448148735273,1031
TOP20_MOM_top8_biweekly__always_on,non_bull,-0.7096221006495327,0.7560669633843791,-1.242887468884201,1059
TOP20_SECTOR_top2_monthly__always_on,bull,2.656270553436456,0.6934562750954902,2.214603987956673,1031
TOP20_SECTOR_top2_monthly__always_on,non_bull,-0.7257398074471595,0.6962455616476266,-1.4991099177949716,1059
TOP20_SECTOR_top2_biweekly__always_on,bull,2.4296109139142903,0.7391446343729067,2.0344857438328563,1031
TOP20_SECTOR_top2_biweekly__always_on,non_bull,-0.7268800046688431,0.6916228438417936,-1.5165826909652151,1059
TOP20_SECTOR_top3_monthly__always_on,bull,3.9038055334286588,0.7245383936250586,2.557393707541446,1031
TOP20_SECTOR_top3_monthly__always_on,non_bull,-0.7610243383035734,0.771666434036244,-1.4540309726462979,1059
TOP20_SECTOR_top3_biweekly__always_on,bull,3.1360000479844317,0.765200535310434,2.2359767175329712,1031
TOP20_SECTOR_top3_biweekly__always_on,non_bull,-0.7271416653529725,0.7840354505752754,-1.2503186088313158,1059
TOP20_SECTOR_top4_monthly__always_on,bull,3.968325410213917,0.699240918028851,2.6449020656797875,1031
TOP20_SECTOR_top4_monthly__always_on,non_bull,-0.7556516227290379,0.7587337003040067,-1.460504689493473,1059
TOP20_SECTOR_top4_biweekly__always_on,bull,3.710395368001767,0.7084759546264157,2.5434556481739286,1031
TOP20_SECTOR_top4_biweekly__always_on,non_bull,-0.7439186130548777,0.771045619252185,-1.3676507648103229,1059
BTC_BH__bull_only,bull,1.1808155510226586,0.4888055267263334,1.838029950978087,1031
BTC_BH__bull_only,non_bull,-0.41886361210947265,0.2622537008279559,-1.9335535205065006,1059
ETH_BH__bull_only,bull,2.2124949978023376,0.6234435805962785,2.1820248509355427,1031
ETH_BH__bull_only,non_bull,-0.46543941558158797,0.3816512873590576,-1.4426676251727164,1059
TOP20_EQ__bull_only,bull,2.1138642606708213,0.6120494163809622,2.1645743745960067,1031
TOP20_EQ__bull_only,non_bull,-0.5220159377532614,0.42514942898254926,-1.5074556111458945,1059
TOP20_MOM_top4_monthly__bull_only,bull,1.010152982829926,0.6251039923016493,1.4267294040304381,1031
TOP20_MOM_top4_monthly__bull_only,non_bull,-0.4704048530088756,0.4490090716295381,-1.176633045704959,1059
TOP20_MOM_top4_biweekly__bull_only,bull,1.788648706895207,0.6751156168834124,1.8552084738374384,1031
TOP20_MOM_top4_biweekly__bull_only,non_bull,-0.5157683904723898,0.4275966499751233,-1.464658917972369,1059
TOP20_MOM_top6_monthly__bull_only,bull,1.8780378707620122,0.6661299029100908,1.913435023502954,1031
TOP20_MOM_top6_monthly__bull_only,non_bull,-0.5088725286638056,0.4548990181540416,-1.3198180034771823,1059
TOP20_MOM_top6_biweekly__bull_only,bull,1.9174145027197946,0.6562349950092615,1.958979387915686,1031
TOP20_MOM_top6_biweekly__bull_only,non_bull,-0.5006743712657555,0.4188920078785397,-1.4301614447557773,1059
TOP20_MOM_top8_monthly__bull_only,bull,1.8592462846714501,0.6333729507479716,1.97219455464925,1031
TOP20_MOM_top8_monthly__bull_only,non_bull,-0.5065421010953581,0.4356861403951471,-1.3864546571109948,1059
TOP20_MOM_top8_biweekly__bull_only,bull,1.7042580713113762,0.6361397350548933,1.882462037689074,1031
TOP20_MOM_top8_biweekly__bull_only,non_bull,-0.5170116958553024,0.4083819015876986,-1.5580055555263634,1059
TOP20_SECTOR_top2_monthly__bull_only,bull,1.170992071291172,0.6357466346864397,1.533800101405992,1031
TOP20_SECTOR_top2_monthly__bull_only,non_bull,-0.46937367563941756,0.4084533582605493,-1.3374750517728355,1059
TOP20_SECTOR_top2_biweekly__bull_only,bull,1.011842195014664,0.7003385306905591,1.345271202159834,1031
TOP20_SECTOR_top2_biweekly__bull_only,non_bull,-0.4613490090761573,0.33224170608724946,-1.6861794608256722,1059
TOP20_SECTOR_top3_monthly__bull_only,bull,1.9206898446814544,0.6756154749460241,1.9223301346414876,1031
TOP20_SECTOR_top3_monthly__bull_only,non_bull,-0.5282271926899125,0.45292347408504957,-1.4192537690273332,1059
TOP20_SECTOR_top3_biweekly__bull_only,bull,1.2571472452659034,0.7283625006628288,1.4781996655631815,1031
TOP20_SECTOR_top3_biweekly__bull_only,non_bull,-0.5397533689829931,0.398403031685649,-1.7308062320473458,1059
TOP20_SECTOR_top4_monthly__bull_only,bull,1.893435311618965,0.653663663293025,1.9522181774820015,1031
TOP20_SECTOR_top4_monthly__bull_only,non_bull,-0.5234803251018036,0.4424458453224533,-1.4396289814022771,1059
TOP20_SECTOR_top4_biweekly__bull_only,bull,1.603083613722334,0.6746326473178581,1.7548788667001591,1031
TOP20_SECTOR_top4_biweekly__bull_only,non_bull,-0.5202061569492701,0.39291883179361176,-1.65496109795405,1059
