strategy,annualized_turnover,avg_turnover_per_rebalance,average_holdings
ETH_BH__bull_only,3.321360153256705,1.0,0.48827190043082813
TOP20_MOM_top6_biweekly__always_on,18.406696926848284,0.7019759485526798,5.997127812350407
ETH_BH__always_on,0.17480842911877395,1.0,0.9995213020584012
TOP20_MOM_top6_biweekly__bull_only,11.522218047048783,0.7664348927122603,2.981330780277645
TOP20_MOM_top8_biweekly__always_on,17.17877562520723,0.6551467306928346,7.996170416467209
TOP20_EQ__bull_only,4.524063714735519,0.60186333458858,9.765438008616563
BTC_BH__always_on,0.17480842911877395,1.0,0.9995213020584012
TOP20_MOM_top6_monthly__bull_only,7.580642723168511,1.0084983756594996,2.929631402584969
TOP20_MOM_top4_biweekly__always_on,20.426205385368053,0.7789939149707489,3.9980852082336047
TOP20_MOM_top8_monthly__bull_only,7.189544876576813,0.9564682830386991,3.906175203446625
TOP20_MOM_top4_biweekly__bull_only,12.090389942434626,0.8042285504875277,1.9875538535184298
TOP20_SECTOR_top4_monthly__bull_only,7.502968965781701,0.9981649697707672,3.048827190043083
TOP20_SECTOR_top3_monthly__bull_only,8.667629673878396,1.1531067702490023,2.2848252752513165
TOP20_MOM_top8_biweekly__bull_only,11.192276124833699,0.7444878161405786,3.9751077070368597
TOP20_MOM_top6_monthly__always_on,12.27927163850884,1.0330023844160539,5.9109621828626135
TOP20_EQ__always_on,2.993847888607619,0.25185956452106,19.703207276208712
TOP20_SECTOR_top4_monthly__always_on,11.683193034600926,0.9828568515812547,6.235040689325036
TOP20_MOM_top8_monthly__always_on,10.857891442258246,0.9134277732246262,7.881282910483485
TOP20_SECTOR_top4_biweekly__always_on,20.374742967182954,0.7770312934333883,6.2853039731929154
TOP20_SECTOR_top3_monthly__always_on,14.04304585457042,1.1813811339380758,4.651986596457635
TOP20_SECTOR_top4_biweekly__bull_only,12.25547086606452,0.8152094032603606,3.1488750598372426
BTC_BH__bull_only,3.321360153256705,1.0,0.48827190043082813
TOP20_SECTOR_top3_biweekly__always_on,24.098617306651278,0.9190486381057142,4.6682623264719965
TOP20_SECTOR_top2_monthly__bull_only,9.191043973485872,1.2227397143446002,1.5959789372905697
TOP20_SECTOR_top2_biweekly__bull_only,16.456705308070234,1.0946671131968984,1.6314025849688847
TOP20_SECTOR_top2_biweekly__always_on,29.837187142927068,1.1379003973412185,3.1795117280995693
TOP20_SECTOR_top2_monthly__always_on,16.246621316667614,1.3667584733763891,3.2034466251795117
TOP20_MOM_top4_monthly__always_on,14.02746836943846,1.1800706670180299,3.9406414552417424
TOP20_SECTOR_top3_biweekly__bull_only,14.151991585313455,0.9413621672550014,2.3226424126376255
TOP20_MOM_top4_monthly__bull_only,8.41872483282435,1.1199934661317135,1.9530876017233125
