,1inch,aave,algorand,apecoin,aptos,arbitrum,aster-2,avalanche-2,axie-infinity,basic-attention-token,binancecoin,bitcoin,bitcoin-cash,bitget-token,bittensor,bitway,canton-network,cardano,celestia,chainlink,chiliz,compound-governance-token,cosmos,crypto-com-chain,curve-dao-token,decentraland,dogecoin,dydx-chain,elrond-erd-2,enjincoin,eos,ethena,ethereum,ethereum-classic,ethereum-name-service,fantom,filecoin,flow,ftx-token,gala,havven,hedera-hashgraph,helium,htx-dao,hyperliquid,immutable-x,injective-protocol,internet-computer,jupiter-exchange-solana,kaspa,kucoin-shares,leo-token,lido-dao,litecoin,maker,mantle,matic-network,memecore,monero,morpho,near,neo,okb,ondo-finance,optimism,osmosis,pancakeswap-token,pepe,pi-network,polkadot,polygon-ecosystem-token,pump-fun,rain,render-token,ripple,sei-network,shiba-inu,sky,solana,stellar,stepn,sui,sushi,terra-luna,terra-luna-2,tezos,the-graph,the-open-network,the-sandbox,theta-token,thorchain,tron,uniswap,vechain,venice-token,waves,world-liberty-financial,worldcoin-wld,yearn-finance,zcash,zilliqa
2024-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049285676501801164,0.0,0.0,0.05131178030422405,0.058510296725745786,0.05155990872383575,0.0,0.0,0.0,0.0,0.047929127150003824,0.0,0.049869194402719114,0.0,0.0,0.04949161979351093,0.0,0.0,0.0,0.047881531278556516,0.0,0.0,0.0,0.0,0.0,0.05383884088336362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05414154470875305,0.0,0.0,0.0,0.0,0.0,0.04903875706588521,0.0,0.0,0.045707171466640356,0.0,0.0,0.0,0.04923183809541804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048048193360220925,0.0,0.0,0.0,0.0,0.049479596287269126,0.0,0.048770957079637724,0.0,0.05072188247557649,0.04883440139730976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05099234781020298,0.045355334489325695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048702318616003895,0.0,0.0,0.052121989667868525,0.059066590733259414,0.051169477328354425,0.0,0.0,0.0,0.0,0.0465781711178737,0.0,0.04961706264083603,0.0,0.0,0.04933537929419259,0.0,0.0,0.0,0.04793300784421294,0.0,0.0,0.0,0.0,0.0,0.055609047792339945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05164482480339047,0.0,0.0,0.0,0.0,0.0,0.049759218008003044,0.0,0.0,0.04493369072020913,0.0,0.0,0.0,0.04778408513561097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04699635179452076,0.0,0.0,0.0,0.0,0.0498560617971269,0.0,0.05043181505634459,0.0,0.05298893930825243,0.04880780944017187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051641814283788556,0.045022344617639876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05064771420269367,0.0,0.0,0.04955126996261501,0.05598087424353891,0.04975991654366109,0.0,0.0,0.0,0.0,0.048389867079440936,0.0,0.051034129854527904,0.0,0.0,0.049729421087108115,0.0,0.0,0.0,0.04703990715979403,0.0,0.0,0.0,0.0,0.0,0.05742967624156869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052972832944576956,0.0,0.0,0.0,0.0,0.0,0.04871599558421946,0.0,0.0,0.04694128675150249,0.0,0.0,0.0,0.049892826579683705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0493626640600663,0.0,0.0,0.0,0.0,0.049509376407828536,0.0,0.04893426460927533,0.0,0.05100673660562909,0.047456238503084565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049620607312599416,0.04602439426658595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05113917646142201,0.0,0.0,0.04937400406486996,0.05482281439420534,0.053299003201762354,0.0,0.0,0.0,0.0,0.0489598979420266,0.0,0.05026067098647852,0.0,0.0,0.05034286644613347,0.0,0.0,0.0,0.04726419942716889,0.0,0.0,0.0,0.0,0.0,0.05737773436554193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04908897204807838,0.0,0.0,0.0,0.0,0.0,0.049412523233605926,0.0,0.0,0.04774357883533622,0.0,0.0,0.0,0.049522945390858296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04982612324037174,0.0,0.0,0.0,0.0,0.048927325591217555,0.0,0.049097404966714234,0.0,0.04918536007920611,0.047898810749049094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049300329452937434,0.04715625912301597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04904997092793339,0.0,0.0,0.050039041967717884,0.05343847269732491,0.05274439947815904,0.0,0.0,0.0,0.0,0.0485477634172558,0.0,0.04984249866206409,0.0,0.0,0.04958163434318152,0.0,0.0,0.0,0.04715296799912678,0.0,0.0,0.0,0.0,0.0,0.05831864265180091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04843860559594119,0.0,0.0,0.0,0.0,0.0,0.052778937566144934,0.0,0.0,0.04692780704595554,0.0,0.0,0.0,0.049765497023570686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04868697863830512,0.0,0.0,0.0,0.0,0.0488790431129171,0.0,0.04905420792651819,0.0,0.04762459644692014,0.04867874330404858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05233833155137264,0.04811185964374163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049093346400796,0.0,0.0,0.05021751371483715,0.05262268334534642,0.05090458935863635,0.0,0.0,0.0,0.0,0.04799367281101304,0.0,0.04989190291486336,0.0,0.0,0.050037853084878535,0.0,0.0,0.0,0.04695347982433296,0.0,0.0,0.0,0.0,0.0,0.05862917714390705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05034079430742448,0.0,0.0,0.0,0.0,0.0,0.05133543425304532,0.0,0.0,0.0471696838869739,0.0,0.0,0.0,0.04833525292126926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04823273103714909,0.0,0.0,0.0,0.0,0.048548445730548145,0.0,0.04965455727803866,0.0,0.04895978551097598,0.048380566128833014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05503638381748905,0.04766214652964228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048796420558322534,0.0,0.0,0.05094460478430741,0.05263417762908984,0.050503092440227444,0.0,0.0,0.0,0.0,0.04711365403418885,0.0,0.05269397101752501,0.0,0.0,0.05017935132061037,0.0,0.0,0.0,0.04757729159539177,0.0,0.0,0.0,0.0,0.0,0.05767517800762372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05039983154043399,0.0,0.0,0.0,0.0,0.0,0.05104385663613427,0.0,0.0,0.04594899477575848,0.0,0.0,0.0,0.04818620888186098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04759374592960945,0.0,0.0,0.0,0.0,0.04987435951682012,0.0,0.049244503403544373,0.0,0.04935881384045236,0.0487489261243934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054945842104580894,0.0465371758591248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048592650784398846,0.0,0.0,0.05338007675256942,0.052824152703400885,0.05072601955846612,0.0,0.0,0.0,0.0,0.04668034420225733,0.0,0.05339226695475336,0.0,0.0,0.05051988198289363,0.0,0.0,0.0,0.047618319802801505,0.0,0.0,0.0,0.0,0.0,0.057809433717837436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050829386504182617,0.0,0.0,0.0,0.0,0.0,0.049961679615269684,0.0,0.0,0.04571829229222373,0.0,0.0,0.0,0.04749547127850099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04818355377532723,0.0,0.0,0.0,0.0,0.04918502340786655,0.0,0.04855905049178735,0.0,0.04888775099485403,0.04813636935641392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05303410076434181,0.04846617505985361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04825441753999547,0.0,0.0,0.052726512110522525,0.05335990744706311,0.05062629211856085,0.0,0.0,0.0,0.0,0.04711218474116341,0.0,0.053363387956950586,0.0,0.0,0.05075156052470669,0.0,0.0,0.0,0.0474925545762605,0.0,0.0,0.0,0.0,0.0,0.05927406516563558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04972719243316422,0.0,0.0,0.0,0.0,0.0,0.04987370655685687,0.0,0.0,0.04550608092388176,0.0,0.0,0.0,0.04629048456443191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04777023000460467,0.0,0.0,0.0,0.0,0.048945887393164036,0.0,0.04883414329858905,0.0,0.05026271149168536,0.04803735626526341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05245363371262191,0.0493376911748782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04919552160831408,0.0,0.0,0.052098907663827736,0.05325857007281609,0.049573937144825955,0.0,0.0,0.0,0.0,0.04670992545220075,0.0,0.05542678921672276,0.0,0.0,0.05041824832471523,0.0,0.0,0.0,0.04738612473767121,0.0,0.0,0.0,0.0,0.0,0.05836282777219565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0479445818804161,0.0,0.0,0.0,0.0,0.0,0.05019512322954037,0.0,0.0,0.04392221072931931,0.0,0.0,0.0,0.04757305252204583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04712971583035803,0.0,0.0,0.0,0.0,0.04864125829147733,0.0,0.048466562264347514,0.0,0.052953023827426754,0.048493426327495176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05297288787620749,0.04927730522807673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
