strategy,regime,days,total_multiple,annualized_return,annualized_volatility,sharpe,max_drawdown
primary,bull,809,51.8331155007562,4.937269137222769,0.8002782969189892,2.609124690208237,-0.3982591066164104
primary,non_bull,916,0.44542418610837475,-0.2754867594463821,0.21130147492659912,-1.4141306501521844,-0.5596904000617875
parameter_ensemble_20bps,bull,809,40.41353515474094,4.306688628319043,0.7694523804386436,2.5390607135176433,-0.39340607146442164
parameter_ensemble_20bps,non_bull,916,0.395146518927018,-0.3092521010027086,0.1972486699927846,-1.771934296249199,-0.605940971297247
BTC,bull,809,13.647168408757887,2.2516366964229992,0.4593429268792542,2.7979371376718185,-0.20291161760944532
BTC,non_bull,916,0.13704036280867427,-0.5470412775879325,0.5433122918496043,-1.1824172629490837,-0.879521521487828
