,TOP20_SECTOR_top4_biweekly__bull_only__NO_STOP,TOP20_SECTOR_top4_biweekly__bull_only__BTC_LT_10D,TOP20_SECTOR_top4_biweekly__bull_only__BTC_LT_14D,TOP20_SECTOR_top4_biweekly__bull_only__BTC_LT_21D,TOP20_SECTOR_top4_biweekly__bull_only__BTC_LT_28D,TOP20_SECTOR_top4_biweekly__bull_only__BTC_LT_20DMA
2023-01-19,-0.1825938324313805,-0.07935726625774475,-0.02459066946549049,-0.1426962436006436,-0.19782475752915185,-0.07935726625774475
2023-01-20,-0.10629549378180059,0.0,0.0,-0.06267378362107179,-0.1229481041165611,0.0
2023-01-21,-0.113371725430079,-0.007917865020309889,-0.007917865020309889,-0.07009540608235798,-0.12989248264397302,-0.007917865020309889
2023-01-22,-0.10907883684956021,-0.0031143885349056433,-0.0031143885349056433,-0.0655929816428289,-0.12567958448561778,-0.0031143885349056433
2023-01-23,-0.09507503591507294,0.0,0.0,-0.05090565529108959,-0.11193671973142849,0.0
2023-01-24,-0.13305309795559295,-0.04196818912927658,-0.04196818912927658,-0.09073742625136005,-0.14920712743650555,-0.04196818912927658
2023-01-25,-0.08427024488474888,0.0,0.0,-0.039573482492639145,-0.10133325696287843,0.0
2023-01-26,-0.09168950131094367,-0.008102015234026094,-0.008102015234026094,-0.04735487276864636,-0.1086142686052779,-0.008102015234026094
2023-01-27,-0.07994733432649548,0.0,0.0,-0.035039570702870226,-0.09709089623349776,0.0
2023-01-28,-0.09480107885289801,-0.016144450291363688,-0.016144450291363688,-0.05061832638679076,-0.11166786737687573,-0.016144450291363688
2023-01-29,-0.060591740910243996,0.0,0.0,-0.014739230918979329,-0.07809596022997745,0.0
2023-01-30,-0.11774157825178522,-0.06083599626526259,-0.06083599626526248,-0.07467855138710211,-0.134180910950357,-0.06083599626526259
2023-01-31,-0.10484259844340582,-0.047105033519759476,-0.047105033519759365,-0.06114997247224485,-0.12152228092534612,-0.047105033519759476
2023-02-01,-0.05320029740578491,0.0,0.0,-0.006987011113206654,-0.07084224326447486,0.0
2023-02-02,-0.06067381388578397,-0.007893450388209544,-0.007893450388209544,-0.014825309875832193,-0.0781765039200869,-0.007893450388209544
2023-02-03,-0.0367231332258775,0.0,0.0,0.0,-0.05467210203521922,0.0
2023-02-04,-0.0466635691073497,-0.010319396452196816,-0.010319396452196816,-0.010319396452196816,-0.0644273153916397,-0.010319396452196816
2023-02-05,-0.0718775401548909,-0.03649460310070618,-0.03649460310070607,-0.03649460310070607,-0.08917146847146873,-0.03649460310070618
2023-02-06,-0.08752135330029831,-0.038421613894504714,-0.05273480743344017,-0.05273480743344017,-0.10452378669585072,-0.052734807433440056
2023-02-07,-0.0535007934493642,-0.038421613894504714,-0.054629337818573265,-0.017417277215088456,-0.0711371400932288,-0.054629337818573154
2023-02-08,-0.0778162926369953,-0.038421613894504714,-0.054629337818573265,-0.042659759440432654,-0.09499956275472676,-0.054629337818573154
2023-02-09,-0.1343725598083335,-0.038421613894504714,-0.054629337818573265,-0.10137212877276924,-0.15050200344019626,-0.054629337818573154
2023-02-10,-0.1361038146887169,-0.038421613894504714,-0.054629337818573265,-0.10316938451522362,-0.1522009994333159,-0.054629337818573154
2023-02-11,-0.1361038146887169,-0.038421613894504714,-0.054629337818573265,-0.10316938451522362,-0.1522009994333159,-0.054629337818573154
2023-02-12,-0.1361038146887169,-0.038421613894504714,-0.054629337818573265,-0.10316938451522362,-0.1522009994333159,-0.054629337818573154
2023-02-13,-0.1361038146887169,-0.038421613894504714,-0.054629337818573265,-0.10316938451522362,-0.1522009994333159,-0.054629337818573154
2023-02-14,-0.1361038146887169,-0.038421613894504714,-0.054629337818573265,-0.10316938451522362,-0.1522009994333159,-0.054629337818573154
2023-02-15,-0.1361038146887169,-0.038421613894504714,-0.054629337818573265,-0.10316938451522362,-0.1522009994333159,-0.054629337818573154
2023-02-16,-0.1361038146887169,-0.038421613894504714,-0.054629337818573265,-0.10316938451522362,-0.1522009994333159,-0.054629337818573154
2023-02-17,-0.1361038146887169,-0.038421613894504714,-0.054629337818573265,-0.10316938451522362,-0.1522009994333159,-0.054629337818573154
2023-02-18,-0.1361038146887169,-0.038421613894504714,-0.054629337818573265,-0.10316938451522362,-0.1522009994333159,-0.054629337818573154
2023-02-19,-0.1361038146887169,-0.038421613894504714,-0.054629337818573265,-0.10316938451522362,-0.1522009994333159,-0.054629337818573154
2023-02-20,-0.1361038146887169,-0.038421613894504714,-0.054629337818573265,-0.10316938451522362,-0.1522009994333159,-0.054629337818573154
2023-02-21,-0.1361038146887169,-0.038421613894504714,-0.054629337818573265,-0.10316938451522362,-0.1522009994333159,-0.054629337818573154
2023-02-22,-0.1361038146887169,-0.038421613894504714,-0.054629337818573265,-0.10316938451522362,-0.1522009994333159,-0.054629337818573154
2023-02-23,-0.1361038146887169,-0.038421613894504714,-0.054629337818573265,-0.10316938451522362,-0.1522009994333159,-0.054629337818573154
2023-02-24,-0.1361038146887169,-0.038421613894504714,-0.054629337818573265,-0.10316938451522362,-0.1522009994333159,-0.054629337818573154
2023-02-25,-0.1361038146887169,-0.038421613894504714,-0.054629337818573265,-0.10316938451522362,-0.1522009994333159,-0.054629337818573154
2023-02-26,-0.1361038146887169,-0.038421613894504714,-0.054629337818573265,-0.10316938451522362,-0.1522009994333159,-0.054629337818573154
2023-02-27,-0.1361038146887169,-0.038421613894504714,-0.054629337818573265,-0.10316938451522362,-0.1522009994333159,-0.054629337818573154
2023-02-28,-0.1361038146887169,-0.038421613894504714,-0.054629337818573265,-0.10316938451522362,-0.1522009994333159,-0.054629337818573154
2023-03-01,-0.1361038146887169,-0.038421613894504714,-0.054629337818573265,-0.10316938451522362,-0.1522009994333159,-0.054629337818573154
2023-03-02,-0.1361038146887169,-0.038421613894504714,-0.054629337818573265,-0.10316938451522362,-0.1522009994333159,-0.054629337818573154
2023-03-03,-0.1361038146887169,-0.038421613894504714,-0.054629337818573265,-0.10316938451522362,-0.1522009994333159,-0.054629337818573154
2023-03-04,-0.1361038146887169,-0.038421613894504714,-0.054629337818573265,-0.10316938451522362,-0.1522009994333159,-0.054629337818573154
2023-03-05,-0.1361038146887169,-0.038421613894504714,-0.054629337818573265,-0.10316938451522362,-0.1522009994333159,-0.054629337818573154
2023-03-06,-0.1361038146887169,-0.038421613894504714,-0.054629337818573265,-0.10316938451522362,-0.1522009994333159,-0.054629337818573154
2023-03-07,-0.1361038146887169,-0.038421613894504714,-0.054629337818573265,-0.10316938451522362,-0.1522009994333159,-0.054629337818573154
2023-03-08,-0.1361038146887169,-0.038421613894504714,-0.054629337818573265,-0.10316938451522362,-0.1522009994333159,-0.054629337818573154
2023-03-09,-0.1361038146887169,-0.038421613894504714,-0.054629337818573265,-0.10316938451522362,-0.1522009994333159,-0.054629337818573154
2023-03-10,-0.1475377465190968,-0.038421613894504714,-0.054629337818573265,-0.10316938451522362,-0.1522009994333159,-0.054629337818573154
2023-03-11,-0.15345934627905222,-0.038421613894504714,-0.054629337818573265,-0.10316938451522362,-0.1522009994333159,-0.054629337818573154
2023-03-12,-0.0825928912279027,-0.038421613894504714,-0.054629337818573265,-0.10316938451522362,-0.1522009994333159,-0.054629337818573154
2023-03-13,-0.028213192329663905,-0.038421613894504714,-0.054629337818573265,-0.10316938451522362,-0.1522009994333159,-0.054629337818573154
2023-03-14,-0.007597148242884821,-0.038421613894504714,-0.054629337818573265,-0.10316938451522362,-0.1522009994333159,-0.054629337818573154
2023-03-15,-0.06191325281345217,-0.038421613894504714,-0.054629337818573265,-0.10316938451522362,-0.1522009994333159,-0.054629337818573154
2023-03-16,-0.039066173858617104,-0.038421613894504714,-0.054629337818573265,-0.10316938451522362,-0.1522009994333159,-0.054629337818573154
2023-03-17,0.0,-0.038421613894504714,-0.054629337818573265,-0.10316938451522362,-0.1522009994333159,-0.054629337818573154
2023-03-18,-0.026369832521169534,-0.038421613894504714,-0.054629337818573265,-0.10316938451522362,-0.1522009994333159,-0.054629337818573154
2023-03-19,-0.0007898098871975678,-0.038421613894504714,-0.054629337818573265,-0.10316938451522362,-0.1522009994333159,-0.054629337818573154
2023-03-20,-0.03781477230411612,-0.038421613894504714,-0.054629337818573265,-0.10316938451522362,-0.1522009994333159,-0.054629337818573154
2023-03-21,0.0,-0.038421613894504714,-0.054629337818573265,-0.10316938451522362,-0.1522009994333159,-0.054629337818573154
2023-03-22,-0.03352162095786426,-0.038421613894504714,-0.054629337818573265,-0.10316938451522362,-0.1522009994333159,-0.054629337818573154
2023-03-23,0.0,-0.038421613894504714,-0.054629337818573265,-0.10316938451522362,-0.1522009994333159,-0.054629337818573154
2023-03-24,-0.04526934065965138,-0.08279606543081897,-0.0982558431965973,-0.14455588743392178,-0.19132481524156197,-0.09825584319659719
2023-03-25,-0.05469751836069703,-0.09185365837456216,-0.10716076739490077,-0.1530035883930162,-0.1993106626318577,-0.10716076739490066
2023-03-26,-0.03529829173341581,-0.07321693940459084,-0.08883817652959602,-0.1356217707627866,-0.18287914550866557,-0.08883817652959602
2023-03-27,-0.06293831993784293,-0.09977054630166049,-0.11494421353949402,-0.16038739357726106,-0.20629077966566134,-0.11494421353949402
2023-03-28,-0.03907171674367571,-0.10157100520905715,-0.09240218059801963,-0.13900278107983954,-0.1860753088846826,-0.09240218059801975
2023-03-29,-0.00488988608308738,-0.10157100520905715,-0.06011740398015575,-0.10837566597751935,-0.15712264254428066,-0.06011740398015586
2023-03-30,-0.014565794300955393,-0.10157100520905715,-0.06925630992380394,-0.1170453348917071,-0.16531832243498035,-0.06925630992380394
2023-03-31,0.0,-0.10157100520905715,-0.05412511228746941,-0.10269104843870591,-0.15174881499558046,-0.05412511228746941
2023-04-01,0.0,-0.10157100520905715,-0.046084701980026566,-0.09506347291384765,-0.14453825505809847,-0.046084701980026566
2023-04-02,-0.01845291347902034,-0.10157100520905715,-0.06368721844070302,-0.11176218835217355,-0.16032401662212314,-0.06368721844070313
2023-04-03,0.0,-0.10157100520905715,-0.022684333446885918,-0.07286459605667717,-0.12355303746153046,-0.022684333446885918
2023-04-04,0.0,-0.10157100520905715,-0.01647856499388911,-0.06697746271956384,-0.1179877660789187,-0.01647856499388911
2023-04-05,-0.0003550167475397936,-0.10157100520905715,-0.01844560786390126,-0.06730870134613043,-0.11830089519349563,-0.0168277315748806
2023-04-06,-0.03231950339579748,-0.10157100520905715,-0.01844560786390126,-0.09713228778155447,-0.14649396346826604,-0.04826548935240871
2023-04-07,-0.034254864389005935,-0.10157100520905715,-0.01844560786390126,-0.09893802320599143,-0.1482009755413295,-0.05016895837370394
2023-04-08,-0.034254864389005935,-0.10157100520905715,-0.01844560786390126,-0.09893802320599143,-0.1482009755413295,-0.05016895837370394
2023-04-09,-0.034254864389005935,-0.10157100520905715,-0.01844560786390126,-0.09893802320599143,-0.1482009755413295,-0.05016895837370394
2023-04-10,-0.034254864389005935,-0.10157100520905715,-0.01844560786390126,-0.09893802320599143,-0.1482009755413295,-0.05016895837370394
2023-04-11,-0.034254864389005935,-0.10157100520905715,-0.01844560786390126,-0.09893802320599143,-0.1482009755413295,-0.05016895837370394
2023-04-12,-0.034254864389005935,-0.10157100520905715,-0.01844560786390126,-0.09893802320599143,-0.1482009755413295,-0.05016895837370394
2023-04-13,-0.034254864389005935,-0.10157100520905715,-0.01844560786390126,-0.09893802320599143,-0.1482009755413295,-0.05016895837370394
2023-04-14,-0.034254864389005935,-0.10157100520905715,-0.01844560786390126,-0.09893802320599143,-0.1482009755413295,-0.05016895837370394
2023-04-15,-0.034254864389005935,-0.10157100520905715,-0.01844560786390126,-0.09893802320599143,-0.1482009755413295,-0.05016895837370394
2023-04-16,-0.034254864389005935,-0.10157100520905715,-0.01844560786390126,-0.09893802320599143,-0.1482009755413295,-0.05016895837370394
2023-04-17,-0.034254864389005935,-0.10157100520905715,-0.01844560786390126,-0.09893802320599143,-0.1482009755413295,-0.05016895837370394
2023-04-18,-0.034254864389005935,-0.10157100520905715,-0.01844560786390126,-0.09893802320599143,-0.1482009755413295,-0.05016895837370394
2023-04-19,-0.034254864389005935,-0.10157100520905715,-0.01844560786390126,-0.09893802320599143,-0.1482009755413295,-0.05016895837370394
2023-04-20,-0.034254864389005935,-0.10157100520905715,-0.01844560786390126,-0.09893802320599143,-0.1482009755413295,-0.05016895837370394
2023-04-21,-0.034254864389005935,-0.10157100520905715,-0.01844560786390126,-0.09893802320599143,-0.1482009755413295,-0.05016895837370394
2023-04-22,-0.034254864389005935,-0.10157100520905715,-0.01844560786390126,-0.09893802320599143,-0.1482009755413295,-0.05016895837370394
2023-04-23,-0.034254864389005935,-0.10157100520905715,-0.01844560786390126,-0.09893802320599143,-0.1482009755413295,-0.05016895837370394
2023-04-24,-0.034254864389005935,-0.10157100520905715,-0.01844560786390126,-0.09893802320599143,-0.1482009755413295,-0.05016895837370394
2023-04-25,-0.034254864389005935,-0.10157100520905715,-0.01844560786390126,-0.09893802320599143,-0.1482009755413295,-0.05016895837370394
2023-04-26,-0.034254864389005935,-0.10157100520905715,-0.01844560786390126,-0.09893802320599143,-0.1482009755413295,-0.05016895837370394
2023-04-27,-0.034254864389005935,-0.10157100520905715,-0.01844560786390126,-0.09893802320599143,-0.1482009755413295,-0.05016895837370394
2023-04-28,-0.034254864389005935,-0.10157100520905715,-0.01844560786390126,-0.09893802320599143,-0.1482009755413295,-0.05016895837370394
2023-04-29,-0.034254864389005935,-0.10157100520905715,-0.01844560786390126,-0.09893802320599143,-0.1482009755413295,-0.05016895837370394
2023-04-30,-0.034254864389005935,-0.10157100520905715,-0.01844560786390126,-0.09893802320599143,-0.1482009755413295,-0.05016895837370394
2023-05-01,-0.034254864389005935,-0.10157100520905715,-0.01844560786390126,-0.09893802320599143,-0.1482009755413295,-0.05016895837370394
2023-05-02,-0.034254864389005935,-0.10157100520905715,-0.01844560786390126,-0.09893802320599143,-0.1482009755413295,-0.05016895837370394
2023-05-03,-0.034254864389005935,-0.10157100520905715,-0.01844560786390126,-0.09893802320599143,-0.1482009755413295,-0.05016895837370394
2023-05-04,-0.034254864389005935,-0.10157100520905715,-0.01844560786390126,-0.09893802320599143,-0.1482009755413295,-0.05016895837370394
2023-05-05,-0.034254864389005935,-0.10157100520905715,-0.01844560786390126,-0.09893802320599143,-0.1482009755413295,-0.05016895837370394
2023-05-06,-0.034254864389005935,-0.10157100520905715,-0.01844560786390126,-0.09893802320599143,-0.1482009755413295,-0.05016895837370394
2023-05-07,-0.034254864389005935,-0.10157100520905715,-0.01844560786390126,-0.09893802320599143,-0.1482009755413295,-0.05016895837370394
2023-05-08,-0.034254864389005935,-0.10157100520905715,-0.01844560786390126,-0.09893802320599143,-0.1482009755413295,-0.05016895837370394
2023-05-09,-0.034254864389005935,-0.10157100520905715,-0.01844560786390126,-0.09893802320599143,-0.1482009755413295,-0.05016895837370394
2023-05-10,-0.034254864389005935,-0.10157100520905715,-0.01844560786390126,-0.09893802320599143,-0.1482009755413295,-0.05016895837370394
2023-05-11,-0.034254864389005935,-0.10157100520905715,-0.01844560786390126,-0.09893802320599143,-0.1482009755413295,-0.05016895837370394
2023-05-12,-0.034254864389005935,-0.10157100520905715,-0.01844560786390126,-0.09893802320599143,-0.1482009755413295,-0.05016895837370394
2023-05-13,-0.034254864389005935,-0.10157100520905715,-0.01844560786390126,-0.09893802320599143,-0.1482009755413295,-0.05016895837370394
2023-05-14,-0.034254864389005935,-0.10157100520905715,-0.01844560786390126,-0.09893802320599143,-0.1482009755413295,-0.05016895837370394
2023-05-15,-0.034254864389005935,-0.10157100520905715,-0.01844560786390126,-0.09893802320599143,-0.1482009755413295,-0.05016895837370394
2023-05-16,-0.034254864389005935,-0.10157100520905715,-0.01844560786390126,-0.09893802320599143,-0.1482009755413295,-0.05016895837370394
2023-05-17,-0.034254864389005935,-0.10157100520905715,-0.01844560786390126,-0.09893802320599143,-0.1482009755413295,-0.05016895837370394
