strategy,total_return,cagr,annualized_volatility,sharpe,sortino,max_drawdown,calmar,monthly_win_rate,annualized_turnover,avg_turnover_per_rebalance,average_holdings,overlay,description,risk_on_fraction,drawdown_improvement_vs_no_stop,cagr_delta_vs_no_stop
TOP20_SECTOR_top4_biweekly__bull_only__BTC_LT_21D,1.151806725299922,0.16553199676804864,0.3195747464126631,0.6398351745108422,0.9770983343365853,-0.605139691878939,0.27354344623152577,0.19672131147540983,8.796411037749184,0.9779145543336382,1.0930996714129244,BTC_LT_21D,Exit to cash when BTC closes below its level 21 days earlier; re-enter at next rebalance once the condition clears.,0.5021905805038335,0.020599493055050377,0.050842164964902015
TOP20_SECTOR_top4_biweekly__bull_only__BTC_LT_14D,0.8538992311049809,0.13132624358878253,0.2764411538612477,0.5855163573596719,0.8842971492402202,-0.5049172814770864,0.26009457074751013,0.21311475409836064,9.542317295714271,0.9945360377839189,0.9096385542168675,BTC_LT_14D,Exit to cash when BTC closes below its level 14 days earlier; re-enter at next rebalance once the condition clears.,0.5197152245345017,0.12082190345690302,0.016636411785635907
TOP20_SECTOR_top4_biweekly__bull_only__BTC_LT_10D,0.6216143043803481,0.10145438941337526,0.25664492790857985,0.5053435197822208,0.7776877886816451,-0.4341329583615664,0.23369428065601797,0.13114754098360656,8.843852359138346,0.9618150332213589,0.744249726177437,BTC_LT_10D,Exit to cash when BTC closes below its level 10 days earlier; re-enter at next rebalance once the condition clears.,0.52026286966046,0.191606226572423,-0.013235442389771368
TOP20_SECTOR_top4_biweekly__bull_only__NO_STOP,0.7214697147867235,0.11468983180314662,0.4257619155904642,0.4681037746200742,0.7228421878468427,-0.6257391849339894,0.1832869581521341,0.21311475409836064,9.708311655558823,0.9340030075369026,2.108433734939759,NO_STOP,No additional stop-loss overlay.,1.0,0.0,0.0
TOP20_SECTOR_top4_biweekly__bull_only__BTC_LT_28D,0.3644247915628911,0.06408210475356535,0.3349389938265825,0.3539153320584631,0.5267198632247918,-0.6230983611598893,0.10284428390130472,0.19672131147540983,10.303921201004973,0.972600677851387,1.1883899233296824,BTC_LT_28D,Exit to cash when BTC closes below its level 28 days earlier; re-enter at next rebalance once the condition clears.,0.5208105147864184,0.0026408237741001317,-0.050607727049581275
TOP20_SECTOR_top4_biweekly__bull_only__BTC_LT_20DMA,0.2924475722384161,0.052617010610102266,0.2817796316121807,0.3246605525780772,0.4680584598937896,-0.5770382963806873,0.09118460757306383,0.19672131147540983,9.546553776171343,0.9746719147491679,0.9178532311062432,BTC_LT_20DMA,Exit to cash when BTC closes below its 20-day moving average; re-enter at next rebalance once back above.,0.4994523548740416,0.048700888553302124,-0.06207282119304436
