strategy,cost_bps,period,start,end,days,multiple,cagr,sharpe,max_drawdown
baseline,100.0,post_2024,2024-01-01,2026-09-21,995,3.7511656315854927,0.6249338731393508,1.0249098590032846,-0.6032608366587084
breadth50,100.0,full_2022_plus,2022-01-01,2026-09-21,1725,2.2430603624998304,0.18653068421784846,0.5712072080668712,-0.74660889408809
breadth50,100.0,post_2023,2023-01-01,2026-09-21,1360,3.3148780099636963,0.37970770778896923,0.8190260519072226,-0.6498269608482355
breadth50,100.0,post_2024,2024-01-01,2026-09-21,995,5.136397365186887,0.8237114764447919,1.249469912553707,-0.43525710944803797
blend25,100.0,full_2022_plus,2022-01-01,2026-09-21,1725,2.61485550972244,0.22569029584463052,0.6304876267784923,-0.68776103658468
blend25,100.0,post_2023,2023-01-01,2026-09-21,1360,3.8944000133734367,0.44072280129340746,0.888301943071235,-0.5651447602838737
blend25,100.0,post_2024,2024-01-01,2026-09-21,995,4.848174270735404,0.7854452216840533,1.2112100068361347,-0.42397461471128817
blend50,100.0,full_2022_plus,2022-01-01,2026-09-21,1725,2.968445614347803,0.2590483642392627,0.6758029269669451,-0.664158749130721
blend50,100.0,post_2023,2023-01-01,2026-09-21,1360,4.456117228428051,0.49381446519779737,0.938043309510082,-0.5285601407179952
blend50,100.0,post_2024,2024-01-01,2026-09-21,995,4.512404915103933,0.73900466769417,1.1585719689469356,-0.46777020148636306
blend75,100.0,full_2022_plus,2022-01-01,2026-09-21,1725,3.2839563017026037,0.28626386603987,0.7069055148732704,-0.649561609953277
blend75,100.0,post_2023,2023-01-01,2026-09-21,1360,4.969683515129398,0.5382249744100229,0.9686337398945438,-0.5396948507578476
blend75,100.0,post_2024,2024-01-01,2026-09-21,995,4.142364752819492,0.6852160113163486,1.0951064027689879,-0.5396948507578478
