breadth_threshold,cost_bps,full_multiple,full_sharpe,full_max_drawdown,post_2024_multiple,post_2024_sharpe,post_2024_max_drawdown
0.4,2.0,11.551700046645804,1.1892659008610018,-0.554941359387279,11.077205018422177,1.6658523996614423,-0.3351801107622784
0.4,20.0,7.730741154730671,1.0383088842727122,-0.5961535826254121,8.68758847898543,1.529692027398701,-0.3477064498394846
0.4,50.0,3.952452095343489,0.7849054890404538,-0.6566623320934939,5.78944053341843,1.300681865054194,-0.37089144685837516
0.4,100.0,1.2866701209005345,0.3595303050146326,-0.7524568700897929,2.936360014555266,0.9145460455937385,-0.4816946446526136
0.45,2.0,13.99332583094201,1.278009593298712,-0.5527124001083017,14.812435305847101,1.8437392829356203,-0.31455819617252345
0.45,20.0,9.60862339392507,1.13376493693853,-0.5968772872482351,11.736209494866705,1.7124256819279489,-0.3338696311689683
0.45,50.0,5.128087846085355,0.8914770735978774,-0.661134403931743,7.955501221219615,1.4913540856080119,-0.3649282500101204
0.45,100.0,1.7937029938828826,0.4843189475511435,-0.7493083458139838,4.151639903706746,1.1179881092710697,-0.41370024682849615
0.5,2.0,16.605933313565632,1.3531243221940974,-0.5465126401881739,17.663155887395437,1.9621948501199864,-0.32723123346163985
0.5,20.0,11.512340376639928,1.2111843391014778,-0.592336537546683,14.089508035457191,1.8334119487091831,-0.34843062030672367
0.5,50.0,6.243231724728307,0.9726034400425255,-0.6587817773053691,9.658828890707094,1.6164271881928938,-0.3823693539126706
0.5,100.0,2.2430603624998304,0.5712072080668712,-0.74660889408809,5.136397365186887,1.249469912553707,-0.43525710944803797
0.55,2.0,13.829871948042541,1.2901368374108746,-0.513535808095086,13.713157996374544,1.8282484023617005,-0.3846484541493004
0.55,20.0,9.695578244071218,1.150922568033488,-0.5566070235621015,10.909853087613865,1.6960517497641423,-0.4036711938113311
0.55,50.0,5.357123788238095,0.9169321309494981,-0.6202064248304526,7.446141803098451,1.473461589823471,-0.434149244035375
0.55,100.0,1.9858188669045662,0.5232688435296573,-0.7068472854012622,3.93056274053056,1.0974896527607185,-0.48170666754647884
0.6,2.0,10.423109208550743,1.1865138592352393,-0.5232920024635823,10.546662506796947,1.684416145459107,-0.4207583685951988
0.6,20.0,7.323396639962417,1.0463694397906842,-0.5631206780224152,8.363442265517536,1.5489614729638392,-0.44026085235018
0.6,50.0,4.061344109663718,0.8107409235568266,-0.6223600074104033,5.677263372658646,1.3207837994465517,-0.4713881332548481
0.6,100.0,1.514755136284163,0.4141615975200134,-0.7040375168735371,2.9697151323461144,0.9351308965856313,-0.5530374554220114
