baseline_weight,breadth50_weight,cost_bps,full_multiple,full_sharpe,full_max_drawdown,post_2024_multiple,post_2024_sharpe,post_2024_max_drawdown
0.0,1.0,2.0,16.605933313565632,1.3531243221940974,-0.5465126401881739,17.663155887395437,1.9621948501199864,-0.32723123346163985
0.25,0.75,2.0,19.853331932646412,1.413257325945817,-0.49430893108860585,16.90741168608983,1.9266693436238362,-0.3399201429438061
0.5,0.5,2.0,23.099445565315445,1.4443635475764878,-0.47204097745855067,15.950010332876845,1.8669447067519767,-0.36035749479960244
0.75,0.25,2.0,26.178157560482973,1.4494233871600768,-0.45466442148827513,14.834193972416033,1.788081254310336,-0.38789097543532747
1.0,0.0,2.0,28.91607609633492,1.4343059030538503,-0.46154392281453194,13.60467748307995,1.6962971885335971,-0.4615439228145317
0.0,1.0,20.0,11.512340376639928,1.2111843391014778,-0.592336537546683,14.089508035457191,1.8334119487091831,-0.34843062030672367
0.25,0.75,20.0,13.698573041986974,1.271192905647797,-0.5338521873208513,13.451083590527247,1.7972754447973753,-0.3519706684607362
0.5,0.5,20.0,15.866295800233361,1.304979361386373,-0.5140007488881284,12.657865812277642,1.7388257994184977,-0.3720607876764501
0.75,0.25,20.0,17.902926065182406,1.3149175768913899,-0.497063106138222,11.744677741745983,1.6628299989133952,-0.4140997725205038
1.0,0.0,20.0,19.692683756267915,1.3060886452174898,-0.4865076449303106,10.747182199332027,1.5750892960125027,-0.48650764493031085
0.0,1.0,50.0,6.243231724728307,0.9726034400425255,-0.6587817773053691,9.658828890707094,1.6164271881928938,-0.3823693539126706
0.25,0.75,50.0,7.371145637679948,1.0324106997581632,-0.5931342866216922,9.18126296770397,1.5794060662533482,-0.3715942308761341
0.5,0.5,50.0,8.473451515943331,1.0706222939199677,-0.57677242186881,8.604189634166026,1.5231235107544334,-0.3911161206749306
0.75,0.25,50.0,9.491322186885865,1.0886134982214288,-0.5606552071326159,7.951865279874112,1.4518735204155837,-0.45854429629430715
1.0,0.0,50.0,10.365813809540851,1.090174958522959,-0.5448556278037073,7.248767345036347,1.3707917343144533,-0.528402562364161
0.0,1.0,100.0,2.2430603624998304,0.5712072080668712,-0.74660889408809,5.136397365186887,1.249469912553707,-0.43525710944803797
0.25,0.75,100.0,2.61485550972244,0.6304876267784923,-0.68776103658468,4.848174270735404,1.2112100068361347,-0.42397461471128817
0.5,0.5,100.0,2.968445614347803,0.6758029269669451,-0.664158749130721,4.512404915103933,1.1585719689469356,-0.46777020148636306
0.75,0.25,100.0,3.2839563017026037,0.7069055148732704,-0.649561609953277,4.142364752819492,1.0951064027689879,-0.5396948507578478
1.0,0.0,100.0,3.5424065696990215,0.7254860815257224,-0.6351238497478907,3.7511656315854927,1.0249098590032846,-0.6032608366587084
