excluded_index,excluded_rebalance_days,excluded_hold_rank,excluded_target_volatility,excluded_btc_ma_window,multiple,cagr,sharpe,max_drawdown
9,3,2,1.0,100,15.107386226083015,0.7768646772177927,1.3216066545188816,-0.46718937462180554
8,3,2,0.9,100,15.320031045406541,0.7821306606912395,1.321847230460623,-0.46985485527870385
0,3,2,0.8,100,15.507498653300976,0.7867255735866618,1.3208339511386067,-0.47272826312197913
2,2,2,0.8,100,15.650309409980665,0.790196632823696,1.3243436076209019,-0.4723769413633936
1,1,2,0.8,100,15.710814073494882,0.7916596907337823,1.324784906860836,-0.4719575679757204
7,3,2,0.7,100,15.831199691981865,0.7945575641069973,1.321487652987503,-0.47570416032272855
4,3,1,0.8,100,15.841621221469063,0.7948076089943956,1.330388842707301,-0.47276651917286727
3,5,2,0.8,100,16.050751022653333,0.7997980842518302,1.3298255229979157,-0.47063500817104664
6,3,2,0.6,100,16.224253171862703,0.8038996200231365,1.322558489887884,-0.4790175858201835
11,3,2,0.8,150,16.37699880469054,0.8074819578618737,1.3368250020039465,-0.4722911322851383
10,3,2,0.8,50,16.45514910342114,0.8093046386580338,1.338513176461708,-0.47691120717477953
5,3,3,0.8,100,16.608832123325783,0.8128691386064217,1.3439370198341223,-0.46901957840781894
12,3,2,0.8,200,16.926225920649777,0.8201491985060554,1.343992577534701,-0.45806519546984137
