cycle_days,target_volatility,vol_window,stop_mode,gate_mode,offset_days,cost_bps,multiple,cagr,sharpe,max_drawdown,annualized_turnover,average_exposure,average_holdings
14,0.3,30,none,none,0,2.0,7.280215946256218,0.522406195344927,1.3335401493468992,-0.33118242865580294,18.201690659376546,0.43833451572938326,0.9994202898550725
14,0.3,30,none,none,0,20.0,6.2348491667282495,0.4732556529642302,1.2424801230542102,-0.33909232467969064,18.201690659376546,0.43833451572938326,0.9994202898550725
14,0.3,30,none,btc_ma100,0,2.0,2.5774380198713907,0.22195584429761994,0.8493598826992294,-0.268289521189071,10.537562943795367,0.1879395815409402,0.4544927536231884
14,0.3,30,none,btc_ma100,0,20.0,2.356253210062914,0.19896275773095407,0.781671873075608,-0.2778449192042053,10.537562943795367,0.1879395815409402,0.4544927536231884
14,0.3,30,none,btc_ma200,0,2.0,3.8867171811912624,0.33298325678917307,1.1297415030232967,-0.26338922905523576,9.650337029614457,0.2071628706450097,0.48
14,0.3,30,none,btc_ma200,0,20.0,3.5800994011486864,0.30999298796964725,1.0696816610957685,-0.27524900589176715,9.650337029614457,0.2071628706450097,0.48
14,0.3,30,own75,none,0,2.0,5.588554613030135,0.43951422645494875,1.2609456236584018,-0.24655850915233024,15.069840811652476,0.35151566628221953,0.8492753623188406
14,0.3,30,own75,none,0,20.0,4.915535582461357,0.4009326631295198,1.178482599810231,-0.26114653439201185,15.069840811652476,0.35151566628221953,0.8492753623188406
14,0.3,30,own75,btc_ma100,0,2.0,2.227160576697653,0.18474501222264905,0.7760112751241994,-0.28916742997680756,9.542053335074904,0.1737844888388587,0.43420289855072464
14,0.3,30,own75,btc_ma100,0,20.0,2.053373464992095,0.16454092785099173,0.7100765835760258,-0.29618275581437037,9.542053335074904,0.1737844888388587,0.43420289855072464
14,0.3,30,own75,btc_ma200,0,2.0,3.334773481834957,0.29045244080094945,1.0817570186318601,-0.26713547169766283,8.151975849580346,0.17744263810538205,0.43594202898550727
14,0.3,30,own75,btc_ma200,0,20.0,3.1111653890025996,0.2716282539503798,1.026885799303403,-0.27660641326073365,8.151975849580346,0.17744263810538205,0.43594202898550727
14,0.4,30,none,none,0,2.0,10.266578484301194,0.6373290159243192,1.2689502615113686,-0.4172649161954909,22.7862361333554,0.5484143289926433,0.9994202898550725
14,0.4,30,none,none,0,20.0,8.455342039572324,0.5714094989949936,1.1817221607150556,-0.4264759956984686,22.7862361333554,0.5484143289926433,0.9994202898550725
14,0.4,30,none,btc_ma100,0,2.0,3.1635168033947867,0.27612874515816666,0.8365808148612136,-0.34642689331760745,13.590281439543592,0.24102196728836503,0.4544927536231884
14,0.4,30,none,btc_ma100,0,20.0,2.817758334121941,0.24523764822549832,0.7700821700550903,-0.3573627088627611,13.590281439543592,0.24102196728836503,0.4544927536231884
14,0.4,30,none,btc_ma200,0,2.0,5.288212693609148,0.42277671217307944,1.10980652490201,-0.33980757120970484,12.392417229210796,0.26558522388656275,0.48
