cycle_days,target_volatility,vol_window,stop_mode,gate_mode,cost_bps,basket_multiple,basket_cagr,basket_sharpe,basket_max_drawdown,train_multiple,train_sharpe,test_multiple,test_sharpe,test_max_drawdown,rolling_1y_median_multiple,rolling_1y_worst_multiple,rolling_1y_median_sharpe,rolling_1y_worst_sharpe,rolling_1y_worst_drawdown,phase_median_multiple,phase_min_multiple,phase_max_multiple,phase_median_sharpe,phase_worst_drawdown,phase_median_exposure,phase_median_turnover
14,0.3,30,none,none,2.0,4.271183619087467,0.3598710951706676,1.243122400953307,-0.26465426853581386,3.4218701390331274,1.5482430629400228,1.2482015522349161,0.6366546506604245,-0.21787575925835567,1.5341909979335027,0.9430884665373545,1.6266377251943016,-0.11625054469312743,-0.26465426853581464,3.870167476703513,1.8835175204498262,9.478093024924375,0.9497843314689083,-0.48827944404662516,0.44516609420266334,18.985590786397736
14,0.3,30,none,none,20.0,3.634526625128908,0.3141843871044614,1.1203753595331742,-0.2719834522314538,3.100607061390661,1.4359667900337452,1.1721983963678315,0.4918116331387529,-0.22369386405042302,1.480102850877852,0.9090211203351076,1.4991107465007425,-0.2662158807206113,-0.2719834522314545,3.27221705240087,1.5961845478174859,8.082975130854908,0.8500846956670478,-0.5155810777530683,0.44516609420266334,18.985590786397736
14,0.3,30,none,btc_ma100,2.0,2.5622922637272,0.22043206497495005,1.1478502554928616,-0.19901459838251645,1.925697895092305,1.1983086672524177,1.3305785244182253,1.054430883873448,-0.09335086482549715,1.2213602440919942,0.8748272925012804,1.0899915305388643,-1.5763715313185398,-0.19901459838251834,2.4743017542752437,1.4520746671400606,5.413548808521389,0.8790156770676665,-0.38725389281869127,0.18014966706373314,10.014317739982667
14,0.3,30,none,btc_ma100,20.0,2.352952653837601,0.19860699014223404,1.0526072054238582,-0.2086074257436743,1.8204332273167538,1.1041705308075946,1.292523460091838,0.956235170605909,-0.09719469979671325,1.1945372838735981,0.8687575917977597,0.979194035384319,-1.617279605983962,-0.20860742574367597,2.2723541722634577,1.3264604389874706,4.923494492287241,0.8049352466268994,-0.39651722095093767,0.18014966706373314,10.014317739982667
14,0.3,30,none,btc_ma200,2.0,2.854276999866705,0.24863712400261884,1.1814136874726817,-0.22346054368102153,2.1605800513360744,1.3407112540557116,1.3210697738793131,0.8980604003088777,-0.17406152413493658,1.2764307691622683,0.9559309190682196,1.1377357647038586,-1.402082913019003,-0.22346054368102275,2.564921414873519,1.8550842807691716,4.600273418843328,0.9348320284738161,-0.2984122898425722,0.2064646067199427,10.041876319270244
14,0.3,30,none,btc_ma200,20.0,2.6218934695344696,0.2263880062709851,1.094327634217131,-0.23017151791644275,2.0394249930647326,1.2483651330662269,1.2856042651485005,0.8203299455452818,-0.17910852974153513,1.2425569411117974,0.9461214132056821,1.0267756809467008,-1.4084073515080524,-0.23017151791644397,2.357452280375931,1.7026085665023805,4.200628413373542,0.8621219004790863,-0.30470582045740435,0.2064646067199427,10.041876319270244
14,0.3,30,own75,none,2.0,3.784704070249901,0.3254982214385611,1.2260777325376044,-0.20247203315628315,2.841338578352753,1.4362170346180776,1.3320144593412249,0.8201161206754445,-0.17626090031859787,1.4059737860629915,0.9618062455830966,1.4191402225904528,-0.05094109296291167,-0.20247203315628404,3.414571373046796,1.6155145236648112,7.000607993029497,0.9130478782234679,-0.4535735664618048,0.36130586749759774,16.829952668567316
14,0.3,30,own75,none,20.0,3.280718393171212,0.28599525632317024,1.108165279927091,-0.20857093611628252,2.5985529748418768,1.3247616145744718,1.2625174183223415,0.6889233145290806,-0.1975626129678727,1.3615927374905614,0.9317297660771011,1.3055460913250418,-0.18740080728711128,-0.20857093611628408,2.937260700284732,1.394680153810736,6.089294889321328,0.82034140041149,-0.4678777746387368,0.36130586749759774,16.829952668567316
14,0.3,30,own75,btc_ma100,2.0,2.442695190817697,0.20814342720435097,1.121707553117106,-0.202413610876523,1.8175646366075557,1.137812275403873,1.3439385547118319,1.0952688417058882,-0.08880181008488564,1.221552467475983,0.8760493249409673,1.0730931406708784,-1.5763715313185398,-0.2024136108765242,2.192212841544335,1.374220327979502,4.982227568621191,0.8126125525126341,-0.3872538928186917,0.17116447638818033,9.577892803795713
14,0.3,30,own75,btc_ma100,20.0,2.2524843705271413,0.18758437042824072,1.028332702761682,-0.20983066073655632,1.723822055547153,1.0454692836481558,1.3066803289114353,0.999458432906679,-0.09207461711681186,1.195371550030037,0.8700536464156363,0.9702566548392859,-1.617279605983962,-0.2098306607365572,2.026753432368226,1.2596433880537237,4.55900090828103,0.7429792226328784,-0.3965172209509378,0.17116447638818033,9.577892803795713
14,0.3,30,own75,btc_ma200,2.0,2.64777191121061,0.22894084680591043,1.1395282284212194,-0.18521083469873512,1.901654570181778,1.1840170269898787,1.392351667189224,1.0629584557786709,-0.13325021766215916,1.223528405750749,0.910382410264993,1.0133123172045162,-1.402082913019003,-0.18521083469873645,2.4178438067333805,1.820491802282397,4.080899664035618,0.8800691654857231,-0.3232395753709537,0.1850665698982828,9.406661715685665
14,0.3,30,own75,btc_ma200,20.0,2.4469236317823277,0.20858590245741526,1.0553421379142864,-0.19524580692033455,1.8027561818040752,1.0938810799569267,1.357323667215838,0.9890044048649644,-0.1370468585836918,1.1974483998777194,0.8990895780100828,0.9141878937295291,-1.4084073515080524,-0.19524580692033522,2.23040259650093,1.6787995893752161,3.7626173904970557,0.8121287162489135,-0.3333192803373506,0.1850665698982828,9.406661715685665
14,0.4,30,none,none,2.0,5.265556406308163,0.4214839852451626,1.1588251485958314,-0.33726297792430715,4.010375869482363,1.4213123207314464,1.3129832658273508,0.6447236891257265,-0.28127273362719507,1.615454125185277,0.9223927984216623,1.4916702860757451,-0.09469772278674747,-0.33726297792430815,4.796005130018427,1.629017321395471,13.597331710459063,0.8818009439145733,-0.5867830711140475,0.5498112605292004,23.723528745776253
14,0.4,30,none,none,20.0,4.3033406447807785,0.36203230082071247,1.0397707906411884,-0.34607367917183907,3.545951438243658,1.3119877841156802,1.2135926618646133,0.5056441851290213,-0.2884216623637553,1.5451636813716951,0.8818901594598338,1.3678022446837457,-0.23574270571726458,-0.34607367917183984,3.8728212775863793,1.3223663514282857,11.16315334888757,0.7868852647231526,-0.6144730506763368,0.5498112605292004,23.723528745776253
14,0.4,30,none,btc_ma100,2.0,3.1681048561555594,0.2765203609917328,1.1130425820961605,-0.25945093507786243,2.1786408658025693,1.1327417351746856,1.454165716747673,1.0809326120083953,-0.12315714443854053,1.269470023993775,0.8347192485175933,1.0400418803651803,-1.5662894363107582,-0.25945093507786365,2.799961311494223,1.5056903338121335,8.127422795728645,0.8415079866169617,-0.46652898737360415,0.22885544599754076,12.726710265506885
14,0.4,30,none,btc_ma100,20.0,2.8410808030403687,0.24741268441032327,1.019619395084484,-0.270874846573511,2.027474768815956,1.0401177124752068,1.4012903374869423,0.9852853650767878,-0.12812843467679758,1.2330664058340164,0.8270028871625393,0.9285950789056452,-1.607255422457357,-0.2708748465735126,2.511484050798346,1.3426296243768179,7.193712112845268,0.7679484948803954,-0.4766585324022876,0.22885544599754076,12.726710265506885
14,0.4,30,none,btc_ma200,2.0,3.5822152713351976,0.31015686472892723,1.1455218740542625,-0.28690925318288896,2.5056399183658704,1.2797324033645145,1.4296608403618687,0.9115847132343845,-0.22666495749641713,1.3282936510534924,0.9404363133582654,1.0764015162687597,-1.402125841471652,-0.28690925318289007,2.9959023984290134,2.0305274663159842,6.452478266870763,0.8874047823760962,-0.378383595178143,0.2614745434837311,12.722999602800533
14,0.4,30,none,btc_ma200,20.0,3.2145958290407792,0.2804636181648661,1.0597936102244274,-0.2951324371699974,2.32960562403059,1.189052216204797,1.379888422263944,0.8345037969894454,-0.23298929460879259,1.2846682496265653,0.9344756208360804,0.9678279485951607,-1.4084396646777027,-0.29513243716999815,2.6786316389165634,1.819733729662555,5.745016566854822,0.8130279001606324,-0.3950144705079929,0.2614745434837311,12.722999602800533
14,0.4,30,own75,none,2.0,4.692832941881388,0.3872482377152924,1.1538570062478246,-0.2600998731149554,3.258332045638035,1.3209881318517585,1.440256203527119,0.8369030767321516,-0.22458901620898886,1.4530996004075127,0.9511382226083921,1.2865809766599428,-0.012332774718588662,-0.26009987311495597,4.17296299976833,1.5684654337000743,10.11260389146248,0.8772126910046174,-0.547497201392772,0.45158391419158883,21.113408883960002
14,0.4,30,own75,none,20.0,3.922708754918843,0.3355871245683466,1.0391488949897982,-0.2676330938552506,2.9141566977857507,1.2122064400641515,1.346087105713774,0.7104168114143252,-0.24700536924030148,1.3956764878365016,0.9143605846892157,1.1712083834148688,-0.14180282246764037,-0.2676330938552517,3.4523485875089897,1.3037428052080884,8.50824893115531,0.7866017924192953,-0.5621712761572131,0.45158391419158883,21.113408883960002
14,0.4,30,own75,btc_ma100,2.0,2.980047839522342,0.2600886249972121,1.0860167703625445,-0.2616756553702989,2.0218333208679953,1.06912489236151,1.4739334883663766,1.1229810731753447,-0.11564989955368654,1.268163653306601,0.8362896565636694,1.0117369295973675,-1.5662894363107582,-0.2616756553703,2.497127043933511,1.3941752983004463,7.2719014939069035,0.7690290444887837,-0.46652898737360393,0.21735037653222083,12.307067308366417
14,0.4,30,own75,btc_ma100,20.0,2.685647043849437,0.2326419012887726,0.9940056560844583,-0.2708250425620121,1.8885720465206173,0.977564945629612,1.4220516759195398,1.0297607558290716,-0.11776808381728232,1.2325070289580853,0.8286641848955569,0.9112717463125337,-1.607255422457357,-0.2708250425620131,2.2566816716899587,1.247757235902666,6.480961579452543,0.7005158054509149,-0.4766585324022874,0.21735037653222083,12.307067308366417
14,0.4,30,own75,btc_ma200,2.0,3.27729212744343,0.28571079324824566,1.1070669751480005,-0.24642958686848637,2.1349580546398217,1.12282192514054,1.5350616000726653,1.0808655556633948,-0.17441408799863356,1.2793010404776994,0.8870342816421091,0.9959541951860672,-1.402125841471652,-0.2464295868684877,2.8468456555211574,1.9662208788824873,5.929811864667635,0.8553067534669772,-0.4089464679483866,0.2347577394782557,11.95501064848231
14,0.4,30,own75,btc_ma200,20.0,2.96258958080667,0.258522092043719,1.0238895378001587,-0.2579597175004218,1.9949231484644139,1.033728967504256,1.4850645164386989,1.0076332116584887,-0.17925691311605674,1.239004523848939,0.8727975118341769,0.9078532311103432,-1.4084396646777027,-0.2579597175004237,2.5697581704250645,1.776786100906385,5.353059041247764,0.7876725486741436,-0.4246121483757347,0.2347577394782557,11.95501064848231
14,0.5,30,none,none,2.0,5.756908967488927,0.44858826798581686,1.0724184819525449,-0.39888721642995406,4.366090131774386,1.3150305208447184,1.3185501887816755,0.6010772912411166,-0.33536183963980515,1.658475954061792,0.8738891872268864,1.381602106786697,-0.15964452678974084,-0.3988872164299545,5.351649330897909,1.348133168681063,17.412411468930785,0.8308023082390779,-0.6737340314319993,0.6390373529639672,27.59131874090053
14,0.5,30,none,none,20.0,4.547218543009362,0.37802130512168297,0.9568590428894315,-0.40941815560717065,3.781414573587228,1.2086440418375541,1.2025178552944702,0.46690398324195487,-0.34332432167363547,1.57344552541793,0.8296868687204428,1.2641684806865026,-0.2949263908771598,-0.4094181556071722,4.16902886693556,1.0533662383100364,13.83127567833962,0.7384060318621706,-0.6996043921192727,0.6390373529639672,27.59131874090053
14,0.5,30,none,btc_ma100,2.0,3.6610103229826936,0.31620600464848025,1.0690579703906948,-0.3161813865588402,2.3262790482704654,1.0587949217721107,1.5737623247325259,1.094626545683008,-0.15005064162030113,1.2855053693755105,0.8020449553993599,0.9444887109983285,-1.5555684609604092,-0.3161813865588412,2.94617243622647,1.586862650017874,10.382267249593424,0.7960523726612247,-0.5396378960246446,0.268782555406747,14.941035231269723
14,0.5,30,none,btc_ma100,20.0,3.2201530801034957,0.28093195764959367,0.9780974120873127,-0.32875964137084246,2.137439227185291,0.968137387924881,1.5065471986981303,1.002619161269028,-0.15575522378034878,1.2388359784191327,0.7929983367551997,0.839822793036265,-1.5967767727268083,-0.3287596413708431,2.5925064295467815,1.3863949596034304,8.98808409037567,0.7281266878795137,-0.5498178345502023,0.268782555406747,14.941035231269723
14,0.5,30,none,btc_ma200,2.0,4.133318405940657,0.3504574577766466,1.0965662866141554,-0.34399606648789005,2.733083539310622,1.210637060751359,1.5123278694156639,0.9018815879130759,-0.2746698132602038,1.3467322704629172,0.9288911532529373,1.0104911659816553,-1.4021687761378607,-0.34399606648789127,3.3857142126966053,2.0303065173787997,8.08198570151913,0.8642294396553798,-0.47475126239892085,0.3084472885894387,14.946838101821992
14,0.5,30,none,btc_ma200,20.0,3.638596000997568,0.31449577396955175,1.0125202162056413,-0.3531943817786245,2.510665316014327,1.121969561708713,1.4492556924209357,0.8257327025244182,-0.28182692365897666,1.291611998474907,0.9170240973525242,0.910456425088616,-1.4084719707062108,-0.3531943817786253,2.969432812545284,1.7828213179059345,7.134712101435424,0.7915055079379549,-0.4956085129524268,0.3084472885894387,14.946838101821992
14,0.5,30,own75,none,2.0,5.3009332061433865,0.4235006090333622,1.0826182265906037,-0.3112309887970043,3.5572809536054844,1.2323120321209744,1.4901643348610432,0.8012529297048726,-0.27925462922414457,1.4830737238032008,0.9122486659375119,1.1882008639900183,-0.06549513132198594,-0.3112309887970053,4.654360197679742,1.4326897548660544,13.199886038627488,0.8361677525352056,-0.628482726264666,0.5270385568589091,24.689866316151605
14,0.5,30,own75,none,20.0,4.295247906987322,0.36148960697109334,0.9710514720033395,-0.319786145779291,3.121275958958722,1.1263434522767986,1.3761192420872144,0.6787475055274792,-0.3032569648308697,1.4227024290107204,0.8712023592010222,1.0739906940682906,-0.19054241883071876,-0.3197861457792912,3.725779913557414,1.1542380729869097,10.79151513375578,0.7475222591258891,-0.6425346195542753,0.5270385568589091,24.689866316151605
14,0.5,30,own75,btc_ma100,2.0,3.449344455009991,0.2997144242661902,1.0456784332803022,-0.31549603506097224,2.1558204915014443,1.0003670281782702,1.6000146898166165,1.1358105267171048,-0.1425018185580602,1.289788301311306,0.8036261427520527,0.9415961102013554,-1.5555684609604092,-0.31549603506097335,2.6373304515260374,1.4303474579488746,9.28540474298976,0.7151595426159945,-0.5396378960246451,0.257219160631629,14.485135096670476
14,0.5,30,own75,btc_ma100,20.0,3.049107259473757,0.26621531370901486,0.9559701669489226,-0.3260144785002539,1.9881802151920536,0.9106560256478269,1.5336171420351972,1.0458612631447983,-0.1449783486534464,1.2444796439461538,0.7946666730304489,0.8400231486522372,-1.5967767727268083,-0.326014478500255,2.338138582529311,1.2542098244359428,8.096242319064933,0.648659072497985,-0.5498178345502021,0.257219160631629,14.485135096670476
14,0.5,30,own75,btc_ma200,2.0,3.818701245465944,0.3280101861088698,1.0690591413354276,-0.3028139218423659,2.308402711774022,1.0655406127962925,1.6542612889807478,1.0756032362508063,-0.2123732293386713,1.298925154827924,0.868841113677726,0.9576618533871423,-1.4021687761378607,-0.3028139218423671,3.2348030710485203,1.9907043108484892,8.002123356917373,0.8414002780927101,-0.5022463015097322,0.27807182778699974,14.02909018673601
14,0.5,30,own75,btc_ma200,20.0,3.387658260447889,0.2947583454605647,0.987344833375424,-0.3155103459367117,2.1312513429600135,0.9782963258567069,1.5895160707525495,1.0030470352482372,-0.2180518079297139,1.2501376504132313,0.8523740098887422,0.8660068381099163,-1.4084719707062108,-0.31551034593671246,2.8664280640645057,1.766569931871714,7.10044869119299,0.774653132023532,-0.5202845317633351,0.27807182778699974,14.02909018673601
14,0.6,30,none,none,2.0,6.074501740732742,0.4651513092219024,1.0145462396847071,-0.45689633314104594,4.81088711992839,1.265857430552858,1.2626572998501684,0.5235082693188553,-0.38305993911525105,1.704095299407239,0.8116642141009918,1.3299337967833313,-0.2576016438920164,-0.45689633314104616,5.557553562950752,1.114002704833059,21.241721032236267,0.7934472300500055,-0.7479084322518581,0.7163129603424567,30.915340273100412
14,0.6,30,none,none,20.0,4.663250055937645,0.3853921563743641,0.9020617442210404,-0.4682222063215814,4.0938906400461095,1.1623142381071319,1.1390753847506607,0.39271511349042776,-0.39143908151099305,1.60787147944895,0.7660025243188698,1.2141357929099017,-0.3898266090816491,-0.4682222063215822,4.201692126416139,0.8441868313956555,16.40153098951305,0.7034136445968702,-0.7704516184227637,0.7163129603424567,30.915340273100412
