date,c14_tv0.3_vw30_none_none_2bps,c14_tv0.3_vw30_none_none_20bps,c14_tv0.3_vw30_none_btc_ma100_2bps,c14_tv0.3_vw30_none_btc_ma100_20bps,c14_tv0.3_vw30_none_btc_ma200_2bps,c14_tv0.3_vw30_none_btc_ma200_20bps,c14_tv0.3_vw30_own75_none_2bps,c14_tv0.3_vw30_own75_none_20bps,c14_tv0.3_vw30_own75_btc_ma100_2bps,c14_tv0.3_vw30_own75_btc_ma100_20bps,c14_tv0.3_vw30_own75_btc_ma200_2bps,c14_tv0.3_vw30_own75_btc_ma200_20bps,c14_tv0.4_vw30_none_none_2bps,c14_tv0.4_vw30_none_none_20bps,c14_tv0.4_vw30_none_btc_ma100_2bps,c14_tv0.4_vw30_none_btc_ma100_20bps,c14_tv0.4_vw30_none_btc_ma200_2bps,c14_tv0.4_vw30_none_btc_ma200_20bps,c14_tv0.4_vw30_own75_none_2bps,c14_tv0.4_vw30_own75_none_20bps,c14_tv0.4_vw30_own75_btc_ma100_2bps,c14_tv0.4_vw30_own75_btc_ma100_20bps,c14_tv0.4_vw30_own75_btc_ma200_2bps,c14_tv0.4_vw30_own75_btc_ma200_20bps,c14_tv0.5_vw30_none_none_2bps,c14_tv0.5_vw30_none_none_20bps,c14_tv0.5_vw30_none_btc_ma100_2bps,c14_tv0.5_vw30_none_btc_ma100_20bps,c14_tv0.5_vw30_none_btc_ma200_2bps,c14_tv0.5_vw30_none_btc_ma200_20bps,c14_tv0.5_vw30_own75_none_2bps,c14_tv0.5_vw30_own75_none_20bps,c14_tv0.5_vw30_own75_btc_ma100_2bps,c14_tv0.5_vw30_own75_btc_ma100_20bps,c14_tv0.5_vw30_own75_btc_ma200_2bps,c14_tv0.5_vw30_own75_btc_ma200_20bps,c14_tv0.6_vw30_none_none_2bps,c14_tv0.6_vw30_none_none_20bps,c14_tv0.6_vw30_none_btc_ma100_2bps,c14_tv0.6_vw30_none_btc_ma100_20bps,c14_tv0.6_vw30_none_btc_ma200_2bps,c14_tv0.6_vw30_none_btc_ma200_20bps,c14_tv0.6_vw30_own75_none_2bps,c14_tv0.6_vw30_own75_none_20bps,c14_tv0.6_vw30_own75_btc_ma100_2bps,c14_tv0.6_vw30_own75_btc_ma100_20bps,c14_tv0.6_vw30_own75_btc_ma200_2bps,c14_tv0.6_vw30_own75_btc_ma200_20bps,c14_tv0.8_vw30_none_none_2bps,c14_tv0.8_vw30_none_none_20bps,c14_tv0.8_vw30_none_btc_ma100_2bps,c14_tv0.8_vw30_none_btc_ma100_20bps,c14_tv0.8_vw30_none_btc_ma200_2bps,c14_tv0.8_vw30_none_btc_ma200_20bps,c14_tv0.8_vw30_own75_none_2bps,c14_tv0.8_vw30_own75_none_20bps,c14_tv0.8_vw30_own75_btc_ma100_2bps,c14_tv0.8_vw30_own75_btc_ma100_20bps,c14_tv0.8_vw30_own75_btc_ma200_2bps,c14_tv0.8_vw30_own75_btc_ma200_20bps,c21_tv0.3_vw30_none_none_2bps,c21_tv0.3_vw30_none_none_20bps,c21_tv0.3_vw30_none_btc_ma100_2bps,c21_tv0.3_vw30_none_btc_ma100_20bps,c21_tv0.3_vw30_none_btc_ma200_2bps,c21_tv0.3_vw30_none_btc_ma200_20bps,c21_tv0.3_vw30_own75_none_2bps,c21_tv0.3_vw30_own75_none_20bps,c21_tv0.3_vw30_own75_btc_ma100_2bps,c21_tv0.3_vw30_own75_btc_ma100_20bps,c21_tv0.3_vw30_own75_btc_ma200_2bps,c21_tv0.3_vw30_own75_btc_ma200_20bps,c21_tv0.4_vw30_none_none_2bps,c21_tv0.4_vw30_none_none_20bps,c21_tv0.4_vw30_none_btc_ma100_2bps,c21_tv0.4_vw30_none_btc_ma100_20bps,c21_tv0.4_vw30_none_btc_ma200_2bps,c21_tv0.4_vw30_none_btc_ma200_20bps,c21_tv0.4_vw30_own75_none_2bps,c21_tv0.4_vw30_own75_none_20bps,c21_tv0.4_vw30_own75_btc_ma100_2bps,c21_tv0.4_vw30_own75_btc_ma100_20bps,c21_tv0.4_vw30_own75_btc_ma200_2bps,c21_tv0.4_vw30_own75_btc_ma200_20bps,c21_tv0.5_vw30_none_none_2bps,c21_tv0.5_vw30_none_none_20bps,c21_tv0.5_vw30_none_btc_ma100_2bps,c21_tv0.5_vw30_none_btc_ma100_20bps,c21_tv0.5_vw30_none_btc_ma200_2bps,c21_tv0.5_vw30_none_btc_ma200_20bps,c21_tv0.5_vw30_own75_none_2bps,c21_tv0.5_vw30_own75_none_20bps,c21_tv0.5_vw30_own75_btc_ma100_2bps,c21_tv0.5_vw30_own75_btc_ma100_20bps,c21_tv0.5_vw30_own75_btc_ma200_2bps,c21_tv0.5_vw30_own75_btc_ma200_20bps,c21_tv0.6_vw30_none_none_2bps,c21_tv0.6_vw30_none_none_20bps,c21_tv0.6_vw30_none_btc_ma100_2bps,c21_tv0.6_vw30_none_btc_ma100_20bps,c21_tv0.6_vw30_none_btc_ma200_2bps,c21_tv0.6_vw30_none_btc_ma200_20bps,c21_tv0.6_vw30_own75_none_2bps,c21_tv0.6_vw30_own75_none_20bps,c21_tv0.6_vw30_own75_btc_ma100_2bps,c21_tv0.6_vw30_own75_btc_ma100_20bps,c21_tv0.6_vw30_own75_btc_ma200_2bps,c21_tv0.6_vw30_own75_btc_ma200_20bps,c21_tv0.8_vw30_none_none_2bps,c21_tv0.8_vw30_none_none_20bps,c21_tv0.8_vw30_none_btc_ma100_2bps,c21_tv0.8_vw30_none_btc_ma100_20bps,c21_tv0.8_vw30_none_btc_ma200_2bps,c21_tv0.8_vw30_none_btc_ma200_20bps,c21_tv0.8_vw30_own75_none_2bps,c21_tv0.8_vw30_own75_none_20bps,c21_tv0.8_vw30_own75_btc_ma100_2bps,c21_tv0.8_vw30_own75_btc_ma100_20bps,c21_tv0.8_vw30_own75_btc_ma200_2bps,c21_tv0.8_vw30_own75_btc_ma200_20bps
2022-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-02,-0.0005505958768814671,-0.000570172817508168,0.0,0.0,0.0,0.0,-0.0005505958768814671,-0.000570172817508168,0.0,0.0,0.0,0.0,-0.0007341203557149623,-0.0007601556220742101,0.0,0.0,0.0,0.0,-0.0007341203557149623,-0.0007601556220742101,0.0,0.0,0.0,0.0,-0.0009176410944849524,-0.0009501010260052663,0.0,0.0,0.0,0.0,-0.0009176410944849524,-0.0009501010260052663,0.0,0.0,0.0,0.0,-0.0011011580931914375,-0.0011400090293012968,0.0,0.0,0.0,0.0,-0.0011011580931914375,-0.0011400090293012968,0.0,0.0,0.0,0.0,-0.001468180870413909,-0.001519712833988369,0.0,0.0,0.0,0.0,-0.001468180870413909,-0.001519712833988369,0.0,0.0,0.0,0.0,-0.00036706391792097815,-0.000380115211672112,0.0,0.0,0.0,0.0,-0.00036706391792097815,-0.000380115211672112,0.0,0.0,0.0,0.0,-0.0004894135704766415,-0.00050677041471614,0.0,0.0,0.0,0.0,-0.0004894135704766415,-0.00050677041471614,0.0,0.0,0.0,0.0,-0.000611760729656635,-0.0006334006840035108,0.0,0.0,0.0,0.0,-0.000611760729656635,-0.0006334006840035108,0.0,0.0,0.0,0.0,-0.0007341053954609584,-0.000760006019534198,0.0,0.0,0.0,0.0,-0.0007341053954609584,-0.000760006019534198,0.0,0.0,0.0,0.0,-0.000978787246942606,-0.0010131418893255793,0.0,0.0,0.0,0.0,-0.000978787246942606,-0.0010131418893255793,0.0,0.0,0.0,0.0
2022-01-03,0.0029329938965566254,0.002907063638228632,0.0,0.0,0.0,0.0,0.0029329938965566254,0.002907063638228632,0.0,0.0,0.0,0.0,0.003915701718895183,0.003880896324741296,0.0,0.0,0.0,0.0,0.003915701718895183,0.003880896324741296,0.0,0.0,0.0,0.0,0.004900963988986017,0.004857167600814608,0.0,0.0,0.0,0.0,0.004900963988986017,0.004857167600814608,0.0,0.0,0.0,0.0,0.005888800725842017,0.005835897485461475,0.0,0.0,0.0,0.0,0.005888800725842017,0.005835897485461475,0.0,0.0,0.0,0.0,0.00787227872201184,0.0078008142026381655,0.0,0.0,0.0,0.0,0.00787227872201184,0.0078008142026381655,0.0,0.0,0.0,0.0,0.0019553292643710836,0.0019380424254857548,0.0,0.0,0.0,0.0,0.0019553292643710836,0.0019380424254857548,0.0,0.0,0.0,0.0,0.002610467812596789,0.0025872642164941973,0.0,0.0,0.0,0.0,0.002610467812596789,0.0025872642164941973,0.0,0.0,0.0,0.0,0.0032673093259906775,0.003238111733876405,0.0,0.0,0.0,0.0,0.0032673093259906775,0.003238111733876405,0.0,0.0,0.0,0.0,0.003925867150561345,0.0038905983236409833,0.0,0.0,0.0,0.0,0.003925867150561345,0.0038905983236409833,0.0,0.0,0.0,0.0,0.005248185814674561,0.005200542801758777,0.0,0.0,0.0,0.0,0.005248185814674561,0.005200542801758777,0.0,0.0,0.0,0.0
2022-01-04,0.001747095775483709,0.001720327373559887,0.0,0.0,0.0,0.0,0.001747095775483709,0.001720327373559887,0.0,0.0,0.0,0.0,0.0023218282882752467,0.00228597238597446,0.0,0.0,0.0,0.0,0.0023218282882752467,0.00228597238597446,0.0,0.0,0.0,0.0,0.002892880454040736,0.002847854701495139,0.0,0.0,0.0,0.0,0.002892880454040736,0.002847854701495139,0.0,0.0,0.0,0.0,0.0034603305208574875,0.003406052568199266,0.0,0.0,0.0,0.0,0.0034603305208574875,0.003406052568199266,0.0,0.0,0.0,0.0,0.004584726723787029,0.004511697321299976,0.0,0.0,0.0,0.0,0.004584726723787029,0.004511697321299976,0.0,0.0,0.0,0.0,0.0011647305169891393,0.0011468849157065914,0.0,0.0,0.0,0.0,0.0011647305169891393,0.0011468849157065914,0.0,0.0,0.0,0.0,0.0015478855255168314,0.0015239815906496399,0.0,0.0,0.0,0.0,0.0015478855255168314,0.0015239815906496399,0.0,0.0,0.0,0.0,0.0019285869693604907,0.001898569800996759,0.0,0.0,0.0,0.0,0.0019285869693604907,0.001898569800996759,0.0,0.0,0.0,0.0,0.002306887013904992,0.002270701712132844,0.0,0.0,0.0,0.0,0.002306887013904992,0.002270701712132844,0.0,0.0,0.0,0.0,0.0030564844825246864,0.003007798214199984,0.0,0.0,0.0,0.0,0.0030564844825246864,0.003007798214199984,0.0,0.0,0.0,0.0
2022-01-05,-0.004033467323123588,-0.004060879768052876,0.0,0.0,0.0,0.0,-0.004033467323123588,-0.004060879768052876,0.0,0.0,0.0,0.0,-0.005350639637889549,-0.005386985297706782,0.0,0.0,0.0,0.0,-0.005350639637889549,-0.005386985297706782,0.0,0.0,0.0,0.0,-0.006654760563801003,-0.00669993730512861,0.0,0.0,0.0,0.0,-0.006654760563801003,-0.00669993730512861,0.0,0.0,0.0,0.0,-0.007946172476663809,-0.008000078166124216,0.0,0.0,0.0,0.0,-0.007946172476663809,-0.008000078166124216,0.0,0.0,0.0,0.0,-0.010492172034136287,-0.01056322921972956,0.0,0.0,0.0,0.0,-0.010492172034136287,-0.01056322921972956,0.0,0.0,0.0,0.0,-0.0026889782154157255,-0.0027072531787019176,0.0,0.0,0.0,0.0,-0.0026889782154157255,-0.0027072531787019176,0.0,0.0,0.0,0.0,-0.003567093091926366,-0.003591323531804522,0.0,0.0,0.0,0.0,-0.003567093091926366,-0.003591323531804522,0.0,0.0,0.0,0.0,-0.0044365070425340025,-0.00446662487008574,0.0,0.0,0.0,0.0,-0.0044365070425340025,-0.00446662487008574,0.0,0.0,0.0,0.0,-0.005297448317775873,-0.00533338544408281,0.0,0.0,0.0,0.0,-0.005297448317775873,-0.00533338544408281,0.0,0.0,0.0,0.0,-0.0069947813560908585,-0.007042152813153039,0.0,0.0,0.0,0.0,-0.0069947813560908585,-0.007042152813153039,0.0,0.0,0.0,0.0
2022-01-06,0.002437391175578079,0.0024170010055087105,0.0,0.0,0.0,0.0,0.002437391175578079,0.0024170010055087105,0.0,0.0,0.0,0.0,0.0032497944418957386,0.0032225521858426642,0.0,0.0,0.0,0.0,0.0032497944418957386,0.0032225521858426642,0.0,0.0,0.0,0.0,0.0040622833403710645,0.0040281613170206464,0.0,0.0,0.0,0.0,0.0040622833403710645,0.0040281613170206464,0.0,0.0,0.0,0.0,0.004874927296133813,0.004833897824172428,0.0,0.0,0.0,0.0,0.004874927296133813,0.004833897824172428,0.0,0.0,0.0,0.0,0.006500958127942824,0.00644603071481864,0.0,0.0,0.0,0.0,0.006500958127942824,0.00644603071481864,0.0,0.0,0.0,0.0,0.0016249274503853859,0.0016113340036724736,0.0,0.0,0.0,0.0,0.0016249274503853859,0.0016113340036724736,0.0,0.0,0.0,0.0,0.0021665296279304923,0.0021483681238951093,0.0,0.0,0.0,0.0,0.0021665296279304923,0.0021483681238951093,0.0,0.0,0.0,0.0,0.0027081888935807097,0.002685440878013764,0.0,0.0,0.0,0.0,0.0027081888935807097,0.002685440878013764,0.0,0.0,0.0,0.0,0.0032499515307558755,0.0032225985494482856,0.0,0.0,0.0,0.0,0.0032499515307558755,0.0032225985494482856,0.0,0.0,0.0,0.0,0.004333972085295216,0.004297353809879094,0.0,0.0,0.0,0.0,0.004333972085295216,0.004297353809879094,0.0,0.0,0.0,0.0
2022-01-07,-0.0039295336265830405,-0.003949614641673094,0.0,0.0,0.0,0.0,-0.0039295336265830405,-0.003949614641673094,0.0,0.0,0.0,0.0,-0.005229418163365029,-0.005256107061033989,0.0,0.0,0.0,0.0,-0.005229418163365029,-0.005256107061033989,0.0,0.0,0.0,0.0,-0.006524514265931076,-0.006557768151620061,0.0,0.0,0.0,0.0,-0.006524514265931076,-0.006557768151620061,0.0,0.0,0.0,0.0,-0.00781493279692852,-0.007854708776078642,0.0,0.0,0.0,0.0,-0.00781493279692852,-0.007854708776078642,0.0,0.0,0.0,0.0,-0.010382167892429581,-0.010434859374825292,0.0,0.0,0.0,0.0,-0.010382167892429581,-0.010434859374825292,0.0,0.0,0.0,0.0,-0.0026196890843886936,-0.0026330764277820626,0.0,0.0,0.0,0.0,-0.0026196890843886936,-0.0026330764277820626,0.0,0.0,0.0,0.0,-0.0034862787755766864,-0.0035040713740226597,0.0,0.0,0.0,0.0,-0.0034862787755766864,-0.0035040713740226597,0.0,0.0,0.0,0.0,-0.004349676177287384,-0.004371845434413374,0.0,0.0,0.0,0.0,-0.004349676177287384,-0.004371845434413374,0.0,0.0,0.0,0.0,-0.005209955197952347,-0.005236472517385761,0.0,0.0,0.0,0.0,-0.005209955197952347,-0.005236472517385761,0.0,0.0,0.0,0.0,-0.00692144526161972,-0.006956572916550195,0.0,0.0,0.0,0.0,-0.00692144526161972,-0.006956572916550195,0.0,0.0,0.0,0.0
2022-01-08,-0.005860127733441268,-0.005891711469858388,0.0,0.0,0.0,0.0,-0.005860127733441268,-0.005891711469858388,0.0,0.0,0.0,0.0,-0.00782162745605458,-0.007863673971965033,0.0,0.0,0.0,0.0,-0.00782162745605458,-0.007863673971965033,0.0,0.0,0.0,0.0,-0.009787446695836326,-0.00983992342491725,0.0,0.0,0.0,0.0,-0.009787446695836326,-0.00983992342491725,0.0,0.0,0.0,0.0,-0.011757741327528817,-0.011820615703457358,0.0,0.0,0.0,0.0,-0.011757741327528817,-0.011820615703457358,0.0,0.0,0.0,0.0,-0.01571238535769426,-0.01579595732834946,0.0,0.0,0.0,0.0,-0.01571238535769426,-0.01579595732834946,0.0,0.0,0.0,0.0,-0.003906751822294179,-0.003927807646572259,0.0,0.0,0.0,0.0,-0.003906751822294179,-0.003927807646572259,0.0,0.0,0.0,0.0,-0.005214418304036387,-0.0052424493146433545,0.0,0.0,0.0,0.0,-0.005214418304036387,-0.0052424493146433545,0.0,0.0,0.0,0.0,-0.006524964463890884,-0.006559948949944832,0.0,0.0,0.0,0.0,-0.006524964463890884,-0.006559948949944832,0.0,0.0,0.0,0.0,-0.007838494218352546,-0.007880410468971573,0.0,0.0,0.0,0.0,-0.007838494218352546,-0.007880410468971573,0.0,0.0,0.0,0.0,-0.010474923571796172,-0.010530638218899642,0.0,0.0,0.0,0.0,-0.010474923571796172,-0.010530638218899642,0.0,0.0,0.0,0.0
2022-01-09,0.0011630097037253404,0.001128500752520134,0.0,0.0,0.0,0.0,0.0011630097037253404,0.001128500752520134,0.0,0.0,0.0,0.0,0.0015403629289988555,0.0014940271541881791,0.0,0.0,0.0,0.0,0.0015403629289988555,0.0014940271541881791,0.0,0.0,0.0,0.0,0.0019123009209469394,0.0018539764025956346,0.0,0.0,0.0,0.0,0.0019123009209469394,0.0018539764025956346,0.0,0.0,0.0,0.0,0.0022786610808583274,0.002208185899031188,0.0,0.0,0.0,0.0,0.0022786610808583274,0.002208185899031188,0.0,0.0,0.0,0.0,0.00299396708372698,0.0028987048151425704,0.0,0.0,0.0,0.0,0.00299396708372698,0.0028987048151425704,0.0,0.0,0.0,0.0,0.0007753398024835603,0.0007523338350134227,0.0,0.0,0.0,0.0,0.0007753398024835603,0.0007523338350134227,0.0,0.0,0.0,0.0,0.0010269086193325702,0.0009960181027921194,0.0,0.0,0.0,0.0,0.0010269086193325702,0.0009960181027921194,0.0,0.0,0.0,0.0,0.001274867280631293,0.0012359842683970898,0.0,0.0,0.0,0.0,0.001274867280631293,0.0012359842683970898,0.0,0.0,0.0,0.0,0.0015191073872388848,0.0014721239326874588,0.0,0.0,0.0,0.0,0.0015191073872388848,0.0014721239326874588,0.0,0.0,0.0,0.0,0.0019959780558179868,0.0019324698767617136,0.0,0.0,0.0,0.0,0.0019959780558179868,0.0019324698767617136,0.0,0.0,0.0,0.0
2022-01-10,0.008324269364473804,0.00828962472441243,0.0,0.0,0.0,0.0,0.008324269364473804,0.00828962472441243,0.0,0.0,0.0,0.0,0.01116676047759064,0.011120520198311905,0.0,0.0,0.0,0.0,0.01116676047759064,0.011120520198311905,0.0,0.0,0.0,0.0,0.014044698730421261,0.013986839098993453,0.0,0.0,0.0,0.0,0.014044698730421261,0.013986839098993453,0.0,0.0,0.0,0.0,0.016959083578216263,0.016889580881707573,0.0,0.0,0.0,0.0,0.016959083578216263,0.016889580881707573,0.0,0.0,0.0,0.0,0.022901378061318867,0.02280851809585314,0.0,0.0,0.0,0.0,0.022901378061318867,0.02280851809585314,0.0,0.0,0.0,0.0,0.005549512909649203,0.00552641648294162,0.0,0.0,0.0,0.0,0.005549512909649203,0.00552641648294162,0.0,0.0,0.0,0.0,0.0074445069850604265,0.007413680132207937,0.0,0.0,0.0,0.0,0.0074445069850604265,0.007413680132207937,0.0,0.0,0.0,0.0,0.009363132486947508,0.009324559399328969,0.0,0.0,0.0,0.0,0.009363132486947508,0.009324559399328969,0.0,0.0,0.0,0.0,0.011306055718810841,0.011259720587805047,0.0,0.0,0.0,0.0,0.011306055718810841,0.011259720587805047,0.0,0.0,0.0,0.0,0.015267585374212578,0.015205678730568762,0.0,0.0,0.0,0.0,0.015267585374212578,0.015205678730568762,0.0,0.0,0.0,0.0
