spec,cost_bps,full_multiple,post_2024_multiple
primary_mh5_hr2_g10_c1,2.0,28.91607609633492,13.60467748307995
primary_mh5_hr2_g10_c1,20.0,19.692683756267915,10.747182199332027
primary_mh5_hr2_g10_c1,50.0,10.365813809540851,7.248767345036347
primary_mh5_hr2_g10_c1,100.0,3.5424065696990215,3.7511656315854927
loose_gap_mh5_hr2_g05_c1,2.0,24.657313349798528,8.842211547868715
loose_gap_mh5_hr2_g05_c1,20.0,16.43381132177405,6.824375664816512
loose_gap_mh5_hr2_g05_c1,50.0,8.343879598299408,4.427466758137596
loose_gap_mh5_hr2_g05_c1,100.0,2.684209050165538,2.1469710848613235
wide_band_mh5_hr3_g05_c1,2.0,15.788110797293715,6.567803012224965
wide_band_mh5_hr3_g05_c1,20.0,10.675983719570276,5.1214739369794
wide_band_mh5_hr3_g05_c1,50.0,5.552832508605594,3.3801116820141845
wide_band_mh5_hr3_g05_c1,100.0,1.8596377556161525,1.6864630360362185
slow_mh10_hr2_g10_c1,2.0,8.800945993518232,4.586757824301817
slow_mh10_hr2_g10_c1,20.0,6.657724524133328,3.871566379978578
slow_mh10_hr2_g10_c1,50.0,4.177327697431992,2.916965378158507
slow_mh10_hr2_g10_c1,100.0,1.9157612900520513,1.8167160157178022
