strategy,cost_bps,period,start,end,days,multiple,cagr,sharpe,max_drawdown
momentum3_event_ensemble,2.0,full_2022_plus,2022-01-01,2026-09-21,1725,28.91607609633492,1.0386747787872723,1.4343059030538503,-0.46154392281453194
momentum3_event_ensemble,2.0,post_2023,2023-01-01,2026-09-21,1360,39.905271391010984,1.6915623853520274,1.7506280012197646,-0.4615439228145316
momentum3_event_ensemble,2.0,post_2024,2024-01-01,2026-09-21,995,13.60467748307995,1.607918261101954,1.6962971885335971,-0.4615439228145317
momentum3_event_ensemble,20.0,full_2022_plus,2022-01-01,2026-09-21,1725,19.692683756267915,0.8794305016977941,1.3060886452174898,-0.4865076449303106
momentum3_event_ensemble,20.0,post_2023,2023-01-01,2026-09-21,1360,27.68096350231046,1.439724536550651,1.6118664730663188,-0.4865076449303112
momentum3_event_ensemble,20.0,post_2024,2024-01-01,2026-09-21,995,10.747182199332027,1.391633904368942,1.5750892960125027,-0.48650764493031085
momentum3_event_ensemble,50.0,full_2022_plus,2022-01-01,2026-09-21,1725,10.365813809540851,0.640666997487225,1.090174958522959,-0.5448556278037073
momentum3_event_ensemble,50.0,post_2023,2023-01-01,2026-09-21,1360,15.024984100794315,1.0704679838209503,1.3781095538541033,-0.528402562364161
momentum3_event_ensemble,50.0,post_2024,2024-01-01,2026-09-21,995,7.248767345036347,1.0696255126206617,1.3707917343144533,-0.528402562364161
momentum3_event_ensemble,100.0,full_2022_plus,2022-01-01,2026-09-21,1725,3.5424065696990215,0.30706075780066433,0.7254860815257224,-0.6351238497478907
momentum3_event_ensemble,100.0,post_2023,2023-01-01,2026-09-21,1360,5.4050994286036085,0.5733172187935485,0.9829690197759264,-0.603260836658709
momentum3_event_ensemble,100.0,post_2024,2024-01-01,2026-09-21,995,3.7511656315854927,0.6249338731393508,1.0249098590032846,-0.6032608366587084
