strategy,universe_setting,min_history_days,min_daily_dollar_volume,earliest_universe_date,variant,stop_lookback,immediate_reentry,risk_on_fraction,total_return,cagr,annualized_volatility,sharpe,sortino,max_drawdown,calmar,monthly_win_rate,annualized_turnover,avg_turnover_per_rebalance,average_holdings,multiple
strict__momentum_lead_top3_7D_w1__stop21__reentry0,strict,90.0,25000000.0,2023-02-27,momentum_lead_top3_7D_w1,21.0,False,0.5488782051282052,0.8275196072914053,0.1928511544113356,0.46483012289468784,0.6022788590395747,1.0990797231535412,-0.519169832708702,0.371460632458476,0.19047619047619047,16.979878338241267,1.0009866871103026,0.4230769230769231,1.8275196072914053
medium__momentum_lead_top3_biweekly_w0__stop21__reentry0,medium,60.0,10000000.0,2023-01-30,momentum_lead_top3_biweekly_w0,21.0,False,0.5488782051282052,0.7874182533384229,0.1851356874165795,0.45984209920360725,0.5968866258499596,0.9575858346340005,-0.630642582914926,0.29356674038859565,0.21428571428571427,13.302399651534365,1.0577505425367881,0.6875,1.7874182533384229
loose__momentum_lead_top2_7D_w0__stop18__reentry0,loose,30.0,5000000.0,2022-12-31,momentum_lead_top2_7D_w0,18.0,False,0.5584935897435898,0.7802041500263739,0.18373473430324516,0.48046772722658776,0.5810380288006408,1.0392992351335952,-0.5909383576479719,0.3109203048428578,0.19047619047619047,16.979910149413392,1.0009885624217245,0.27884615384615385,1.7802041500263739
loose__momentum_lead_top2_7D_w1__stop18__reentry0,loose,30.0,5000000.0,2022-12-31,momentum_lead_top2_7D_w1,18.0,False,0.5584935897435898,0.7802041500263739,0.18373473430324516,0.48046772722658776,0.5810380288006408,1.0392992351335952,-0.5909383576479719,0.3109203048428578,0.19047619047619047,16.979910149413392,1.0009885624217245,0.27884615384615385,1.7802041500263739
medium__sector_lead_top2_7D__stop10__reentry0,medium,60.0,10000000.0,2023-01-30,sector_lead_top2_7D,10.0,False,0.5488782051282052,0.7707523683042876,0.18189313994821954,0.3268957850310864,0.6719328167090111,1.1388471537963751,-0.3804405250278262,0.47811189392853326,0.23809523809523808,14.637822637082854,1.0009864466344875,0.21634615384615385,1.7707523683042876
loose__momentum_lead_top3_biweekly_w0__stop14__reentry1,loose,30.0,5000000.0,2022-12-31,momentum_lead_top3_biweekly_w0,14.0,True,0.561698717948718,0.7654410637927087,0.18085522626484152,0.4823637646245505,0.5825553284244507,0.9615578472485643,-0.6441303922422081,0.2807742476415174,0.21428571428571427,32.69609328811406,0.9981586209287264,0.8846153846153846,1.7654410637927087
loose__momentum_lead_top3_7D_w0__stop14__reentry0,loose,30.0,5000000.0,2022-12-31,momentum_lead_top3_7D_w0,14.0,False,0.561698717948718,0.7630865131390236,0.180394402611479,0.3643192947423929,0.6335457948029759,1.0612673752830935,-0.42624978675422287,0.4232128864746976,0.21428571428571427,16.394183246761514,1.0009755720136189,0.3605769230769231,1.7630865131390236
medium__momentum_lead_top2_7D_w0__stop16__reentry1,medium,60.0,10000000.0,2023-01-30,momentum_lead_top2_7D_w0,16.0,True,0.5608974358974359,0.7405868393303952,0.17596873726658457,0.4825637511426017,0.5681636263503499,0.9927519461106854,-0.5340951201732904,0.32947078267536023,0.23809523809523808,25.76283781845977,1.0009969364083995,0.3173076923076923,1.7405868393303952
medium__momentum_lead_top2_7D_w1__stop16__reentry1,medium,60.0,10000000.0,2023-01-30,momentum_lead_top2_7D_w1,16.0,True,0.5608974358974359,0.7405868393303952,0.17596873726658457,0.4825637511426017,0.5681636263503499,0.9927519461106854,-0.5340951201732904,0.32947078267536023,0.23809523809523808,25.76283781845977,1.0009969364083995,0.3173076923076923,1.7405868393303952
medium__sector_lead_top1_biweekly__stop21__reentry1,medium,60.0,10000000.0,2023-01-30,sector_lead_top1_biweekly,21.0,True,0.5488782051282052,0.7367430676462505,0.1752086288865371,0.6451408150187226,0.5595770624525905,1.0043339232084978,-0.7784454696470405,0.22507501901961027,0.23809523809523808,24.60090542925923,1.1366875222404857,0.29967948717948717,1.7367430676462505
loose__momentum_lead_top3_7D_w0__stop12__reentry0,loose,30.0,5000000.0,2022-12-31,momentum_lead_top3_7D_w0,12.0,False,0.5584935897435898,0.73350727305424,0.1745678250826066,0.3314388204360186,0.6481231743180791,1.072373073553302,-0.39659978858409606,0.4401611652538508,0.23809523809523808,16.97974377517852,1.000978754436599,0.3389423076923077,1.73350727305424
strict__momentum_lead_top3_7D_w1__stop18__reentry0,strict,90.0,25000000.0,2023-02-27,momentum_lead_top3_7D_w1,18.0,False,0.5584935897435898,0.7239179991946763,0.17266381971369515,0.4699743991741662,0.5638804756525597,1.0314981326714505,-0.5505613216920816,0.3136141477992577,0.19047619047619047,16.97992478903929,1.00098942544738,0.4182692307692308,1.7239179991946763
loose__sector_lead_top2_7D__stop12__reentry0,loose,30.0,5000000.0,2022-12-31,sector_lead_top2_7D,12.0,False,0.5584935897435898,0.7186873865121992,0.17162209136974393,0.32355056839559154,0.6485955258709536,1.088300377622986,-0.352228566410418,0.48724637277082533,0.23809523809523808,16.979776567933474,1.00098068761365,0.22596153846153846,1.7186873865121992
strict__momentum_lead_top2_7D_w0__stop16__reentry1,strict,90.0,25000000.0,2023-02-27,momentum_lead_top2_7D_w0,16.0,True,0.5608974358974359,0.7138291398535035,0.1706525121978153,0.4526520833452911,0.5695991096962144,0.9595380732156987,-0.5246649575725422,0.3252599773146089,0.2619047619047619,25.762888496515025,1.0009989054685786,0.3173076923076923,1.7138291398535035
strict__momentum_lead_top2_7D_w1__stop16__reentry1,strict,90.0,25000000.0,2023-02-27,momentum_lead_top2_7D_w1,16.0,True,0.5608974358974359,0.7138291398535035,0.1706525121978153,0.4526520833452911,0.5695991096962144,0.9595380732156987,-0.5246649575725422,0.3252599773146089,0.2619047619047619,25.762888496515025,1.0009989054685786,0.3173076923076923,1.7138291398535035
loose__sector_lead_top1_7D__stop21__reentry0,loose,30.0,5000000.0,2022-12-31,sector_lead_top1_7D,21.0,False,0.5488782051282052,0.7108686086459688,0.1700607135312917,0.5170632178767606,0.5497245658766693,0.9990737397031932,-0.6150872047085942,0.276482281259387,0.23809523809523808,16.979949598193908,1.000990887980444,0.14102564102564102,1.7108686086459688
