rebalance_date,coin_id,coin_rank,coin_score,coin_weight,score_family,btc_gate_open,executed_coin_id,executed_weight
2022-01-01,near,1,0.7486842105263157,1.0,ctrend_lite_breakout,False,,0.0
2022-01-22,cosmos,1,0.7184210526315788,1.0,ctrend_lite_breakout,False,,0.0
2022-02-12,ripple,1,0.7605263157894735,1.0,ctrend_lite_breakout,True,ripple,1.0
2022-03-05,terra-luna,1,0.7530701754385963,1.0,ctrend_lite_breakout,True,terra-luna,1.0
2022-03-26,ftx-token,1,0.6214912280701753,1.0,ctrend_lite_breakout,True,ftx-token,1.0
2022-04-16,dogecoin,1,0.6749999999999999,1.0,ctrend_lite_breakout,False,,0.0
2022-05-07,tron,1,0.7052631578947368,1.0,ctrend_lite_breakout,False,,0.0
2022-05-28,tron,1,0.7535087719298245,1.0,ctrend_lite_breakout,False,,0.0
2022-06-18,ftx-token,1,0.6811403508771932,1.0,ctrend_lite_breakout,False,,0.0
2022-07-09,uniswap,1,0.6763157894736842,1.0,ctrend_lite_breakout,True,uniswap,1.0
2022-07-30,ethereum-classic,1,0.7157894736842104,1.0,ctrend_lite_breakout,True,ethereum-classic,1.0
2022-08-20,binancecoin,1,0.7206140350877192,1.0,ctrend_lite_breakout,False,,0.0
2022-09-10,cosmos,1,0.7109649122807017,1.0,ctrend_lite_breakout,True,cosmos,1.0
2022-10-01,ripple,1,0.7149122807017544,1.0,ctrend_lite_breakout,False,,0.0
2022-10-22,tron,1,0.7052631578947368,1.0,ctrend_lite_breakout,True,tron,1.0
2022-11-12,litecoin,1,0.7333333333333334,1.0,ctrend_lite_breakout,False,,0.0
2022-12-03,litecoin,1,0.7267543859649122,1.0,ctrend_lite_breakout,True,litecoin,1.0
2022-12-24,monero,1,0.7394736842105263,1.0,ctrend_lite_breakout,False,,0.0
2023-01-14,avalanche-2,1,0.6631578947368421,1.0,ctrend_lite_breakout,True,avalanche-2,1.0
2023-02-04,shiba-inu,1,0.6789473684210524,1.0,ctrend_lite_breakout,True,shiba-inu,1.0
2023-02-25,tron,1,0.6999999999999998,1.0,ctrend_lite_breakout,True,tron,1.0
2023-03-18,binancecoin,1,0.750877192982456,1.0,ctrend_lite_breakout,True,binancecoin,1.0
2023-04-08,ethereum,1,0.7078947368421052,1.0,ctrend_lite_breakout,True,ethereum,1.0
2023-04-29,internet-computer,1,0.6438596491228069,1.0,ctrend_lite_breakout,False,,0.0
2023-05-20,tron,1,0.7236842105263157,1.0,ctrend_lite_breakout,False,,0.0
2023-06-10,ripple,1,0.7846491228070175,1.0,ctrend_lite_breakout,False,,0.0
2023-07-01,stellar,1,0.6767543859649122,1.0,ctrend_lite_breakout,True,stellar,1.0
2023-07-22,tron,1,0.6679824561403509,1.0,ctrend_lite_breakout,False,,0.0
2023-08-12,shiba-inu,1,0.7096491228070175,1.0,ctrend_lite_breakout,True,shiba-inu,1.0
2023-09-02,tron,1,0.7614035087719299,1.0,ctrend_lite_breakout,False,,0.0
2023-09-23,tron,1,0.7249999999999999,1.0,ctrend_lite_breakout,True,tron,1.0
2023-10-14,monero,1,0.7140350877192982,1.0,ctrend_lite_breakout,False,,0.0
