candidate_id,frequency,score_family,include_btc,stop_kind,stop_lookback,ma_window,stop_confirm_days,risk_off_asset,initial_asset,multiple_2bps,cagr_2bps,sharpe_2bps,dd_2bps,turnover_2bps,multiple_20bps,sharpe_20bps,dd_20bps
overlay__21D__ctrend_lite_breakout__btc0__ma100__c2__rocash__incash,21D,ctrend_lite_breakout,False,ma,,100.0,2,cash,cash,24.07813104130876,0.9611596183012012,1.2168676409684065,-0.6154359112326827,15.87877030162413,21.03214382344846,1.1803196028670382,-0.6195744069319233
overlay__21D__ctrend_lite_breakout__btc0__ma100__c2__rocash__inbtc,21D,ctrend_lite_breakout,False,ma,,100.0,2,cash,btc,24.07813104130876,0.9611596183012012,1.2168676409684065,-0.6154359112326827,15.87877030162413,21.03214382344846,1.1803196028670382,-0.6195744069319233
overlay__21D__ctrend_lite_breakout__btc0__trailing11__c2__robtc__incash,21D,ctrend_lite_breakout,False,trailing,11.0,,2,btc,cash,23.996964854825173,0.9597581002102546,1.2317440083717537,-0.6361569505339735,31.969257540603248,18.274922632029817,1.1579556840449903,-0.6458696663369587
overlay__21D__ctrend_lite_breakout__btc0__trailing11__c2__robtc__inbtc,21D,ctrend_lite_breakout,False,trailing,11.0,,2,btc,btc,23.996964854825173,0.9597581002102546,1.2317440083717537,-0.6361569505339735,31.969257540603248,18.274922632029817,1.1579556840449903,-0.6458696663369587
overlay__21D__ctrend_lite_breakout__btc0__ma100__c2__robtc__incash,21D,ctrend_lite_breakout,False,ma,,100.0,2,btc,cash,21.912025483754867,0.9224063751342382,1.1503186700417931,-0.6834481260257673,20.536542923433874,18.39451323210661,1.1084798413162265,-0.6903843570286152
overlay__21D__ctrend_lite_breakout__btc0__ma100__c2__robtc__inbtc,21D,ctrend_lite_breakout,False,ma,,100.0,2,btc,btc,21.912025483754867,0.9224063751342382,1.1503186700417931,-0.6834481260257673,20.536542923433874,18.39451323210661,1.1084798413162265,-0.6903843570286152
overlay__21D__ctrend_lite_breakout__btc0__trailing11__c2__rocash__incash,21D,ctrend_lite_breakout,False,trailing,11.0,,2,cash,cash,21.563500833439694,0.9158917138387928,1.2977627659038657,-0.49219701176240094,17.572505800464036,18.56737000662049,1.2491453686055833,-0.5154454203711658
overlay__21D__ctrend_lite_breakout__btc0__trailing11__c2__rocash__inbtc,21D,ctrend_lite_breakout,False,trailing,11.0,,2,cash,btc,21.563500833439694,0.9158917138387928,1.2977627659038657,-0.49219701176240094,17.572505800464036,18.56737000662049,1.2491453686055833,-0.5154454203711658
overlay__21D__ctrend_lite_breakout__btc0__ma100__c1__robtc__incash,21D,ctrend_lite_breakout,False,ma,,100.0,1,btc,cash,17.805946872471335,0.8397796351679403,1.1016220283105558,-0.6817298993270524,20.959976798143853,14.89374588178143,1.0587345388373561,-0.6828761301818174
overlay__21D__ctrend_lite_breakout__btc0__ma100__c1__robtc__inbtc,21D,ctrend_lite_breakout,False,ma,,100.0,1,btc,btc,17.805946872471335,0.8397796351679403,1.1016220283105558,-0.6817298993270524,20.959976798143853,14.89374588178143,1.0587345388373561,-0.6828761301818174
overlay__21D__ctrend_lite_breakout__btc0__ma100__c1__rocash__incash,21D,ctrend_lite_breakout,False,ma,,100.0,1,cash,cash,16.23616989707269,0.8041800564920827,1.1140220606001787,-0.6344309314158179,15.87877030162413,14.182280907850874,1.0770700478772923,-0.6390160849415653
overlay__21D__ctrend_lite_breakout__btc0__ma100__c1__rocash__inbtc,21D,ctrend_lite_breakout,False,ma,,100.0,1,cash,btc,16.23616989707269,0.8041800564920827,1.1140220606001787,-0.6344309314158179,15.87877030162413,14.182280907850874,1.0770700478772923,-0.6390160849415653
overlay__21D__ctrend_lite_breakout__btc0__ma75__c2__rocash__incash,21D,ctrend_lite_breakout,False,ma,,75.0,2,cash,cash,15.821259183555336,0.7943189394729719,1.1106381126598608,-0.6080548500487841,15.031902552204176,13.919995216567342,1.0753376235469236,-0.6122727772156467
