,strategy_5bps,strategy_8bps,strategy_10bps,strategy_15bps,btc
2021-01-01,0.0,0.0,0.0,0.0,0.0
2021-01-02,0.09846344480459113,0.09831387796443058,0.09821416673765682,0.0979648886707225,0.09317894271523941
2021-01-03,-0.05844088717103357,-0.05844088717103357,-0.05844088717103357,-0.05844088717103357,0.02038008733978569
2021-01-04,-0.035847046805475236,-0.035847046805475236,-0.035847046805475236,-0.035847046805475236,-0.02471204745469291
2021-01-05,0.04009073013365261,0.04009073013365261,0.04009073013365261,0.04009073013365261,0.06319658724017607
2021-01-06,0.01117851700053496,0.01117851700053496,0.01117851700053496,0.01117851700053496,0.08331075834004853
2021-01-07,-0.04171372573976062,-0.04171372573976062,-0.04171372573976062,-0.04171372573976062,0.06915741748205728
2021-01-08,-0.0007175897011838517,-0.0007175897011838517,-0.0007175897011838517,-0.0007175897011838517,0.036233949663446285
2021-01-09,0.0104304564329607,0.010414704926666518,0.010404203922470323,0.010377951411980169,-0.0133111771053962
2021-01-10,-0.010515721900943409,-0.010515721900943409,-0.010515721900943409,-0.010515721900943409,-0.04715261148518368
2021-01-11,-0.03484729808780507,-0.03484729808780507,-0.03484729808780507,-0.03484729808780507,-0.07273312127024989
2021-01-12,-0.0002835399452401077,-0.0002835399452401077,-0.0002835399452401077,-0.0002835399452401077,-0.04621450388083226
2021-01-13,0.061148509421689035,0.061148509421689035,0.061148509421689035,0.061148509421689035,0.10003250778531991
2021-01-14,0.014862502381559839,0.014862502381559839,0.014862502381559839,0.014862502381559839,0.0501380293041529
2021-01-15,-0.02517634791133061,-0.02517634791133061,-0.02517634791133061,-0.02517634791133061,-0.060273623720440095
2021-01-16,0.02516173526200771,0.024875922642095816,0.024685380895487885,0.02420902652896828,-0.01757557420782485
2021-01-17,-5.2718411371999174e-05,-5.2718411371999174e-05,-5.2718411371999174e-05,-5.2718411371999174e-05,-0.010693225011601415
2021-01-18,-0.003117320068323326,-0.003117320068323326,-0.003117320068323326,-0.003117320068323326,0.023435814820432777
2021-01-19,-0.009349330846009307,-0.009349330846009307,-0.009349330846009307,-0.009349330846009307,-0.015295335288986744
2021-01-20,0.015141114096058006,0.015141114096058006,0.015141114096058006,0.015141114096058006,-0.0144734768579875
2021-01-21,-0.11576616815196983,-0.11576616815196983,-0.11576616815196983,-0.11576616815196983,-0.13283688171102082
2021-01-22,0.07607359538070058,0.07607359538070058,0.07607359538070058,0.07607359538070058,0.0707223246118347
2021-01-23,0.024869052618245346,0.024620397579049547,0.02445462755291894,0.024040202487592532,-0.028422935232909508
2021-01-24,-0.010273277860915697,-0.010273277860915697,-0.010273277860915697,-0.010273277860915697,0.0069146087713742865
2021-01-25,-0.012992372212897618,-0.012992372212897618,-0.012992372212897618,-0.012992372212897618,0.002385148508986523
2021-01-26,-0.0023314321486718192,-0.0023314321486718192,-0.0023314321486718192,-0.0023314321486718192,0.006286042056425689
2021-01-27,-0.028404980333980756,-0.028404980333980756,-0.028404980333980756,-0.028404980333980756,-0.06562211699054121
2021-01-28,0.026102716609718746,0.026102716609718746,0.026102716609718746,0.026102716609718746,0.09968108392452768
2021-01-29,-0.0018251415260543968,-0.0018251415260543968,-0.0018251415260543968,-0.0018251415260543968,0.02540754329422712
2021-01-30,-0.025433137583337984,-0.02553864078739121,-0.025608976256759952,-0.02578481493018181,-0.0013657063542806824
2021-01-31,0.01231096061511483,0.01231096061511483,0.01231096061511483,0.01231096061511483,-0.033708197318017885
2021-02-01,-0.003129909662256014,-0.003129909662256014,-0.003129909662256014,-0.003129909662256014,0.01276845153675188
2021-02-02,-0.004536675021188041,-0.004536675021188041,-0.004536675021188041,-0.004536675021188041,0.05883358125740812
2021-02-03,0.007607897233430139,0.007607897233430139,0.007607897233430139,0.007607897233430139,0.05524598981627715
2021-02-04,0.021801849064579937,0.021801849064579937,0.021801849064579937,0.021801849064579937,-0.0145715287569822
2021-02-05,-0.008385397293713792,-0.008385397293713792,-0.008385397293713792,-0.008385397293713792,0.03299139551331698
2021-02-06,0.01428088518120374,0.014280757309312442,0.014280672061384836,0.014280458941565932,0.029406849003927205
2021-02-07,0.02798448896315442,0.02798448896315442,0.02798448896315442,0.02798448896315442,-0.009233666686373376
2021-02-08,5.566066173456896e-05,5.566066173456896e-05,5.566066173456896e-05,5.566066173456896e-05,0.18746470652303748
2021-02-09,-0.011249123410299933,-0.011249123410299933,-0.011249123410299933,-0.011249123410299933,0.0061615217616803886
2021-02-10,0.0036731167090373606,0.0036731167090373606,0.0036731167090373606,0.0036731167090373606,-0.03362484109899555
2021-02-11,-0.00416940882092276,-0.00416940882092276,-0.00416940882092276,-0.00416940882092276,0.06659099731530915
2021-02-12,0.0005105166262158178,0.0005105166262158178,0.0005105166262158178,0.0005105166262158178,-0.00844261444446237
2021-02-13,-0.003263481247045674,-0.0032718942241938276,-0.003277502875625893,-0.0032915245042062224,-0.008406166965969186
2021-02-14,-0.003524496568025004,-0.003524496568025004,-0.003524496568025004,-0.003524496568025004,0.034216219777656987
2021-02-15,-0.005375287075448765,-0.005375287075448765,-0.005375287075448765,-0.005375287075448765,-0.015851320453452722
2021-02-16,-0.002790848638332011,-0.002790848638332011,-0.002790848638332011,-0.002790848638332011,0.026171926663221656
2021-02-17,-0.0037775365219516743,-0.0037775365219516743,-0.0037775365219516743,-0.0037775365219516743,0.05994194927163021
2021-02-18,0.009300433749662718,0.009300433749662718,0.009300433749662718,0.009300433749662718,-0.00899750280112721
2021-02-19,-0.003990177989171451,-0.003990177989171451,-0.003990177989171451,-0.003990177989171451,0.08143098961085271
2021-02-20,-0.06178517532994732,-0.06187458363100862,-0.06193418916504956,-0.06208320300015158,0.0037823204559304102
2021-02-21,0.032532801873956796,0.032532801873956796,0.032532801873956796,0.032532801873956796,0.02567621151189492
2021-02-22,-0.021918420276965667,-0.021918420276965667,-0.021918420276965667,-0.021918420276965667,-0.0579184543819633
