hold_count,lookback,btc_ma,asset_ma,target_vol,total_return,cagr,annualized_volatility,sharpe,sortino,max_drawdown,calmar,monthly_win_rate,annualized_turnover,avg_turnover_per_rebalance,average_holdings,total_cost_bps,avg_gross_exposure,max_gross_exposure,pct_days_flat,btc_total_return,beats_btc
3,21,50,0,0.5,22.8716219027213,0.7408047916546663,0.37623645693803337,1.6568968196032545,3.3038834533219594,-0.398916549369732,1.8570420124838152,0.4782608695652174,17.029234758606993,0.5296913551329662,1.5617224880382774,5.0,0.26712389463889935,1.0000000000000004,0.47942583732057414,1.9467952718189232,True
2,21,50,0,0.5,23.423751243484208,0.7477735684022655,0.38710438527144214,1.6299681960079244,3.375004799504403,-0.3796535192840711,1.9696210634695923,0.4492753623188406,16.426056636508598,0.5109296056233837,1.0411483253588516,5.0,0.24559244199581687,1.0000000000000002,0.47942583732057414,1.9467952718189232,True
3,21,50,50,0.5,20.578377157855275,0.7103543479385559,0.3720572138782482,1.6238942271567303,3.2341479819302283,-0.4070024439443828,1.7453318978979555,0.4782608695652174,18.604428682361785,0.5070404633718691,1.4961722488038278,5.0,0.2653218425470049,1.0000000000000004,0.48277511961722486,1.9467952718189232,True
2,21,50,50,0.5,22.036293899363756,0.730004373352809,0.38574761295175225,1.6079031173117069,3.316229381076703,-0.3903813920308642,1.8699773817474723,0.4492753623188406,17.38388064010387,0.5076170905392368,1.0124401913875598,5.0,0.24463952186313892,1.0000000000000002,0.48277511961722486,1.9467952718189232,True
3,21,50,100,0.5,19.92299105640906,0.7011619341695172,0.372317435889175,1.6088196484054686,3.1678239565857145,-0.40216425279290335,1.7434715524817774,0.4782608695652174,18.943783183229606,0.5340922203895897,1.3550239234449761,5.0,0.25641648811665085,1.0000000000000002,0.4933014354066986,1.9467952718189232,True
3,21,50,0,0.5,22.183437314650643,0.7319300710149479,0.3761492123042149,1.643602049369194,3.2752928891009234,-0.40251130837413207,1.8184087149537247,0.4782608695652174,17.029234758606993,0.5296913551329662,1.5617224880382774,8.0,0.26712389463889935,1.0000000000000004,0.47942583732057414,1.9459107909969715,True
2,21,50,0,0.5,22.744237002769417,0.7391781238599209,0.38700406377254765,1.617552259446569,3.3469630994016626,-0.38362667032357467,1.926816306166753,0.4492753623188406,16.426056636508598,0.5109296056233837,1.0411483253588516,8.0,0.24559244199581687,1.0000000000000002,0.47942583732057414,1.9459107909969715,True
3,21,50,50,0.5,19.899683181295565,0.7008306667565873,0.3719603903309124,1.6092046184036302,3.2025187563899733,-0.41122288156001974,1.7042598993954525,0.4782608695652174,18.604428682361785,0.5070404633718691,1.4961722488038278,8.0,0.2653218425470049,1.0000000000000004,0.48277511961722486,1.9459107909969715,True
2,21,50,50,0.5,21.35856503228962,0.721001508669058,0.38564331840356564,1.594705325672009,3.2865102995819577,-0.39457218998810006,1.827299356021018,0.4492753623188406,17.38388064010387,0.5076170905392368,1.0124401913875598,8.0,0.24463952186313892,1.0000000000000002,0.48277511961722486,1.9459107909969715,True
3,21,50,100,0.5,19.253077116715364,0.6915167959841555,0.3722405484405674,1.5937947214205008,3.1361149653948184,-0.4060496034561576,1.703035269824665,0.4782608695652174,18.943783183229606,0.5340922203895897,1.3550239234449761,8.0,0.25641648811665085,1.0000000000000002,0.4933014354066986,1.9459107909969715,True
3,21,50,0,0.5,21.735627475706035,0.7260377104817395,0.3760925453677039,1.6347289392268596,3.256224327571817,-0.40489633765042077,1.7931446717816095,0.4782608695652174,17.029234758606993,0.5296913551329662,1.5617224880382774,10.0,0.26712389463889935,1.0000000000000004,0.47942583732057414,1.9453211371156667,True
2,21,50,0,0.5,22.30168607615936,0.7334703215403322,0.38693859679885895,1.6092655107301301,3.32825475991283,-0.38626186165985965,1.8988939741253115,0.4492753623188406,16.426056636508598,0.5109296056233837,1.0411483253588516,10.0,0.24559244199581687,1.0000000000000002,0.47942583732057414,1.9453211371156667,True
3,21,50,50,0.5,19.45904707023497,0.6945099461703168,0.37189744286894527,1.5994004086852727,3.18143236495233,-0.4140203252411505,1.6774779010324967,0.4782608695652174,18.604428682361785,0.5070404633718691,1.4961722488038278,10.0,0.2653218425470049,1.0000000000000004,0.48277511961722486,1.9453211371156667,True
2,21,50,50,0.5,20.917782918865285,0.7150245953153949,0.38557527872566844,1.585896702784382,3.266685644741168,-0.39735063228472267,1.7994802001549153,0.4492753623188406,17.38388064010387,0.5076170905392368,1.0124401913875598,10.0,0.24463952186313892,1.0000000000000002,0.48277511961722486,1.9453211371156667,True
3,21,50,100,0.5,18.818347390861813,0.6851159213159468,0.372191062722817,1.5837671118649135,3.114973096193894,-0.4086263185141713,1.6766319012616089,0.4782608695652174,18.943783183229606,0.5340922203895897,1.3550239234449761,10.0,0.25641648811665085,1.0000000000000002,0.4933014354066986,1.9453211371156667,True
3,21,50,0,0.5,20.653322502288763,0.7113907895829366,0.375956118486491,1.6125119841147435,3.208545998137216,-0.4108189879852865,1.731640480085149,0.4782608695652174,17.029234758606993,0.5296913551329662,1.5617224880382774,15.0,0.26712389463889935,1.0000000000000004,0.47942583732057414,1.9438470024123937,True
2,21,50,0,0.5,21.230802019055243,0.719279151214552,0.38677988262450713,1.5885160223450872,3.281440080002077,-0.39280263474246935,1.8311464526864194,0.4492753623188406,16.426056636508598,0.5109296056233837,1.0411483253588516,15.0,0.24559244199581687,1.0000000000000002,0.47942583732057414,1.9438470024123937,True
3,21,50,50,0.5,18.397426028530955,0.6788069753228361,0.37174568442931677,1.5748515906433076,3.128726951418832,-0.4209577194428471,1.612530056988293,0.463768115942029,18.604428682361785,0.5070404633718691,1.4961722488038278,15.0,0.2653218425470049,1.0000000000000004,0.48277511961722486,1.9438470024123937,True
2,21,50,50,0.5,19.853216099180553,0.7001693340607662,0.3854103991871909,1.5638403590635968,3.2170872093604386,-0.40424313915097543,1.732050012107365,0.4492753623188406,17.38388064010387,0.5076170905392368,1.0124401913875598,15.0,0.24463952186313892,1.0000000000000002,0.48277511961722486,1.9438470024123937,True
3,21,50,100,0.5,17.771647025944787,0.6692154014001268,0.3720735565591868,1.5586604111335116,3.0621039865469752,-0.41502110702968187,1.612485220787253,0.4782608695652174,18.943783183229606,0.5340922203895897,1.3550239234449761,15.0,0.25641648811665085,1.0000000000000002,0.4933014354066986,1.9438470024123937,True
3,21,50,0,0.6,36.57430572219251,0.8843971034668314,0.44420399322428156,1.642293392264457,3.2592051689818473,-0.4570035333192817,1.9352084589878977,0.4782608695652174,19.83127194919422,0.6168482296287481,1.5617224880382774,5.0,0.31324213692615566,1.0000000000000004,0.47942583732057414,1.9467952718189232,True
2,21,50,0,0.6,37.620983624615725,0.893465112769869,0.4571472459490261,1.6169506353143437,3.339109741968633,-0.43563966672702803,2.050926903609341,0.463768115942029,19.160140140431633,0.5959727926349266,1.0411483253588516,5.0,0.2886148021258214,1.0000000000000002,0.47942583732057414,1.9467952718189232,True
3,21,50,50,0.6,31.95644632955839,0.8417121393529405,0.43874160864546735,1.6051027847135586,3.1771204049154784,-0.4687737044736353,1.7955617632137895,0.4782608695652174,21.55298354474395,0.5873996428567531,1.4961722488038278,5.0,0.3106011246162942,1.0000000000000004,0.48277511961722486,1.9467952718189232,True
3,21,50,0,0.6,35.31579302868017,0.8732135896263562,0.4440953229582484,1.6291808397718697,3.231152218017903,-0.46078735966391715,1.8950467527217953,0.4782608695652174,19.83127194919422,0.6168482296287481,1.5617224880382774,8.0,0.31324213692615566,1.0000000000000004,0.47942583732057414,1.9459107909969715,True
2,21,50,0,0.6,36.370466386348454,0.8826069172924678,0.45702268097953314,1.6046874730139067,3.311504399514019,-0.43984612688587665,2.0066265526568356,0.463768115942029,19.160140140431633,0.5959727926349266,1.0411483253588516,8.0,0.2886148021258214,1.0000000000000002,0.47942583732057414,1.9459107909969715,True
3,21,50,50,0.6,30.758550720640734,0.8298362590141584,0.4386262532458812,1.590659307985465,3.146224909447975,-0.4731149093764122,1.7539845871860638,0.4782608695652174,21.55298354474395,0.5873996428567531,1.4961722488038278,8.0,0.3106011246162942,1.0000000000000004,0.48277511961722486,1.9459107909969715,True
3,21,50,0,0.6,34.50012937968706,0.86579332893486,0.444024568374915,1.6204293965834324,3.2124434395840513,-0.4632958221485144,1.8687699900244747,0.4782608695652174,19.83127194919422,0.6168482296287481,1.5617224880382774,10.0,0.31324213692615566,1.0000000000000004,0.47942583732057414,1.9453211371156667,True
2,21,50,0,0.6,35.55920237678381,0.8754012783408225,0.4569412497866584,1.5965026844175112,3.293087683685522,-0.44263369438177813,1.9777104396977423,0.463768115942029,19.160140140431633,0.5959727926349266,1.0411483253588516,10.0,0.2886148021258214,1.0000000000000002,0.47942583732057414,1.9453211371156667,True
3,21,50,50,0.6,29.984093246769348,0.8219600521557995,0.43855114116268995,1.5810196435577653,3.1256289281838363,-0.4759899207801416,1.7268433978782936,0.4782608695652174,21.55298354474395,0.5873996428567531,1.4961722488038278,10.0,0.3106011246162942,1.0000000000000004,0.48277511961722486,1.9453211371156667,True
3,21,50,0,0.6,32.539688764401575,0.847365878567234,0.443853609527259,1.5985172333417026,3.165667821376112,-0.46951802084895566,1.804756880332464,0.4782608695652174,19.83127194919422,0.6168482296287481,1.5617224880382774,15.0,0.31324213692615566,1.0000000000000004,0.47942583732057414,1.9438470024123937,True
2,21,50,0,0.6,33.60671966765366,0.8575025566040315,0.4567433192348169,1.5760084575455646,3.2470040930770505,-0.4495444721822157,1.9074921607677038,0.463768115942029,19.160140140431633,0.5959727926349266,1.0411483253588516,15.0,0.2886148021258214,1.0000000000000002,0.47942583732057414,1.9438470024123937,True
3,21,50,50,0.6,28.129080809340593,0.8024122429494966,0.43836963660885486,1.5568837413988057,3.074149682336176,-0.48311108155226357,1.6609270074519926,0.4782608695652174,21.55298354474395,0.5873996428567531,1.4961722488038278,15.0,0.3106011246162942,1.0000000000000004,0.48277511961722486,1.9438470024123937,True
2,21,50,0,0.7,56.705877386735324,1.0310879536360047,0.5210265310357153,1.6106308926716941,3.3029385365130217,-0.48188572821747633,2.1396939009795117,0.463768115942029,21.60188743080921,0.6719229130875587,1.0411483253588516,5.0,0.3278846213485991,1.0000000000000002,0.47942583732057414,1.9467952718189232,True
3,21,50,0,0.7,50.11785595231716,0.9885198168140157,0.5031125337222645,1.6105698882500776,3.1551666468433477,-0.5086340724864133,1.9434793504527188,0.4782608695652174,22.170948766489193,0.6896234659499096,1.5617224880382774,5.0,0.3534482243159632,1.0000000000000004,0.47942583732057414,1.9467952718189232,True
1,30,50,50,0.7,38.313799515557015,0.8993564575152908,0.5377815494935696,1.4495377785415242,3.000017525348067,-0.3841120362782401,2.341390981207946,0.4492753623188406,15.979855359008114,0.5025126877159108,0.5086124401913875,5.0,0.27157871064111005,1.0,0.49138755980861243,1.9467952718189232,True
2,21,50,0,0.7,54.60355316792973,1.0179602329935111,0.5208869590075162,1.5984804566585717,3.2758296871537085,-0.48619481522564933,2.0937291001778013,0.463768115942029,21.60188743080921,0.6719229130875587,1.0411483253588516,8.0,0.3278846213485991,1.0000000000000002,0.47942583732057414,1.9459107909969715,True
