hold_count,lookback,btc_ma,asset_ma,target_vol,total_return,cagr,annualized_volatility,sharpe,sortino,max_drawdown,calmar,monthly_win_rate,annualized_turnover,avg_turnover_per_rebalance,average_holdings,total_cost_bps,avg_gross_exposure,max_gross_exposure,pct_days_flat,beats_btc_total,neighbour_count,neighbour_beats_share,neighbour_median_sharpe,neighbour_median_total_return,plateau_score
3,21,50,0,0.5,21.735627475706035,0.7260377104817395,0.3760925453677039,1.6347289392268596,3.256224327571817,-0.40489633765042077,1.7931446717816095,0.4782608695652174,17.029234758606993,0.5296913551329662,1.5617224880382774,10.0,0.26712389463889935,1.0000000000000004,0.47942583732057414,True,7,1.0,1.5489711283724357,17.184849634988705,1.2744855641862178
3,21,50,0,0.6,34.50012937968706,0.86579332893486,0.444024568374915,1.6204293965834324,3.2124434395840513,-0.4632958221485144,1.8687699900244747,0.4782608695652174,19.83127194919422,0.6168482296287481,1.5617224880382774,10.0,0.31324213692615566,1.0000000000000004,0.47942583732057414,True,8,1.0,1.5749187917302625,25.14957512798503,1.2874593958651313
2,21,50,0,0.5,22.30168607615936,0.7334703215403322,0.38693859679885895,1.6092655107301301,3.32825475991283,-0.38626186165985965,1.8988939741253115,0.4492753623188406,16.426056636508598,0.5109296056233837,1.0411483253588516,10.0,0.24559244199581687,1.0000000000000002,0.47942583732057414,True,8,1.0,1.514868519680183,18.621873998527764,1.2574342598400916
3,21,50,50,0.5,19.45904707023497,0.6945099461703168,0.37189744286894527,1.5994004086852727,3.18143236495233,-0.4140203252411505,1.6774779010324967,0.4782608695652174,18.604428682361785,0.5070404633718691,1.4961722488038278,10.0,0.2653218425470049,1.0000000000000004,0.48277511961722486,True,8,1.0,1.5634406303799926,17.69709910365049,1.2817203151899963
2,21,50,0,0.6,35.55920237678381,0.8754012783408225,0.4569412497866584,1.5965026844175112,3.293087683685522,-0.44263369438177813,1.9777104396977423,0.463768115942029,19.160140140431633,0.5959727926349266,1.0411483253588516,10.0,0.2886148021258214,1.0000000000000002,0.47942583732057414,True,9,1.0,1.5437285644132541,26.424767639315558,1.271864282206627
2,21,50,0,0.7,53.24442555438988,1.0092536294326613,0.5207956941070959,1.5903711026860627,3.257744875366829,-0.48904839664060895,2.0637091060219546,0.463768115942029,21.60188743080921,0.6719229130875587,1.0411483253588516,10.0,0.3278846213485991,1.0000000000000002,0.47942583732057414,True,9,1.0,1.5391394899862307,39.029804936299435,1.2695697449931154
3,21,50,0,0.7,46.973401587242705,0.9665835055675984,0.5029194420784397,1.5889349000037833,3.109705812113879,-0.5149686099202777,1.8769755805450652,0.4782608695652174,22.170948766489193,0.6896234659499096,1.5617224880382774,10.0,0.3534482243159632,1.0000000000000004,0.47942583732057414,True,8,1.0,1.5518918805213233,37.21071734288406,1.2759459402606617
2,21,50,50,0.5,20.917782918865285,0.7150245953153949,0.38557527872566844,1.585896702784382,3.266685644741168,-0.39735063228472267,1.7994802001549153,0.4492753623188406,17.38388064010387,0.5076170905392368,1.0124401913875598,10.0,0.24463952186313892,1.0000000000000002,0.48277511961722486,True,9,1.0,1.499805903299446,16.46514959720611,1.249902951649723
3,21,50,100,0.5,18.818347390861813,0.6851159213159468,0.372191062722817,1.5837671118649135,3.114973096193894,-0.4086263185141713,1.6766319012616089,0.4782608695652174,18.943783183229606,0.5340922203895897,1.3550239234449761,10.0,0.25641648811665085,1.0000000000000002,0.4933014354066986,True,7,1.0,1.499805903299446,15.173298015690396,1.249902951649723
3,21,50,50,0.6,29.984093246769348,0.8219600521557995,0.43855114116268995,1.5810196435577653,3.1256289281838363,-0.4759899207801416,1.7268433978782936,0.4782608695652174,21.55298354474395,0.5873996428567531,1.4961722488038278,10.0,0.3106011246162942,1.0000000000000004,0.48277511961722486,True,9,1.0,1.5590395934636656,27.04687429295018,1.2795197967318328
