hold_count,lookback,btc_ma,asset_ma,target_vol,total_return,cagr,sharpe,max_drawdown,calmar,annualized_turnover,avg_gross_exposure,stress15_total_return,stress15_sharpe,stress15_max_drawdown,pareto
1,21,50,0,1.0,147.62689514342046,1.3961785340900867,1.5100772311168382,-0.6531671050622965,2.1375518198469665,25.874545040187833,0.3804219590416302,127.14400797851081,1.4764167476669394,-0.6650085656631842,True
1,21,50,50,1.0,131.5102219907702,1.348602343158451,1.4876533493626982,-0.6531671050622969,2.064712586880544,25.863614677986803,0.3735055677789059,113.25596481058315,1.4537996919261673,-0.6650085656631842,False
1,21,50,0,0.9,117.49876450121037,1.3031866069094877,1.5154828623178607,-0.6264150142550707,2.0803885239871365,24.421242279237145,0.3556276300070775,102.02339330032049,1.4814281314212747,-0.6386234630809202,True
2,21,50,0,1.0,106.78590654710176,1.2653686230049632,1.5602144108190341,-0.5847067803970227,2.164108003238415,26.33748404039298,0.41199434713365995,91.68905442303637,1.5207740419258393,-0.5975958969318826,True
1,21,50,50,0.9,106.49403753285875,1.2642956096869074,1.49567340820079,-0.6264150142550706,2.0183034903631754,24.409940894834143,0.349096499953502,92.4621415682348,1.461429010640089,-0.63862346308092,False
1,21,50,100,1.0,98.4415101315752,1.233698313331971,1.4440463446456415,-0.6167669506230622,2.000266570842813,23.867737002838552,0.3378750222464263,85.72938613327291,1.4116859926480532,-0.6291086487241286,False
1,21,100,50,1.0,94.73543590520984,1.2189240277176152,1.4356632775388973,-0.5295488645286701,2.301815959519675,24.688603794284322,0.36700460602168383,82.10463314970832,1.4022448909053231,-0.5402254988671101,True
2,21,50,0,0.9,92.39657914018413,1.2093554038768835,1.5757797967328826,-0.5649093200728585,2.14079563021001,25.256980988680315,0.3907065396326239,79.8142412815957,1.5357717591751483,-0.5782357162244007,False
1,21,50,0,0.8,89.62141878024516,1.1977418066755052,1.524494612454846,-0.589640700424107,2.031307889387577,22.5041131817703,0.32581101830703074,78.65797002942135,1.4902996601615444,-0.6022801130101563,False
3,21,50,0,1.0,88.11819957171673,1.1913280093557015,1.5384934684114122,-0.6008839727225785,1.9826257038573476,26.691105978731567,0.4360121731129868,75.48154997117089,1.49717537714931,-0.6123188610458365,False
1,21,50,50,0.8,82.12173169872331,1.1648192841714367,1.505445557224378,-0.5896407004241069,1.9754730013271218,22.493669411462495,0.3200719827815496,72.07013148956425,1.4710765251944546,-0.6022801130101554,False
1,30,50,50,0.9,64.96866300276787,1.079138015798061,1.4267690440575258,-0.46743882494760325,2.3086187073121818,19.334842273175987,0.3326202320964464,58.05085500494912,1.3978410783965893,-0.47130008836834625,True
2,21,50,0,0.7,56.705877386735324,1.0310879536360047,1.6106308926716941,-0.48188572821747633,2.1396939009795117,21.60188743080921,0.3278846213485991,49.989180940503786,1.5700664382867728,-0.49611591901163377,False
1,30,50,50,0.8,52.97818688628099,1.007527050203815,1.442482286909683,-0.42792699320582883,2.3544367758993037,17.78266480355218,0.303536468461366,47.749819261644284,1.4135838516891264,-0.43174517356426256,True
1,30,50,100,0.8,50.142238547349834,0.9886855105845138,1.430182840841612,-0.3490530265793106,2.832479409428264,17.4411646082685,0.2973390863447796,45.279022599493565,1.4017166789402202,-0.35301908841653584,True
3,21,50,0,0.7,50.11785595231716,0.9885198168140157,1.6105698882500776,-0.5086340724864133,1.9434793504527188,22.170948766489193,0.3534482243159632,44.021118849895984,1.5672546977443191,-0.5212245894207148,False
1,30,50,0,0.8,47.932880143100746,0.9733997617318062,1.408896357352965,-0.4025537688110309,2.4180614793566746,18.135742322551174,0.31375118092579074,43.10364427049678,1.3796163982493688,-0.4065471376155311,False
1,30,50,50,0.7,38.313799515557015,0.8993564575152908,1.4495377785415242,-0.3841120362782401,2.341390981207946,15.979855359008114,0.27157871064111005,34.87477335657351,1.4204457957432695,-0.3878502885604098,False
2,21,50,0,0.6,37.620983624615725,0.893465112769869,1.6169506353143437,-0.43563966672702803,2.050926903609341,19.160140140431633,0.2886148021258214,33.60671966765366,1.5760084575455646,-0.4495444721822157,False
3,21,50,0,0.6,36.57430572219251,0.8843971034668314,1.642293392264457,-0.4570035333192817,1.9352084589878977,19.83127194919422,0.31324213692615566,32.539688764401575,1.5985172333417026,-0.46951802084895566,False
1,30,100,50,0.8,35.07963209247802,0.8710794506983257,1.3907747388657696,-0.47333422642534073,1.840305226344585,16.718717836664894,0.2971364973261464,31.78408869565041,1.3610742155820157,-0.4817573860088765,False
3,21,50,50,0.6,31.95644632955839,0.8417121393529405,1.6051027847135586,-0.4687737044736353,1.7955617632137895,21.55298354474395,0.3106011246162942,28.129080809340593,1.5568837413988057,-0.48311108155226357,False
1,30,20,50,0.8,24.78744901383714,0.7644443885281158,1.2471320139047162,-0.6056541559610906,1.2621797126365735,19.908439253550963,0.2907687441939034,22.007855982470236,1.2135468539688237,-0.6124864123308431,False
