hold_count,lookback,btc_ma,asset_ma,target_vol,total_return,cagr,annualized_volatility,sharpe,sortino,max_drawdown,calmar,monthly_win_rate,annualized_turnover,avg_turnover_per_rebalance,average_holdings,total_cost_bps,avg_gross_exposure,max_gross_exposure,pct_days_flat
1,30,50,50,0.8,52.97818688628099,1.007527050203815,0.6027887202785879,1.442482286909683,2.9806012133386366,-0.42792699320582883,2.3544367758993037,0.4492753623188406,17.78266480355218,0.5592049792958077,0.5086124401913875,5.0,0.303536468461366,1.0,0.49138755980861243
1,30,50,50,0.8,51.353945841263545,0.9968387934175362,0.6026544690916156,1.4338244733466314,2.961590908913097,-0.42907479139266413,2.323228521960144,0.4492753623188406,17.78266480355218,0.5592049792958077,0.5086124401913875,8.0,0.303536468461366,1.0,0.49138755980861243
1,30,50,50,0.8,50.29809780185574,0.9897431263609235,0.6025664316419499,1.428046986310658,2.9489057127529836,-0.4298388730253707,2.3025910136855052,0.4492753623188406,17.78266480355218,0.5592049792958077,0.5086124401913875,10.0,0.303536468461366,1.0,0.49138755980861243
1,30,50,50,0.8,47.749819261644284,0.9721078415024571,0.6023514634439555,1.4135838516891264,2.9171881148326397,-0.43174517356426256,2.2515777848244203,0.4492753623188406,17.78266480355218,0.5592049792958077,0.5086124401913875,15.0,0.303536468461366,1.0,0.49138755980861243
