leverage,combinations,beating_btc,median_total_return,median_cagr,median_maxdd,best_total_return
1.0,36,35,30.118325534142556,0.8233353047823672,-0.6964081867000925,212.67400233104783
1.25,36,34,41.21842720422083,0.9230908657274768,-0.790686517768393,368.07398328879896
1.5,36,32,41.52458856019763,0.925199097435606,-0.8595295626596187,647.578710181002
2.0,36,27,20.610855617794158,0.7105133364574088,-0.9425788309959582,1124.215596544061
