statistic,total_return,cagr,maxdd
count,144.0,,
median,16.965114477026383,0.656855854240328,-0.8795437579536731
p25,3.308653219879627,0.2908440305188724,-0.9433540671524104
p75,65.21091358476704,1.0811758589399663,-0.7980106801057397
min,-0.9978191716357752,-0.6574147954642964,-0.9994470771028714
max,496.8274854926325,1.9612298640501677,-0.6068734954379695
share_beating_btc,0.7916666666666666,,
