strategy,total_return,final_equity,cagr,vol,sharpe,maxdd,calmar,exposure,avg_gross,best_year,worst_year,beats_btc
BO_h3_lb21_ma50_x1.5,421.2652560292514,42226525.602925144,1.8772291420234462,1.3962313809173565,1.40773631492061,-0.9180861977166498,2.0447199257458153,0.5201149425287356,0.7793104788714963,85.5988937219573,-0.4343986319169646,True
BO_h3_lb21_ma50_x2,348.86218788226864,34986218.788226865,1.7841628853665896,1.8964927566819076,1.4134368970009783,-0.9735044798573297,1.832721802808822,0.5201149425287356,1.0445210408503665,159.55967757914362,-0.5934980470476261,True
BO_h3_lb21_ma50_x1.25,308.77155874738514,30977155.874738514,1.7255556804572172,1.1647942104654943,1.4066509203862771,-0.8646467107500818,1.995677146519526,0.5201149425287356,0.6497947201782196,53.29926800372102,-0.35134985520717377,True
BO_h3_lb21_ma100_x1.5,278.38218620077646,27938218.620077647,1.6768014203331774,1.3748421596329787,1.3600659766376315,-0.8394884060638323,1.9974086696388254,0.5234674329501916,0.7848561964180787,86.02735692016826,-0.5563066283939759,True
BO_h2_lb30_ma50_x2,267.95933285580537,26895933.28558054,1.659069576366294,1.753972828931232,1.3858792706365324,-0.9224077380485047,1.7986292915064985,0.5201149425287356,1.0459622113388238,68.95073738255827,-0.628950764447145,True
BO_h2_lb30_ma100_x2,263.536314626324,26453631.4626324,1.65137312388052,1.726727690139321,1.3828456632783996,-0.9123797569390535,1.8099624759548791,0.5234674329501916,1.0523057965699802,126.4056154372859,-0.38849789831763915,True
BO_h2_lb30_ma50_x1.5,260.1435818169238,26114358.18169238,1.6453971643911207,1.265987487748305,1.3745172640494816,-0.8153469778306283,2.018033069514754,0.5201149425287356,0.7801537338866947,39.31986688342523,-0.4549640501414325,True
BO_h2_lb30_ma100_x1.5,246.23379654045854,24723379.654045854,1.6202059099344024,1.2463101480480598,1.3717361969566015,-0.80087702643408,2.0230395634500837,0.5234674329501916,0.7850598335300399,62.83155237514841,-0.2745252513772175,True
BO_h3_lb21_ma100_x2,217.20697924689554,21820697.924689554,1.5636217786806523,1.8683348307590921,1.3687833996468668,-0.9343205373790948,1.6735389153136238,0.5234674329501916,1.052533196900433,152.42664211869229,-0.6950004872177171,True
BO_h1_lb21_ma50_x1.25,213.94744391556608,21494744.39155661,1.5568858686800668,1.4766127438699954,1.3115188323183573,-0.9096184141385616,1.711581300994757,0.5201149425287356,0.6507540481490267,36.21679241860087,-0.4781559379541548,True
BO_h3_lb21_ma100_x1.25,213.22363315848418,21422363.315848418,1.555378669410206,1.1471812840379587,1.3576359936376694,-0.7706687327399102,2.018219506428483,0.5234674329501916,0.6542108778426241,54.42397958866479,-0.4782847369431591,True
BO_h1_lb21_ma50_x1.5,184.300677054877,18530067.705487702,1.4914031939913284,1.7846715959300359,1.3208088332841346,-0.9521228321483773,1.5663978886275782,0.5201149425287356,0.7823869484025697,45.98777537149559,-0.5825819388245231,True
BO_h2_lb30_ma50_x1.25,183.1343178115102,18413431.78115102,1.4886547147224514,1.0492649776130833,1.3731316774684312,-0.7323556984837453,2.0326935638031256,0.5201149425287356,0.6501590331056629,26.110883437788097,-0.3638231556093049,True
BO_h3_lb21_ma50_x1,174.18006417201977,17518006.417201977,1.467061823483438,0.9374037469702217,1.4056012938319038,-0.7844956206052265,1.8700701252501857,0.5201149425287356,0.5211471445165017,29.827243413327274,-0.26888049742242215,True
BO_h2_lb30_ma100_x1.25,172.0313166205988,17303131.66205988,1.461745003636568,1.0333859767741955,1.3700007404716137,-0.7168019427529315,2.039259265987236,0.5234674329501916,0.6542909714753739,38.93642645431803,-0.2208874718582794,True
BO_h1_lb21_ma50_x1,171.30870805082566,17230870.805082567,1.4599447511868031,1.1852902516996608,1.3064888931483936,-0.8389731227984357,1.7401567601082217,0.5201149425287356,0.5212083659841384,24.624873558788405,-0.3698333563224827,True
BO_h3_lb30_ma50_x1.5,165.66604090601678,16666604.090601677,1.4456685828153204,1.3593080517510034,1.3016556947590074,-0.8210658142810424,1.7607219271224985,0.5201149425287356,0.7807563615112587,17.11475081212055,-0.4273163064401321,True
BO_h1_lb21_ma100_x1.25,155.33859806351634,15633859.806351634,1.4184731383927498,1.4563936654390144,1.2763049469723247,-0.8291544489152056,1.7107465807468778,0.5234674329501916,0.655244999304701,41.949816051974665,-0.5756405742711543,True
BO_h3_lb30_ma50_x1.25,136.8776610233472,13787766.102334721,1.365928245293882,1.1243465521918055,1.3006501105114712,-0.7339935067901362,1.860954126511679,0.5201149425287356,0.6502932942445369,13.315177561455501,-0.33717221018594445,True
BO_h3_lb30_ma100_x1.5,133.9220918412223,13492209.18412223,1.3569831329858864,1.330824580993513,1.2781911721256598,-0.8517765975459739,1.593120939100049,0.5234674329501916,0.7860672134108345,22.33753276033519,-0.4737402542743192,True
