,strategy_5bps,strategy_8bps,strategy_10bps,strategy_15bps,btc
2021-01-01,0.0,0.0,0.0,0.0,0.0
2021-01-02,0.12307230721404294,0.12288114938882466,0.12275371083867914,0.12243511446331534,0.09317894271523941
2021-01-03,-0.07144635280732847,-0.07144635280732847,-0.07144635280732847,-0.07144635280732847,0.02038008733978569
2021-01-04,-0.04443827962563629,-0.04443827962563629,-0.04443827962563629,-0.04443827962563629,-0.02471204745469291
2021-01-05,0.05014585174655317,0.05014585174655317,0.05014585174655317,0.05014585174655317,0.06319658724017607
2021-01-06,0.01384831210485249,0.01384831210485249,0.01384831210485249,0.01384831210485249,0.08331075834004853
2021-01-07,-0.0515402456772035,-0.0515402456772035,-0.0515402456772035,-0.0515402456772035,0.06915741748205728
2021-01-08,-0.0008958185688844322,-0.0008958185688844322,-0.0008958185688844322,-0.0008958185688844322,0.036233949663446285
2021-01-09,0.013038310503443729,0.01301876509792188,0.013005734827573834,0.012973159151703939,-0.0133111771053962
2021-01-10,-0.01311073327783785,-0.01311073327783785,-0.01311073327783785,-0.01311073327783785,-0.04715261148518368
2021-01-11,-0.043560963075228276,-0.043560963075228276,-0.043560963075228276,-0.043560963075228276,-0.07273312127024989
2021-01-12,-0.00035766904158518464,-0.00035766904158518464,-0.00035766904158518464,-0.00035766904158518464,-0.04621450388083226
2021-01-13,0.0771409848194966,0.0771409848194966,0.0771409848194966,0.0771409848194966,0.10003250778531991
2021-01-14,0.018471189277509792,0.018471189277509792,0.018471189277509792,0.018471189277509792,0.0501380293041529
2021-01-15,-0.03117842057270359,-0.03117842057270359,-0.03117842057270359,-0.03117842057270359,-0.060273623720440095
2021-01-16,0.1592616331472605,0.15893523042011304,0.15871762860201466,0.15817362405676882,-0.01757557420782485
2021-01-17,-0.03317526515068947,-0.03317526515068947,-0.03317526515068947,-0.03317526515068947,-0.010693225011601415
2021-01-18,-0.013520606102695676,-0.013520606102695676,-0.013520606102695676,-0.013520606102695676,0.023435814820432777
2021-01-19,-0.0012916368296477243,-0.0012916368296477243,-0.0012916368296477243,-0.0012916368296477243,-0.015295335288986744
2021-01-20,0.04310546265387938,0.04310546265387938,0.04310546265387938,0.04310546265387938,-0.0144734768579875
2021-01-21,-0.05594182894584576,-0.05594182894584576,-0.05594182894584576,-0.05594182894584576,-0.13283688171102082
2021-01-22,0.03597235008230992,0.03597235008230992,0.03597235008230992,0.03597235008230992,0.0707223246118347
2021-01-23,0.07423434377805793,0.07387069220953335,0.07362825783051719,0.07302217188297622,-0.028422935232909508
2021-01-24,0.17175476472099005,0.17175476472099005,0.17175476472099005,0.17175476472099005,0.0069146087713742865
2021-01-25,-0.04064182497227742,-0.04064182497227742,-0.04064182497227742,-0.04064182497227742,0.002385148508986523
2021-01-26,0.06341696528833762,0.06341696528833762,0.06341696528833762,0.06341696528833762,0.006286042056425689
2021-01-27,0.026598203647109075,0.026598203647109075,0.026598203647109075,0.026598203647109075,-0.06562211699054121
2021-01-28,0.03845521122216122,0.03845521122216122,0.03845521122216122,0.03845521122216122,0.09968108392452768
2021-01-29,-0.026010145701296228,-0.026010145701296228,-0.026010145701296228,-0.026010145701296228,0.02540754329422712
2021-01-30,-0.031962416045872355,-0.032196891490958834,-0.032353208454349636,-0.032744000862826916,-0.0013657063542806824
2021-01-31,0.015489037826502017,0.015489037826502017,0.015489037826502017,0.015489037826502017,-0.033708197318017885
2021-02-01,-0.003925572483739925,-0.003925572483739925,-0.003925572483739925,-0.003925572483739925,0.01276845153675188
2021-02-02,-0.005694500607042685,-0.005694500607042685,-0.005694500607042685,-0.005694500607042685,0.05883358125740812
2021-02-03,0.009560663518632273,0.009560663518632273,0.009560663518632273,0.009560663518632273,0.05524598981627715
2021-02-04,0.02734487025704757,0.02734487025704757,0.02734487025704757,0.02734487025704757,-0.0145715287569822
2021-02-05,-0.010460600346244298,-0.010460600346244298,-0.010460600346244298,-0.010460600346244298,0.03299139551331698
