cost_bps,start,multiple,btc_multiple,ratio,cagr,maxdd,min_ratio,days
5.0,2021-01-01,148.6268951434202,2.946795271818923,50.43679028698846,1.3951768483153675,-0.6531671050622967,0.6604615625294463,2090
5.0,2021-02-01,98.54826391206917,2.6152677946333034,37.68190168299266,1.2563953203409435,-0.6531671050622967,0.4934383715343353,2059
5.0,2021-03-01,108.66143236704184,1.9186351576310416,56.63475514605248,1.322266873857013,-0.6531671050622967,0.7416229039238472,2031
5.0,2021-04-01,105.48482816906171,1.469868111234156,71.76482526754916,1.340087921395003,-0.6531671050622969,0.9397487104385767,2000
5.0,2021-05-01,92.70566071864785,1.4996129421173832,61.81972568718419,1.314535514304152,-0.6531671050622962,1.0349541158169122,1970
5.0,2021-06-01,79.2775799296381,2.319750696775738,34.17504305088792,1.277711182897498,-0.6531671050622965,0.8839201978909002,1939
5.0,2021-07-01,79.2775799296381,2.471485277076945,32.07689750974387,1.3073674278445382,-0.6531671050622965,0.8296527250110423,1909
5.0,2021-08-01,79.75264671100874,2.0804907090395925,38.33357503808541,1.3421515689441543,-0.6531671050622965,1.0860212564975724,1878
5.0,2021-09-01,39.75338647191571,1.83610334177461,21.65095262747777,1.070449922472831,-0.6531671050622967,0.8331930470271142,1847
5.0,2021-10-01,33.009148982334445,1.9776465431933463,16.69112668082432,1.01866444123754,-0.6531671050622966,0.6423241940801212,1817
5.0,2021-11-01,23.499229114313923,1.4123350512040869,16.638565398684715,0.9063319525583691,-0.6531671050622965,0.8604663638954629,1786
5.0,2021-12-01,18.504024579962635,1.5192047535403113,12.18007285511804,0.8340551586896592,-0.6531671050622969,0.99607889056732,1756
5.0,2022-01-01,18.504024579962635,1.87021291004726,9.894073814031708,0.8541556153053649,-0.6531671050622969,0.9138731649480625,1725
5.0,2022-02-01,18.504024579962635,2.250412626590911,8.222503002924348,0.8752243087841367,-0.6531671050622969,0.7594773380829919,1694
5.0,2022-03-01,18.504024579962635,2.0050110924981595,9.2288888820597,0.8951446072704949,-0.6531671050622969,0.8524328855967094,1666
5.0,2022-04-01,16.903293678175462,1.9017441702307827,8.888311026674105,0.879897948768916,-0.6531671050622962,0.820975169749568,1635
5.0,2022-05-01,21.978101510885065,2.296253457155463,9.571287282071617,1.0192393305536394,-0.6531671050622968,0.9500358568018359,1605
5.0,2022-06-01,21.978101510885065,2.7240207934434437,8.068257615281443,1.047380129612817,-0.6531671050622968,1.0134405152776436,1574
5.0,2022-07-01,21.978101510885065,4.377261084736715,5.02097112450559,1.0760847900152872,-0.6531671050622968,0.8346689631973321,1544
5.0,2022-08-01,21.935178619361377,3.710986877731254,5.910874746280873,1.1063975278468674,-0.6531671050622965,0.9826034792329861,1513
5.0,2022-09-01,22.863668270824583,4.319398316035213,5.29325304081037,1.1614361651493135,-0.6531671050622965,0.8962611122881323,1482
5.0,2022-10-01,22.863668270824583,4.456764704819137,5.130104410964731,1.1961327041872845,-0.6531671050622965,0.8741583838521049,1452
5.0,2022-11-01,15.108368329608524,4.225403362500485,3.575603802394804,1.0086091345702748,-0.6531671050622967,0.609274936883612,1421
5.0,2022-12-01,18.564063796402525,5.044271934804478,3.6802266087825592,1.1522923804451586,-0.6531671050622965,0.6271024304431045,1391
5.0,2023-01-01,18.564063796402525,5.233596471339013,3.5470949848857796,1.190228666521456,-0.6531671050622965,0.604417097774928,1360
5.0,2023-02-01,14.053788047940609,3.7426790601753455,3.7550075285595517,1.0664882973366017,-0.6531671050622966,0.6398449328833109,1329
5.0,2023-03-01,11.946527982113706,3.741374311710168,3.193085477901032,1.0055054424723946,-0.6531671050622967,0.54409466499312,1301
5.0,2023-04-01,11.971109913759557,3.040994440406665,3.936577375708286,1.0410682623075682,-0.6531671050622967,0.6707840310818912,1270
5.0,2023-05-01,13.449988972101393,2.9588808737359145,4.545633821046433,1.1490412967911068,-0.6531671050622968,0.7745658950130724,1240
5.0,2023-06-01,16.557482321158233,3.1816311366695422,5.204086083495594,1.3335510336937877,-0.6531671050622967,0.886764696338848,1209
5.0,2023-07-01,11.524781999259336,2.8415591863933582,4.055795161489188,1.1313998040760733,-0.6531671050622965,0.8004074969950886,1179
5.0,2023-08-01,13.775800949728412,2.9627979762587704,4.649591723808183,1.3023728554061083,-0.6531671050622965,0.9175927100657376,1148
5.0,2023-09-01,14.324747613231878,3.339683546446953,4.289252982807846,1.3865601187824432,-0.6531671050622965,0.8464801863137912,1117
5.0,2023-10-01,13.935243179161095,3.211331286787817,4.339397569006352,1.4220232030255295,-0.6531671050622969,0.8563761749248794,1087
5.0,2023-11-01,10.85268310754651,2.498080781477405,4.344408390639817,1.2799594882266652,-0.6531671050622965,0.959943845998352,1056
5.0,2023-12-01,7.589254600329377,2.2963830130199008,3.304873166758444,1.0565120889352664,-0.6531671050622964,0.8650282428268221,1026
5.0,2024-01-01,5.4034059888191965,2.049036624712195,2.6370470511126918,0.8568101928259029,-0.6531671050622962,0.7222882539548281,995
5.0,2024-02-01,6.348835519207883,2.0337626251633245,3.1217190446195904,1.013374779623422,-0.6531671050622966,0.8550401090205882,964
5.0,2024-03-01,5.012209869342676,1.4151176756158623,3.5419032322957533,0.8761754526916448,-0.6531671050622969,1.001466874215919,935
5.0,2024-04-01,2.5665031910539624,1.2140541788509904,2.1139939516397543,0.4631076576203119,-0.6531671050622966,0.7611003350588582,904
5.0,2024-05-01,3.3125892585732863,1.4282223379630117,2.319379252461374,0.6490448215122993,-0.6531671050622965,0.8350451167599818,874
5.0,2024-06-01,2.3407888650879585,1.2832036083296985,1.8241757191868264,0.4451919249829521,-0.6531671050622964,0.7063918862769115,843
5.0,2024-07-01,2.531983860269851,1.3817050606180332,1.8325067573663665,0.5175241011955223,-0.6531671050622965,0.7096179887364463,813
5.0,2024-08-01,3.0665395781412186,1.3402030173237707,2.2881157097114593,0.6871129363892665,-0.6531671050622968,0.8860475200949507,782
5.0,2024-09-01,3.260831255043708,1.4685952622728233,2.220374352833734,0.7761806535586202,-0.6531671050622967,0.8598154283285149,751
5.0,2024-10-01,2.765944391033834,1.3674972313853178,2.0226325344965015,0.6737069272205398,-0.6531671050622969,0.7832420946403932,721
5.0,2024-11-01,2.7270976758717382,1.2333929274252626,2.211053440661947,0.7001191225278616,-0.6531671050622964,0.9586660222841593,690
5.0,2024-12-01,0.8761105401778289,0.8979135423077076,0.975718149796646,-0.07053437218065906,-0.6531671050622962,0.5561888661013176,660
5.0,2025-01-01,0.9718927405510726,0.9269362335446849,1.0485001075364915,-0.01640776183409609,-0.6531671050622961,0.5976767840583579,629
5.0,2025-02-01,1.0300886735555104,0.8456900586107573,1.2180451491267033,0.01825898213873356,-0.6531671050622965,0.6943225874133682,598
5.0,2025-03-01,1.306990010451155,1.0264291035579993,1.27333685874711,0.1870118346358327,-0.6531671050622965,0.725840534768336,570
5.0,2025-04-01,1.306990010451155,1.0491103074410417,1.2458079967197402,0.19877382121899334,-0.6531671050622965,0.7101482505167271,539
5.0,2025-05-01,1.244812022028507,0.9192801722530208,1.3541160351339412,0.17003320665017374,-0.6531671050622967,0.771887109312997,509
5.0,2025-06-01,0.9985344611132195,0.827642327171563,1.2064806599798659,-0.001119277014776432,-0.6531671050622964,0.6877304787117302,478
5.0,2025-07-01,0.978261159713184,0.8083506132941104,1.2101941207499936,-0.017747308217846758,-0.6531671050622967,0.6898472637028461,448
5.0,2025-08-01,0.8121463757030349,0.7481362911466193,1.0855593897982299,-0.16650512514405247,-0.6123798657226199,0.618801696189982,417
5.0,2025-09-01,0.8507200290084637,0.8001251464525707,1.063233711351543,-0.14176434203095356,-0.586085762982193,0.6060753840036264,386
5.0,2025-10-01,0.972845891068214,0.7593011314042234,1.2812385637685917,-0.027830947748931578,-0.5442165349331861,0.7303447456996183,356
5.0,2025-11-01,1.046858599871237,0.7904887563532602,1.3243181404637312,0.05277553021656711,-0.4879383078750863,0.7549014078045385,325
5.0,2025-12-01,1.046858599871237,0.9580571428127735,1.0926891028626435,0.05829615314717396,-0.4879383078750863,0.6228658483488305,295
5.0,2026-01-01,1.046858599871237,0.9896477672778535,1.0578092877941299,0.0653607718039122,-0.4879383078750863,0.6029832984579392,264
5.0,2026-02-01,1.2870535174973952,1.1015223382198476,1.1684316085476592,0.48486055381920434,-0.38193790741740075,0.6660413682071024,233
5.0,2026-03-01,1.2870535174973952,1.2926606456733243,0.9956623355134259,0.5672396851079058,-0.38193790741740075,0.5675576553786733,205
8.0,2021-01-01,142.1630284698291,2.946795271818923,48.243266109925,1.3766494854443345,-0.6567609841795266,0.658877253820107,2090
8.0,2021-02-01,94.36155579248664,2.6152677946333034,36.08103001387567,1.2390972281750434,-0.6567609841795262,0.49277281344043394,2059
8.0,2021-03-01,104.06019840339125,1.9186351576310416,54.23657436355719,1.3042794868320602,-0.6567609841795261,0.7407302211223813,2031
8.0,2021-04-01,101.1100209063231,1.469868111234156,68.78849886839667,1.3220680425648466,-0.6567609841795263,0.9394715756919385,2000
8.0,2021-05-01,88.93973746084006,1.4996129421173832,59.308462179088245,1.296819648761447,-0.6567609841795263,1.034885155276586,1970
8.0,2021-06-01,76.08611241616089,2.319750696775738,32.799262662972495,1.2601615839285696,-0.6567609841795263,0.8839201978909002,1939
8.0,2021-07-01,76.08611241616089,2.471485277076945,30.78558190164452,1.2893110422504783,-0.6567609841795263,0.8296527250110423,1909
8.0,2021-08-01,76.5579198895192,2.0804907090395925,36.79801094851334,1.3236152329171151,-0.6567609841795263,1.085992170567473,1878
8.0,2021-09-01,38.177307817889,1.83610334177461,20.792570303254443,1.053963954244753,-0.6567609841795263,0.8321885897109698,1847
8.0,2021-10-01,31.72640805899094,1.9776465431933463,16.04250677057876,1.0026556993447144,-0.6567609841795262,0.6420750724958239,1817
8.0,2021-11-01,22.596806459538247,1.4123350512040869,15.9996074870997,0.8911367950740361,-0.6567609841795262,0.8604429466729114,1786
8.0,2021-12-01,17.80251630045243,1.5192047535403113,11.71831266257294,0.8193804510811717,-0.6567609841795266,0.99607889056732,1756
8.0,2022-01-01,17.80251630045243,1.87021291004726,9.518978403374707,0.8390545581979274,-0.6567609841795266,0.9121606896649542,1725
8.0,2022-02-01,17.80251630045243,2.250412626590911,7.910778712355956,0.8596733333662678,-0.6567609841795266,0.7580541797942573,1694
8.0,2022-03-01,17.80251630045243,2.0050110924981595,8.879011376576099,0.8791654149109844,-0.6567609841795266,0.8508355411258539,1666
