period,total_return,cagr,annualized_volatility,sharpe,sortino,max_drawdown,calmar,monthly_win_rate,annualized_turnover,avg_turnover_per_rebalance,average_holdings
2022,-0.05850709570957202,-0.05866302006128954,0.4960189490120855,0.11762114686083475,0.2073513823341064,-0.2925629432603858,-0.20051418476836452,0.16666666666666666,14.038461538461538,1.0769230769230769,0.19726027397260273
2023,0.6666689367439402,0.6690095333082788,0.5862269480421012,1.1508371804978006,2.200618010345,-0.41786949487206715,1.6010011295825732,0.4166666666666667,20.054945054945055,1.1764705882352942,0.31232876712328766
2024,3.472230904096186,3.472230904096186,1.00588777203847,1.9377870006750304,4.541347797367998,-0.3680468561797253,9.434208839976124,0.4166666666666667,18.0,1.125,0.34153005464480873
2025,0.42720010007851594,0.42859549564561883,0.3440713553597285,1.2027742544537265,2.146830109242559,-0.19569028540046762,2.1901725717683207,0.3333333333333333,14.038461538461538,1.1666666666666667,0.23835616438356164
2026_ytd,1.5828291883113628,2.731812954509514,0.6109409569783764,2.441155959421672,5.337768253340945,-0.18067200800372274,15.120288885333165,0.6666666666666666,18.041825095057035,1.0,0.2689393939393939
