date,target_asset,btc_gate_open
2020-10-03,,True
2020-10-04,,True
2020-10-05,,True
2020-10-06,,True
2020-10-07,,True
2020-10-08,,True
2020-10-09,,True
2020-10-10,,True
2020-10-11,,True
2020-10-12,,True
2020-10-13,,True
2020-10-14,,True
2020-10-15,,True
2020-10-16,,True
2020-10-17,,True
2020-10-18,,True
2020-10-19,,True
2020-10-20,,True
2020-10-21,,True
2020-10-22,,True
2020-10-23,,True
2020-10-24,,True
2020-10-25,,True
2020-10-26,,True
2020-10-27,,True
2020-10-28,,True
2020-10-29,,True
2020-10-30,,True
2020-10-31,,True
2020-11-01,,True
2020-11-02,,True
2020-11-03,,True
2020-11-04,,True
2020-11-05,,True
2020-11-06,,True
2020-11-07,,True
2020-11-08,,True
2020-11-09,,True
2020-11-10,,True
2020-11-11,,True
2020-11-12,,True
2020-11-13,,True
2020-11-14,,True
2020-11-15,,True
2020-11-16,,True
2020-11-17,,True
2020-11-18,,True
2020-11-19,,True
2020-11-20,,True
2020-11-21,,True
2020-11-22,,True
2020-11-23,,True
2020-11-24,,True
2020-11-25,,True
2020-11-26,,True
2020-11-27,,True
2020-11-28,,True
2020-11-29,,True
2020-11-30,,True
2020-12-01,,True
2020-12-02,,True
2020-12-03,,True
2020-12-04,,True
2020-12-05,,True
2020-12-06,,True
2020-12-07,,True
2020-12-08,,True
2020-12-09,,True
2020-12-10,,True
2020-12-11,,True
2020-12-12,,True
2020-12-13,,True
2020-12-14,,False
2020-12-15,,False
2020-12-16,,True
2020-12-17,,True
2020-12-18,,True
2020-12-19,,True
2020-12-20,,True
2020-12-21,,True
2020-12-22,,True
2020-12-23,,True
2020-12-24,,True
2020-12-25,,True
2020-12-26,,True
2020-12-27,,True
2020-12-28,,True
2020-12-29,,True
2020-12-30,,True
2020-12-31,,True
2021-01-01,,True
2021-01-02,,True
2021-01-03,,True
2021-01-04,,True
2021-01-05,,True
2021-01-06,,True
2021-01-07,,True
2021-01-08,,True
2021-01-09,,True
2021-01-10,,True
2021-01-11,,True
2021-01-12,,True
2021-01-13,,True
2021-01-14,,True
2021-01-15,,True
2021-01-16,,True
2021-01-17,,True
2021-01-18,,False
2021-01-19,,False
2021-01-20,,False
2021-01-21,,False
2021-01-22,,False
2021-01-23,,False
2021-01-24,,False
2021-01-25,,False
2021-01-26,,False
2021-01-27,,False
2021-01-28,,False
2021-01-29,,False
2021-01-30,,False
2021-01-31,,False
2021-02-01,,False
2021-02-02,,True
2021-02-03,,True
2021-02-04,,True
2021-02-05,,True
2021-02-06,,True
2021-02-07,,True
2021-02-08,,True
2021-02-09,,True
2021-02-10,,True
2021-02-11,,True
2021-02-12,,True
2021-02-13,,True
2021-02-14,,True
2021-02-15,,True
2021-02-16,,True
2021-02-17,,True
2021-02-18,,True
2021-02-19,,True
2021-02-20,,True
2021-02-21,,True
2021-02-22,,True
2021-02-23,,True
2021-02-24,,True
2021-02-25,,True
2021-02-26,,False
2021-02-27,,False
2021-02-28,,False
2021-03-01,,False
2021-03-02,,False
2021-03-03,,False
2021-03-04,,False
2021-03-05,,False
2021-03-06,,False
2021-03-07,,True
2021-03-08,,True
2021-03-09,,True
2021-03-10,,True
2021-03-11,,True
2021-03-12,,True
2021-03-13,,True
2021-03-14,,True
2021-03-15,,True
2021-03-16,,True
2021-03-17,,True
2021-03-18,,True
2021-03-19,,True
2021-03-20,,True
2021-03-21,,True
2021-03-22,,True
2021-03-23,,False
2021-03-24,,False
2021-03-25,,False
2021-03-26,,False
2021-03-27,,False
2021-03-28,,False
2021-03-29,,False
2021-03-30,,False
2021-03-31,,True
2021-04-01,,True
2021-04-02,,True
2021-04-03,,True
2021-04-04,,True
2021-04-05,,True
2021-04-06,,True
2021-04-07,,True
2021-04-08,,True
2021-04-09,,True
2021-04-10,,True
2021-04-11,,True
2021-04-12,,True
2021-04-13,,True
2021-04-14,,True
2021-04-15,,True
2021-04-16,,True
2021-04-17,,True
2021-04-18,,True
2021-04-19,,True
2021-04-20,,False
2021-04-21,,False
2021-04-22,,False
2021-04-23,,False
2021-04-24,,False
2021-04-25,,False
2021-04-26,,False
2021-04-27,,False
2021-04-28,,False
2021-04-29,,False
2021-04-30,,False
2021-05-01,,True
2021-05-02,,True
2021-05-03,,True
2021-05-04,,True
2021-05-05,,True
2021-05-06,,True
2021-05-07,,True
2021-05-08,,True
2021-05-09,,True
2021-05-10,,True
2021-05-11,,True
2021-05-12,,False
2021-05-13,,False
2021-05-14,,False
2021-05-15,,False
