candidate_id,total_cost_bps,total_return,cagr,sharpe,max_drawdown
CTREND_balanced_top1__vol30,50.0,3.8124235983294215,0.3946588402285751,1.0900360261210547,-0.35209484712831063
CTREND_balanced_top1__vol30,100.0,2.12022311922099,0.2724111683559547,0.8353708731793371,-0.3876216053119155
CTREND_balanced_top1__vol30,150.0,1.0186989783365403,0.16034949355893402,0.5820595584745124,-0.45863411450170377
CTREND_balanced_top1__vol40,50.0,5.112707499862276,0.46709748625996994,1.0357546986134882,-0.44154669078602915
CTREND_balanced_top1__vol40,100.0,2.5502974601474597,0.3076766405347595,0.791953785328379,-0.4801352774802359
CTREND_balanced_top1__vol40,150.0,1.0552018701394075,0.1647603914432576,0.5493059143079726,-0.5595170915802827
CTREND_balanced_top1__vol40_trend200,50.0,4.037432809178012,0.4082170403815648,1.0405112694677385,-0.37533573729973724
CTREND_balanced_top1__vol40_trend200,100.0,2.3302976858134414,0.2900855545658585,0.8223942670395936,-0.3964821229306015
CTREND_balanced_top1__vol40_trend200,150.0,1.1965165407567047,0.18127490274118707,0.60434603968886,-0.41701743603217056
CTREND_balanced_top1__vol50,50.0,5.3214646871556415,0.477565269148583,0.9569094521495884,-0.5098048815563969
CTREND_balanced_top1__vol50,100.0,2.361870410552242,0.2926653568702384,0.7224085410235764,-0.5574609587040333
CTREND_balanced_top1__vol50,150.0,0.7800953447550876,0.12985596017762435,0.4889582605359376,-0.6431542695670859
CTREND_balanced_top1__vol50_trend100,50.0,4.228575912588049,0.41936449432716505,0.9157855182267888,-0.47840821275609935
CTREND_balanced_top1__vol50_trend100,100.0,2.1466585846931125,0.27468594642337996,0.7117427217683001,-0.5261760891299505
CTREND_balanced_top1__vol50_trend100,150.0,0.8877231910834438,0.14398627533452357,0.5079728080697719,-0.569848364784819
CTREND_balanced_top1__vol60,50.0,5.215665165429946,0.4722947615914703,0.8987751695526133,-0.5706949810130031
CTREND_balanced_top1__vol60,100.0,2.058802043797818,0.26706661844482604,0.6725564094241537,-0.6302664025949236
CTREND_balanced_top1__vol60,150.0,0.49714663155797645,0.08919698065207515,0.447268178011471,-0.7190335850370777
CTREND_balanced_top1__vol80,50.0,5.172006273433698,0.47009922248912606,0.8614405373522617,-0.6451423380629904
CTREND_balanced_top1__vol80,100.0,1.714373544414245,0.23542163478245914,0.6440487957690304,-0.7174063131293515
CTREND_balanced_top1__vol80,150.0,0.18532159807618798,0.036650529085633377,0.42735729392431626,-0.7934642605075037
CTREND_balanced_top1__vol100,50.0,3.8715865461287367,0.39827140316424403,0.800900281844726,-0.7067185036685424
CTREND_balanced_top1__vol100,100.0,0.9877161263326206,0.1565560149214853,0.5884739333122124,-0.77916947348353
CTREND_balanced_top1__vol100,150.0,-0.19570696440267132,-0.04506325031925529,0.3766160204636016,-0.8425587667842002
CTREND_balanced_top1__btc_chandelier30,50.0,3.5626620616928495,0.37901084067546,0.8062238641988356,-0.7596031008808025
CTREND_balanced_top1__btc_chandelier30,100.0,0.695948174504589,0.11833142356723614,0.6090611411917588,-0.7914049823326947
CTREND_balanced_top1__btc_chandelier30,150.0,-0.37589836436047286,-0.09499269742586425,0.4122492296375974,-0.855768385112441
CTREND_balanced_top1__trend200,50.0,3.918910709759035,0.40113626167808447,0.7969802607895563,-0.7066299535023219
CTREND_balanced_top1__trend200,100.0,1.3584390175346797,0.19919815017096076,0.6255408843491761,-0.7377260472779732
CTREND_balanced_top1__trend200,150.0,0.12302665162705417,0.024869172102810477,0.45379359056804913,-0.7704352849275886
CTREND_balanced_top1__none,50.0,2.7671777883591178,0.3241962940604235,0.768925915089217,-0.7596031008808025
CTREND_balanced_top1__none,100.0,0.4000504866014183,0.07384375523974174,0.572609195079251,-0.8277992450606266
CTREND_balanced_top1__none,150.0,-0.4849212721266247,-0.1310420436214591,0.3766511438438034,-0.8809638807639406
BTC_BH_bull__vol40_trend200,50.0,1.32341477593974,0.19540545563206502,0.8101534800970934,-0.24078030539506845
BTC_BH_bull__vol40_trend200,100.0,1.1770993671285899,0.1790563147782891,0.7574144566735646,-0.2626932076730065
BTC_BH_bull__vol40_trend200,150.0,1.0394552146586937,0.16286525025829812,0.7041647367389032,-0.28407643772052615
CTREND_balanced_top1__trend100,50.0,2.2554097938029054,0.2838884786757452,0.7212238701477609,-0.7251685833474486
CTREND_balanced_top1__trend100,100.0,0.42444590467634735,0.07777834226503066,0.5465735061057422,-0.7615272545279238
CTREND_balanced_top1__trend100,150.0,-0.3816051176811731,-0.09675107610462663,0.37194074530899524,-0.8052502414412537
CTREND_relative_top3__vol50_trend100,50.0,1.7427343590860542,0.23814332579209574,0.6825504319152226,-0.4697260768973992
CTREND_relative_top3__vol50_trend100,100.0,0.6233795849621868,0.10802483564111331,0.45141449908190506,-0.521544562122316
CTREND_relative_top3__vol50_trend100,150.0,-0.041968151503587015,-0.009036132872216607,0.2208849636380133,-0.5697818649015822
BTC_BH_bull__trend200,50.0,1.524014073093725,0.21654909087808716,0.7971028474317339,-0.2622733607164969
BTC_BH_bull__trend200,100.0,1.3879488746952053,0.20235939276634007,0.7582804865492353,-0.28423880533209933
BTC_BH_bull__trend200,150.0,1.2585848950195624,0.18826461074295198,0.7190126444492033,-0.3056565154419999
CTREND_balanced_top3__vol40_trend200,50.0,1.4076408943032095,0.2044518095421024,0.6625328683547689,-0.3904358318496777
CTREND_balanced_top3__vol40_trend200,100.0,0.495629247506036,0.08896316866816312,0.4106616542214914,-0.4201467390568401
CTREND_balanced_top3__vol40_trend200,150.0,-0.07330565788151433,-0.01598912201720759,0.15931897176896265,-0.45281684257868526
CTREND_balanced_top1__btc_ma200,50.0,2.490561926324154,0.3029871724577853,0.7065975395615591,-0.7453920241703056
CTREND_balanced_top1__btc_ma200,100.0,0.8898489760432582,0.14425889975926998,0.5573067380361691,-0.7722429987425072
CTREND_balanced_top1__btc_ma200,150.0,0.017229522117896856,0.0036232614416940034,0.4080219323191878,-0.7964630698070417
CTREND_breakout_top3__vol40_trend200,50.0,1.3133791530413714,0.1943104179665096,0.6386864203557107,-0.41825018784736157
CTREND_breakout_top3__vol40_trend200,100.0,0.43052351276829937,0.07875028950168228,0.3872956803705431,-0.4469267145697977
CTREND_breakout_top3__vol40_trend200,150.0,-0.11764744996928178,-0.026151226897862423,0.13647406193112246,-0.4910625526130761
CTREND_breakout_top3__vol30,50.0,1.0481378159012218,0.16391163927982233,0.6250798047491599,-0.32965570442187386
CTREND_breakout_top3__vol30,100.0,0.3437394529235194,0.06455100262014724,0.35367151089164617,-0.35355487597865454
CTREND_breakout_top3__vol30,150.0,-0.11992136006489817,-0.02668311448419658,0.08400058025946609,-0.4473659393777222
CTREND_balanced_top1__asset_ma50_vol60,50.0,1.738627167044596,0.2377505504017392,0.6409597001677377,-0.6239522053764017
CTREND_balanced_top1__asset_ma50_vol60,100.0,0.47966312666697775,0.08649156177360195,0.41810867908775234,-0.6946003774978641
CTREND_balanced_top1__asset_ma50_vol60,150.0,-0.20356957904494544,-0.047047346936707535,0.1963572893852527,-0.7522808452683631
CTREND_balanced_top3__vol30,50.0,0.9871854657635863,0.15649063710152356,0.6078803376033278,-0.35839392597853104
CTREND_balanced_top3__vol30,100.0,0.307354208421166,0.058381954513150314,0.3361876947584795,-0.41678799774800745
CTREND_balanced_top3__vol30,150.0,-0.141369702387656,-0.031754129825799504,0.0667934886497864,-0.4740604450567061
CTREND_relative_top3__vol50,50.0,1.4002075286239553,0.20366355233069577,0.6175039596459867,-0.49734335833384613
