base_id,family,kind,frequency,regime_mode,top_n,score_family,concentrated,overlay_id,target_volatility,vol_window,trend_window,asset_trend_window,risk_on_kind,risk_on_window,candidate_id,total_return,cagr,annualized_volatility,sharpe,sortino,max_drawdown,calmar,monthly_win_rate,annualized_turnover,avg_turnover_per_rebalance,average_holdings,avg_gross_exposure,max_gross_exposure,beats_btc_total,beats_btc_sharpe
BTC_BH,benchmark,standard,monthly,always_on,,,True,asset_ma100_btc_ma100,,30,,100.0,btc_ma,100,BTC_BH__asset_ma100_btc_ma100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
BTC_BH,benchmark,standard,monthly,always_on,,,True,asset_ma50_vol60,0.6,30,,50.0,none,100,BTC_BH__asset_ma50_vol60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
BTC_BH,benchmark,standard,monthly,always_on,,,True,asset_ma100_vol60,0.6,30,,100.0,none,100,BTC_BH__asset_ma100_vol60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
ETH_BH,benchmark,standard,monthly,always_on,,,True,none,,30,,,none,100,ETH_BH__none,-0.2649500984129337,-0.06309187041694198,0.6893934047761504,0.2490009637189674,0.41983745203573175,-0.7405353367380574,-0.08519764997961045,0.47368421052631576,0.2117169373549884,1.0,0.9994202898550725,0.9994202898550725,1.0,False,False
ETH_BH,benchmark,standard,monthly,always_on,,,True,vol30,0.3,30,,,none,100,ETH_BH__vol30,-0.11348227901010743,-0.02517975263511174,0.2205423778253906,-0.005415381233794314,-0.008870521244947105,-0.3308591112644106,-0.07610415363471432,0.47368421052631576,0.0905786052904335,0.42782880964577363,0.9994202898550725,0.31709776083784313,0.48935560111576754,False,False
ETH_BH,benchmark,standard,monthly,always_on,,,True,vol40,0.4,30,,,none,100,ETH_BH__vol40,-0.15126683763262005,-0.034127834835551596,0.30956304493475645,0.04243948662250991,0.0699742612500717,-0.4258802117676228,-0.08013482169998802,0.47368421052631576,0.12077147372057803,0.5704384128610316,0.9994202898550725,0.4482015230019762,0.6298961096655565,False,False
ETH_BH,benchmark,standard,monthly,always_on,,,True,vol50,0.5,30,,,none,100,ETH_BH__vol50,-0.18902996239804826,-0.04339030763701235,0.41157372746007936,0.09764858492915474,0.1621055623027096,-0.5304166810768292,-0.08180419128018977,0.47368421052631576,0.15096434215072252,0.7130480160762894,0.9994202898550725,0.5989388129457067,0.7610354864938788,False,False
ETH_BH,benchmark,standard,monthly,always_on,,,True,vol60,0.6,30,,,none,100,ETH_BH__vol60,-0.2267716533063725,-0.05299371238612949,0.5331008566718399,0.163764042165078,0.2738391843091541,-0.6350777719277624,-0.08344444527678622,0.47368421052631576,0.181157210580867,0.8556576192915473,0.9994202898550725,0.777107064087337,0.8836865031221887,False,False
ETH_BH,benchmark,standard,monthly,always_on,,,True,vol80,0.8,30,,,none,100,ETH_BH__vol80,-0.2649500984129337,-0.06309187041694198,0.6893934047761504,0.2490009637189674,0.41983745203573175,-0.7405353367380574,-0.08519764997961045,0.47368421052631576,0.2117169373549884,1.0,0.9994202898550725,0.9994202898550725,1.0,False,False
ETH_BH,benchmark,standard,monthly,always_on,,,True,vol100,1.0,30,,,none,100,ETH_BH__vol100,-0.2649500984129337,-0.06309187041694198,0.6893934047761504,0.2490009637189674,0.41983745203573175,-0.7405353367380574,-0.08519764997961045,0.47368421052631576,0.2117169373549884,1.0,0.9994202898550725,0.9994202898550725,1.0,False,False
