date,2bps,20bps,50bps,100bps
2022-01-01,0.0,0.0,0.0,0.0
2022-01-02,0.0,0.0,0.0,0.0
2022-01-03,0.0,0.0,0.0,0.0
2022-01-04,0.0,0.0,0.0,0.0
2022-01-05,0.0,0.0,0.0,0.0
2022-01-06,0.0,0.0,0.0,0.0
2022-01-07,0.0,0.0,0.0,0.0
2022-01-08,0.0,0.0,0.0,0.0
2022-01-09,0.0,0.0,0.0,0.0
2022-01-10,0.0,0.0,0.0,0.0
2022-01-11,0.0,0.0,0.0,0.0
2022-01-12,0.0,0.0,0.0,0.0
2022-01-13,0.0,0.0,0.0,0.0
2022-01-14,0.0,0.0,0.0,0.0
2022-01-15,0.0,0.0,0.0,0.0
2022-01-16,0.0,0.0,0.0,0.0
2022-01-17,0.0,0.0,0.0,0.0
2022-01-18,0.0,0.0,0.0,0.0
2022-01-19,0.0,0.0,0.0,0.0
2022-01-20,0.0,0.0,0.0,0.0
2022-01-21,0.0,0.0,0.0,0.0
2022-01-22,0.0,0.0,0.0,0.0
2022-01-23,0.0,0.0,0.0,0.0
2022-01-24,0.0,0.0,0.0,0.0
2022-01-25,0.0,0.0,0.0,0.0
2022-01-26,0.0,0.0,0.0,0.0
2022-01-27,0.0,0.0,0.0,0.0
2022-01-28,0.0,0.0,0.0,0.0
2022-01-29,0.0,0.0,0.0,0.0
2022-01-30,0.0,0.0,0.0,0.0
2022-01-31,0.0,0.0,0.0,0.0
2022-02-01,0.0,0.0,0.0,0.0
2022-02-02,0.0,0.0,0.0,0.0
2022-02-03,0.0,0.0,0.0,0.0
2022-02-04,0.0,0.0,0.0,0.0
2022-02-05,0.0,0.0,0.0,0.0
2022-02-06,0.0,0.0,0.0,0.0
2022-02-07,0.0,0.0,0.0,0.0
2022-02-08,0.0,0.0,0.0,0.0
2022-02-09,-0.0006183182485782757,-0.0007444802730538491,-0.0009547503138467306,-0.0013052003818346813
2022-02-10,-0.003258753759900923,-0.003275812012849766,-0.0033042424344310595,-0.003351626470400104
2022-02-11,-0.005322701011151065,-0.0053560772324211525,-0.005411704267871187,-0.005504415993621392
2022-02-12,0.0032527725420177234,0.0032018422192372498,0.0031169583479366825,0.0029754852291019596
2022-02-13,-1.316981593835198e-05,-0.00013169815938340879,-0.0003292453984586885,-0.000658490796917266
2022-02-14,0.0,0.0,0.0,0.0
2022-02-15,0.0035611702431714853,0.0034531711728784664,0.0032731727223898055,0.002973175304908926
2022-02-16,-0.000838258541917658,-0.000838258541917658,-0.000838258541917658,-0.000838258541917658
2022-02-17,-0.0054538047155443525,-0.0054538047155443525,-0.0054538047155443525,-0.0054538047155443525
2022-02-18,0.0003285579345955192,0.00029255322888754876,0.00023254538604122743,0.00013253231463083992
2022-02-19,-1.1509853177327223e-05,-0.00011509853177282814,-0.00028774632943207035,-0.0005754926588642517
2022-02-20,0.0,0.0,0.0,0.0
2022-02-21,0.0,0.0,0.0,0.0
2022-02-22,0.0,0.0,0.0,0.0
2022-02-23,0.0,0.0,0.0,0.0
2022-02-24,0.0,0.0,0.0,0.0
2022-02-25,0.0,0.0,0.0,0.0
2022-02-26,0.0,0.0,0.0,0.0
2022-02-27,0.0,0.0,0.0,0.0
2022-02-28,0.0,0.0,0.0,0.0
2022-03-01,0.0,0.0,0.0,0.0
2022-03-02,0.001250831950077691,0.001171890793581376,0.001040322199420629,0.0008210412091529395
2022-03-03,-0.0008777519685500002,-0.0008777519685500002,-0.0008777519685500002,-0.0008777519685500002
2022-03-04,-0.0034431695762089376,-0.0034431695762089376,-0.0034431695762089376,-0.0034431695762089376
2022-03-05,0.0020295712687634637,0.0020295712687634637,0.0020295712687634637,0.0020295712687634637
2022-03-06,-8.561035624299329e-06,-8.561035624332636e-05,-0.00021402589060826038,-0.00042805178121640974
2022-03-07,0.0,0.0,0.0,0.0
2022-03-08,0.0,0.0,0.0,0.0
2022-03-09,0.0,0.0,0.0,0.0
2022-03-10,0.0,0.0,0.0,0.0
2022-03-11,0.0,0.0,0.0,0.0
2022-03-12,0.0,0.0,0.0,0.0
2022-03-13,0.0,0.0,0.0,0.0
2022-03-14,0.0,0.0,0.0,0.0
2022-03-15,0.0,0.0,0.0,0.0
2022-03-16,0.0,0.0,0.0,0.0
2022-03-17,0.0,0.0,0.0,0.0
2022-03-18,0.0008310623927276772,0.0007536587238943238,0.000624652609172216,0.000409642417968481
2022-03-19,0.0017258928017922504,0.0017258928017922504,0.0017258928017922504,0.0017258928017922504
2022-03-20,-0.0007744949363842624,-0.0007744949363842624,-0.0007744949363842624,-0.0007744949363842624
2022-03-21,0.0026729534746217087,0.0026729534746217087,0.0026729534746217087,0.0026729534746217087
2022-03-22,-0.001152350302598526,-0.0011731745635010782,-0.0012078816650051838,-0.0012657268341789152
2022-03-23,0.0010149556574561291,0.0009988073888986815,0.000971893607969454,0.0009270373064207416
2022-03-24,0.004675987942674764,0.0036277949730842973,0.0018808066904336673,-0.0010308404473174937
2022-03-25,-0.02022650564100459,-0.020437941663013826,-0.020790335033029184,-0.021377657316388077
2022-03-26,0.026355217161881273,0.026151920097168935,0.025813091655981557,0.025248377587336
2022-03-27,0.019843013920037178,0.01968657854926059,0.019425852931299614,0.01899131023469769
2022-03-28,-0.0019082790587033882,-0.0019213953045972287,-0.0019432557144202223,-0.001979689730791989
