strategy,annualized_turnover,avg_turnover_per_rebalance,average_holdings
TOP20_MOM_top8_biweekly__bull_only,8.055818159119205,0.7750223371207412,2.7524644030668126
ETH_BH__bull_only,2.7984665936473165,1.0,0.3154435925520263
TOP20_MOM_top4_biweekly__bull_only,9.411603808821049,0.9054577742311504,1.380065717415115
TOP20_MOM_top6_biweekly__bull_only,8.708231710894625,0.8377887831450785,2.0700985761226725
BTC_BH__bull_only,2.7984665936473165,1.0,0.3154435925520263
TOP20_SECTOR_top4_biweekly__bull_only,9.708311655558823,0.9340030075369026,2.108433734939759
TOP20_MOM_top4_monthly__bull_only,5.47368971172212,1.053209421876142,1.2617743702081052
TOP20_SECTOR_top3_biweekly__bull_only,10.874003025356554,1.046150132997949,1.5870755750273822
TOP20_MOM_top8_monthly__bull_only,4.929768708406641,0.9485519137566413,2.507119386637459
TOP20_MOM_top4_biweekly__always_on,21.76817074362266,0.8782297785650681,3.7677984665936473
TOP20_MOM_top6_biweekly__always_on,20.302525427840887,0.8190987943269434,5.59802847754655
TOP20_MOM_top4_monthly__always_on,12.922084388103594,1.1341372791481452,3.7787513691128147
TOP20_EQ__bull_only,4.063684779926271,0.7819060493303869,4.9868565169769985
BTC_BH__always_on,0.19989047097480833,1.0,0.9950711938663745
TOP20_MOM_top8_biweekly__always_on,18.05007110363785,0.7282242561918407,7.282584884994524
TOP20_MOM_top8_monthly__always_on,10.482377037783799,0.9200105970196211,7.254107338444688
TOP20_MOM_top6_monthly__always_on,11.728274552190527,1.0293597371929777,5.566812705366922
TOP20_EQ__always_on,6.189802067612428,0.5432626087700213,13.42223439211391
ETH_BH__always_on,0.19989047097480833,1.0,0.9950711938663745
TOP20_SECTOR_top3_monthly__bull_only,6.069751396097648,1.1678994783218448,1.462212486308872
TOP20_MOM_top6_monthly__bull_only,5.345780510399085,1.0285980202306353,1.8926615553121577
TOP20_SECTOR_top4_monthly__always_on,12.234036654524735,1.0737491435309858,5.286418400876232
TOP20_SECTOR_top2_biweekly__bull_only,12.214587463239768,1.1751231142189575,1.0580503833515882
TOP20_SECTOR_top3_monthly__always_on,13.084908085185567,1.1484278857749988,4.150054764512596
TOP20_SECTOR_top4_monthly__bull_only,5.368489475110255,1.0329675217651555,1.8603504928806134
TOP20_SECTOR_top4_biweekly__always_on,22.83668556969902,0.9213386621800796,5.48302300109529
TOP20_SECTOR_top3_biweekly__always_on,25.166448045277413,1.0153321725734987,4.161555312157722
TOP20_SECTOR_top2_monthly__always_on,14.569709815853669,1.2787450191660081,2.6982475355969333
TOP20_SECTOR_top2_monthly__bull_only,6.5820083739079775,1.2664644141997858,0.9151150054764513
TOP20_SECTOR_top2_biweekly__always_on,28.99779003789115,1.1699064208835448,2.7787513691128147
