strategy,regime,annualized_return,annualized_volatility,sharpe,days
BTC_BH__always_on,bull,3.1199730673710073,0.48116043516610346,3.1859812366718807,629
BTC_BH__always_on,non_bull,-0.48413774164162693,0.5932050211300357,-0.8160909229465528,1197
ETH_BH__always_on,bull,3.807948497098021,0.6582561608674726,2.71266304877778,629
ETH_BH__always_on,non_bull,-0.5861245038043289,0.8046748656058634,-0.6893285877405378,1197
TOP20_EQ__always_on,bull,3.4328685058945023,0.6818872955568872,2.5279993470370385,629
TOP20_EQ__always_on,non_bull,-0.5472781509649092,0.7168624880775406,-0.741010610337891,1197
TOP20_MOM_top4_monthly__always_on,bull,3.1303377271088317,0.7717661986278417,2.220730548432207,629
TOP20_MOM_top4_monthly__always_on,non_bull,-0.5114862903270491,0.7126155272334463,-0.6451298976659451,1197
TOP20_MOM_top4_biweekly__always_on,bull,3.823863759619324,0.8182756307569767,2.3308328307268833,629
TOP20_MOM_top4_biweekly__always_on,non_bull,-0.556274811816676,0.7531488756515048,-0.6975842481763548,1197
TOP20_MOM_top6_monthly__always_on,bull,2.8004895705248574,0.7064017388336048,2.2433403276110813,629
TOP20_MOM_top6_monthly__always_on,non_bull,-0.5055180788220719,0.6923720745650986,-0.666223447133975,1197
TOP20_MOM_top6_biweekly__always_on,bull,3.403524653890255,0.7555111134076996,2.3404704856865624,629
TOP20_MOM_top6_biweekly__always_on,non_bull,-0.522833105748505,0.7048379940507008,-0.6925013063785472,1197
TOP20_MOM_top8_monthly__always_on,bull,3.3882942666348734,0.6971851108985179,2.4720332029833147,629
TOP20_MOM_top8_monthly__always_on,non_bull,-0.5388805450081071,0.6824323204407986,-0.7883574874192923,1197
TOP20_MOM_top8_biweekly__always_on,bull,3.6303069713624803,0.7140677858890727,2.5059563067154227,629
TOP20_MOM_top8_biweekly__always_on,non_bull,-0.5436355288410568,0.696930278770239,-0.7719215933712907,1197
TOP20_SECTOR_top2_monthly__always_on,bull,1.4909446108129205,0.7024389725135645,1.650568286634218,629
TOP20_SECTOR_top2_monthly__always_on,non_bull,-0.5813569169379509,0.7417483804330375,-0.8011573860839029,1197
TOP20_SECTOR_top2_biweekly__always_on,bull,1.7175223940685376,0.7378275174856724,1.7239058128103557,629
TOP20_SECTOR_top2_biweekly__always_on,non_bull,-0.636848444352555,0.7273544823367423,-1.0230646462605122,1197
TOP20_SECTOR_top3_monthly__always_on,bull,2.64695627208889,0.7194512134970356,2.1577838843525496,629
TOP20_SECTOR_top3_monthly__always_on,non_bull,-0.5564938173642555,0.6845822837505999,-0.8407475722758933,1197
TOP20_SECTOR_top3_biweekly__always_on,bull,1.9488853098165286,0.6875921571704202,1.9170553410397189,629
TOP20_SECTOR_top3_biweekly__always_on,non_bull,-0.5943824783157554,0.6728673553032162,-0.999088432462857,1197
TOP20_SECTOR_top4_monthly__always_on,bull,2.377825449473018,0.6632948267464872,2.167963014262855,629
TOP20_SECTOR_top4_monthly__always_on,non_bull,-0.5110616661950065,0.6647498022782037,-0.7393125921565996,1197
TOP20_SECTOR_top4_biweekly__always_on,bull,2.41754089742583,0.6787194139540931,2.151718478392595,629
TOP20_SECTOR_top4_biweekly__always_on,non_bull,-0.5584862978199883,0.6727073213904377,-0.8734630039048994,1197
BTC_BH__bull_only,bull,0.9874453400087011,0.41620203806321904,1.8582199567085187,629
BTC_BH__bull_only,non_bull,-0.18800656011965466,0.13943405031318296,-1.4219900698045678,1197
ETH_BH__bull_only,bull,1.5280155612312045,0.5789822456918455,1.8884547451604905,629
ETH_BH__bull_only,non_bull,-0.20249559056440114,0.18691129594909206,-1.1138775563177727,1197
TOP20_EQ__bull_only,bull,1.3032841044153574,0.5938045800735017,1.7040172963434395,629
TOP20_EQ__bull_only,non_bull,-0.27693267946220546,0.19622635477204947,-1.5485100429286247,1197
TOP20_MOM_top4_monthly__bull_only,bull,1.4233724712228932,0.679916650972709,1.6378130221819256,629
TOP20_MOM_top4_monthly__bull_only,non_bull,-0.2785248500848967,0.2113553671320231,-1.4328420594266176,1197
TOP20_MOM_top4_biweekly__bull_only,bull,2.1056737958771596,0.7863534161012866,1.8310566461639362,629
TOP20_MOM_top4_biweekly__bull_only,non_bull,-0.27983235893221736,0.23975732715145573,-1.2440884368355627,1197
TOP20_MOM_top6_monthly__bull_only,bull,1.0862819094106566,0.621718384730928,1.4926318716826799,629
TOP20_MOM_top6_monthly__bull_only,non_bull,-0.29034738737031296,0.2072346751475536,-1.5444645783957585,1197
TOP20_MOM_top6_biweekly__bull_only,bull,1.8072765357484881,0.7246614467213993,1.7855337277212564,629
TOP20_MOM_top6_biweekly__bull_only,non_bull,-0.25037922715056404,0.220855140367301,-1.188509557295774,1197
TOP20_MOM_top8_monthly__bull_only,bull,1.3719377085116897,0.613967866586104,1.7144136310308566,629
TOP20_MOM_top8_monthly__bull_only,non_bull,-0.27770077523395087,0.19964574706391255,-1.523426073204121,1197
TOP20_MOM_top8_biweekly__bull_only,bull,1.9477691128720762,0.6824979005606384,1.925854078300614,629
TOP20_MOM_top8_biweekly__bull_only,non_bull,-0.22751298777675044,0.2301656171016657,-1.0025537151788735,1197
TOP20_SECTOR_top2_monthly__bull_only,bull,0.47512040318441295,0.621877347237903,0.9359119818794439,629
TOP20_SECTOR_top2_monthly__bull_only,non_bull,-0.30807834943583823,0.2174353721463144,-1.5781669005315317,1197
TOP20_SECTOR_top2_biweekly__bull_only,bull,0.932090494147485,0.7120014958823526,1.2800536961455582,629
TOP20_SECTOR_top2_biweekly__bull_only,non_bull,-0.2765343297964049,0.21799313359305797,-1.3708069878524018,1197
TOP20_SECTOR_top3_monthly__bull_only,bull,1.1292196160375387,0.6404458649822655,1.4985847607637244,629
TOP20_SECTOR_top3_monthly__bull_only,non_bull,-0.2863467594887258,0.19371202437820773,-1.640269930348108,1197
TOP20_SECTOR_top3_biweekly__bull_only,bull,1.0894857627756926,0.6609797186516276,1.444724103039135,629
TOP20_SECTOR_top3_biweekly__bull_only,non_bull,-0.22739795554509468,0.211949749345545,-1.1064038594102212,1197
TOP20_SECTOR_top4_monthly__bull_only,bull,0.8903387589997909,0.5806068274811987,1.3871928409930578,629
TOP20_SECTOR_top4_monthly__bull_only,non_bull,-0.27444229796073805,0.19482279165023714,-1.5443490559263644,1197
TOP20_SECTOR_top4_biweekly__bull_only,bull,1.3504259031485915,0.6510527548017881,1.6385307195168122,629
TOP20_SECTOR_top4_biweekly__bull_only,non_bull,-0.24681384492161362,0.22834377700742595,-1.1234694749745568,1197
