strategy,total_return,cagr,annualized_volatility,sharpe,sortino,max_drawdown,calmar,monthly_win_rate,annualized_turnover,avg_turnover_per_rebalance,average_holdings
TOP20_MOM_top8_biweekly__bull_only,1.7632286235860164,0.22527907228876476,0.4434628661769481,0.6798782159988532,1.067586270038012,-0.4931307117396654,0.4568343989244267,0.21311475409836064,8.055818159119205,0.7750223371207412,2.7524644030668126
ETH_BH__bull_only,1.354202166417985,0.1866646995218526,0.37339332852443213,0.6431735607711719,1.0417653369399233,-0.509502186449559,0.36636682724095143,0.18032786885245902,2.7984665936473165,1.0,0.3154435925520263
TOP20_MOM_top4_biweekly__bull_only,1.4020742387857097,0.1914493916773401,0.5025476833883699,0.5978628883755382,0.9708228146294889,-0.5756958337245515,0.3325530262026203,0.19672131147540983,9.411603808821049,0.9054577742311504,1.380065717415115
TOP20_MOM_top6_biweekly__bull_only,1.3018309276380013,0.18134031904298897,0.4629965462469592,0.5910224608775652,0.9328814229504541,-0.5694979777571957,0.31842135727530724,0.22950819672131148,8.708231710894625,0.8377887831450785,2.0700985761226725
BTC_BH__bull_only,0.6497960393734181,0.10525435904919589,0.270183548145939,0.5049742118434551,0.7927665946005072,-0.33745582332065416,0.3119055940818128,0.18032786885245902,2.7984665936473165,1.0,0.3154435925520263
TOP20_SECTOR_top4_biweekly__bull_only,0.7214697147867235,0.11468983180314662,0.4257619155904642,0.4681037746200742,0.7228421878468427,-0.6257391849339894,0.1832869581521341,0.21311475409836064,9.708311655558823,0.9340030075369026,2.108433734939759
TOP20_MOM_top4_monthly__bull_only,0.5758335537107035,0.09516721837826747,0.43562344587175766,0.4248439005944506,0.6784812895294611,-0.49541916906113415,0.19209434014961166,0.16393442622950818,5.47368971172212,1.053209421876142,1.2617743702081052
TOP20_SECTOR_top3_biweekly__bull_only,0.5278354142095201,0.08841658987360868,0.42522921997950386,0.41206323708187204,0.635439105232428,-0.6151969196950644,0.14372079417665853,0.19672131147540983,10.874003025356554,1.046150132997949,1.5870755750273822
TOP20_MOM_top8_monthly__bull_only,0.5243353459081603,0.08791772195613623,0.39637986011207804,0.41174943922445334,0.6197976981244542,-0.46363997612075447,0.18962498163281366,0.18032786885245902,4.929768708406641,0.9485519137566413,2.507119386637459
TOP20_MOM_top4_biweekly__always_on,0.04812670839002342,0.009440026965094717,0.778554979516304,0.40149595883641,0.6735267359596108,-0.9016522966310914,0.01046969768764098,0.4262295081967213,21.76817074362266,0.8782297785650681,3.7677984665936473
TOP20_MOM_top6_biweekly__always_on,0.13675799722526083,0.0259530960002623,0.7248704063446313,0.3988876289686652,0.6582659581507396,-0.8773032713635877,0.029582810012692126,0.45901639344262296,20.302525427840887,0.8190987943269434,5.59802847754655
TOP20_MOM_top4_monthly__always_on,0.09952869445028867,0.019146929142467517,0.7355194816531668,0.3929368555664698,0.6634247813954505,-0.9071446490491513,0.021106809330283655,0.4426229508196721,12.922084388103594,1.1341372791481452,3.7787513691128147
TOP20_EQ__bull_only,0.45416071095321064,0.07771684371299958,0.38441263381898216,0.38854900916720875,0.5731357946108465,-0.537865221389413,0.14449129748943704,0.16393442622950818,4.063684779926271,0.7819060493303869,4.9868565169769985
BTC_BH__always_on,0.3089050142272842,0.05528270717469019,0.5594132703292766,0.37666419610649715,0.6184593083384368,-0.7666855566184848,0.0721061022963809,0.5245901639344263,0.19989047097480833,1.0,0.9950711938663745
TOP20_MOM_top8_biweekly__always_on,0.07094360960963897,0.013794802673244844,0.7052606208529482,0.3739617529357566,0.6098042968195486,-0.8683703904571783,0.015885851043334374,0.45901639344262296,18.05007110363785,0.7282242561918407,7.282584884994524
TOP20_MOM_top8_monthly__always_on,0.010072735147250045,0.0020053790022780404,0.6898469911517758,0.3493580474579022,0.5704854172625113,-0.8745658690593936,0.0022929993877246206,0.45901639344262296,10.482377037783799,0.9200105970196211,7.254107338444688
TOP20_MOM_top6_monthly__always_on,-0.008685864702382862,-0.001742286282157668,0.6990913850104047,0.34830878723058273,0.5725106071704061,-0.8693036049687304,-0.0020042322063306517,0.47540983606557374,11.728274552190527,1.0293597371929777,5.566812705366922
TOP20_EQ__always_on,-0.03230213231873058,-0.006541983133883544,0.7072381559442538,0.3472366337004555,0.5600870453849063,-0.8500167279237673,-0.007696299283265698,0.4426229508196721,6.189802067612428,0.5432626087700213,13.42223439211391
ETH_BH__always_on,-0.1706162440358403,-0.03670345271378195,0.7596740696091059,0.3310356917228525,0.5514468702459474,-0.7933036373122264,-0.04626658821096051,0.47540983606557374,0.19989047097480833,1.0,0.9950711938663745
TOP20_SECTOR_top3_monthly__bull_only,0.21656888553240794,0.039963306229997775,0.40853287750241635,0.2994121261406306,0.46129618358018326,-0.5215677368338874,0.0766215074432903,0.16393442622950818,6.069751396097648,1.1678994783218448,1.462212486308872
TOP20_MOM_top6_monthly__bull_only,0.15314362496585487,0.028892265357776337,0.4028213649075689,0.2727070583423058,0.4128955516151501,-0.4816984147094018,0.059979988464787484,0.14754098360655737,5.345780510399085,1.0285980202306353,1.8926615553121577
TOP20_SECTOR_top4_monthly__always_on,-0.22031773379082664,-0.048529408562898,0.6659803543460714,0.26003717961319983,0.42109167270929704,-0.8474362368507425,-0.05726614753133975,0.4262295081967213,12.234036654524735,1.0737491435309858,5.286418400876232
TOP20_SECTOR_top2_biweekly__bull_only,0.0761565085890572,0.014779291515782278,0.454625929947302,0.2596833719102184,0.3989582090613424,-0.6672016935856979,0.022151160073282952,0.19672131147540983,12.214587463239768,1.1751231142189575,1.0580503833515882
TOP20_SECTOR_top3_monthly__always_on,-0.3537621005181507,-0.0835700956330524,0.6987979545388195,0.2253329129247382,0.36906271574141425,-0.901786245814554,-0.09267173459445066,0.47540983606557374,13.084908085185567,1.1484278857749988,4.150054764512596
TOP20_SECTOR_top4_monthly__bull_only,0.04625540017517382,0.00907951924752326,0.3765107611746743,0.21302790311482325,0.31662237200563964,-0.5065995478376695,0.01792247799327414,0.14754098360655737,5.368489475110255,1.0329675217651555,1.8603504928806134
TOP20_SECTOR_top4_biweekly__always_on,-0.43068351876909305,-0.10649384782861404,0.6767043290185771,0.17420672498936046,0.28137033616134416,-0.8445294885030226,-0.1260984362042592,0.5081967213114754,22.83668556969902,0.9213386621800796,5.48302300109529
TOP20_SECTOR_top3_biweekly__always_on,-0.665656281814671,-0.19667598861984847,0.6797808426821258,0.01968107175065649,0.031844324136707375,-0.8829144521700556,-0.22275769542162538,0.4426229508196721,25.166448045277413,1.0153321725734987,4.161555312157722
TOP20_SECTOR_top2_monthly__always_on,-0.7227289144215943,-0.2261764641186298,0.729751829473821,0.01347178515172202,0.021897578629273277,-0.9037820218348971,-0.2502555468623249,0.4262295081967213,14.569709815853669,1.2787450191660081,2.6982475355969333
TOP20_SECTOR_top2_monthly__bull_only,-0.4160002844052829,-0.10193429564178769,0.40588020410786413,-0.060255496572735594,-0.0871421746412658,-0.5856439339086237,-0.17405506953939046,0.14754098360655737,6.5820083739079775,1.2664644141997858,0.9151150054764513
TOP20_SECTOR_top2_biweekly__always_on,-0.7979147602840583,-0.27358804521571367,0.7326970417920529,-0.06777081491235619,-0.10969361169785952,-0.9219519348661047,-0.29674870768121653,0.3770491803278688,28.99779003789115,1.1699064208835448,2.7787513691128147
