,BTC_BH__always_on,ETH_BH__always_on,TOP20_EQ__always_on,TOP20_MOM_top4_monthly__always_on,TOP20_MOM_top4_biweekly__always_on,TOP20_MOM_top6_monthly__always_on,TOP20_MOM_top6_biweekly__always_on,TOP20_MOM_top8_monthly__always_on,TOP20_MOM_top8_biweekly__always_on,TOP20_SECTOR_top2_monthly__always_on,TOP20_SECTOR_top2_biweekly__always_on,TOP20_SECTOR_top3_monthly__always_on,TOP20_SECTOR_top3_biweekly__always_on,TOP20_SECTOR_top4_monthly__always_on,TOP20_SECTOR_top4_biweekly__always_on,BTC_BH__bull_only,ETH_BH__bull_only,TOP20_EQ__bull_only,TOP20_MOM_top4_monthly__bull_only,TOP20_MOM_top4_biweekly__bull_only,TOP20_MOM_top6_monthly__bull_only,TOP20_MOM_top6_biweekly__bull_only,TOP20_MOM_top8_monthly__bull_only,TOP20_MOM_top8_biweekly__bull_only,TOP20_SECTOR_top2_monthly__bull_only,TOP20_SECTOR_top2_biweekly__bull_only,TOP20_SECTOR_top3_monthly__bull_only,TOP20_SECTOR_top3_biweekly__bull_only,TOP20_SECTOR_top4_monthly__bull_only,TOP20_SECTOR_top4_biweekly__bull_only
2022-06-01,51473.41715783996,65339.023617054874,44848.24448648295,66219.14817990991,112943.531634742,53096.83018236869,84284.46016542542,45165.21553265326,73198.76164257005,44812.830878614404,35824.69217013079,46867.30299642235,50758.849992667936,44228.468039367435,54830.47888631,76196.55106829798,88956.78578741512,63731.62423466327,59792.82456006686,77784.41035029366,63434.32044774416,82732.46322027856,63300.60901555851,79994.67654645012,47807.58834691195,71150.87466688738,55098.79502716023,79823.21120794491,62177.11991708639,82142.12544704217
2022-06-02,52596.638593773394,65908.49579965117,46125.315277810616,68223.86114162268,115222.01715767184,54832.77953727376,86772.52876262071,46442.69436893688,75400.65924378113,45919.238843126026,36709.00263633598,48336.06756967163,51985.40246841798,45664.499935127074,56180.12747483717,76196.55106829798,88956.78578741512,63731.62423466327,59792.82456006686,77784.41035029366,63434.32044774416,82732.46322027856,63300.60901555851,79994.67654645012,47807.58834691195,71150.87466688738,55098.79502716023,79823.21120794491,62177.11991708639,82142.12544704217
2022-06-03,51284.592238958634,63763.268202711726,44220.3797541079,65781.4155653668,110870.27509918001,52984.30971652064,81774.0883700809,44904.11507609718,71297.79915657674,44591.035816628406,35647.483107401546,46848.79515318059,50175.22662262936,44124.12270458288,53989.122203765844,76196.55106829798,88956.78578741512,63731.62423466327,59792.82456006686,77784.41035029366,63434.32044774416,82732.46322027856,63300.60901555851,79994.67654645012,47807.58834691195,71150.87466688738,55098.79502716023,79823.21120794491,62177.11991708639,82142.12544704217
2022-06-04,51570.006771359964,64843.97109468424,44995.772340118194,66078.50671840408,111390.16735715799,53064.70039417134,82016.36744510778,45163.27957103034,71577.83717381573,44936.24271636338,35923.294114793025,47049.21158935246,50461.7292599056,44280.02783723461,55306.906029227655,76196.55106829798,88956.78578741512,63731.62423466327,59792.82456006686,77784.41035029366,63434.32044774416,82732.46322027856,63300.60901555851,79994.67654645012,47807.58834691195,71150.87466688738,55098.79502716023,79823.21120794491,62177.11991708639,82142.12544704217
2022-06-05,51660.58329266084,64881.72019769724,44853.04728384765,66203.30485484735,111589.37639577266,52988.14782863603,81515.30531922751,45059.1555215256,71224.69991772846,44792.88561355261,35809.05222201362,46482.70000222898,50467.83221583592,43955.630610481334,55764.07157329992,76196.55106829798,88956.78578741512,63731.62423466327,59792.82456006686,77784.41035029366,63434.32044774416,82732.46322027856,63300.60901555851,79994.67654645012,47807.58834691195,71150.87466688738,55098.79502716023,79823.21120794491,62177.11991708639,82142.12544704217
2022-06-06,54176.198436337116,66818.06942463134,46483.11391817041,68016.458778911,114707.385359172,54687.72687803708,83867.36271301175,46412.00324454883,73081.6582166356,45599.25259957301,36455.93999969183,47373.36709930817,51711.26186270997,44992.23074993836,57422.264855429836,76196.55106829798,88956.78578741512,63731.62423466327,59792.82456006686,77784.41035029366,63434.32044774416,82732.46322027856,63300.60901555851,79994.67654645012,47807.58834691195,71150.87466688738,55098.79502716023,79823.21120794491,62177.11991708639,82142.12544704217
2022-06-07,53757.99478409657,65169.33241112971,45544.19304440011,67818.66208438297,114375.25086534914,53430.537374705214,82190.84336573957,45317.93306201461,71838.68135035425,45070.09304692238,36033.18315646447,46021.36350713078,51411.99821620224,44098.93662708936,58604.7583208886,76196.55106829798,88956.78578741512,63731.62423466327,59792.82456006686,77784.41035029366,63434.32044774416,82732.46322027856,63300.60901555851,79994.67654645012,47807.58834691195,71150.87466688738,55098.79502716023,79823.21120794491,62177.11991708639,82142.12544704217
2022-06-08,52164.04153400831,64390.262827994506,45081.860523513984,67702.69238308405,114225.79052055538,53024.82217754119,81448.94291482298,44915.78777620661,70972.7757471751,44237.66911584417,35366.8143171793,45028.37120971757,51052.87307309927,43562.04063627959,58304.12912972079,76196.55106829798,88956.78578741512,63731.62423466327,59792.82456006686,77784.41035029366,63434.32044774416,82732.46322027856,63300.60901555851,79994.67654645012,47807.58834691195,71150.87466688738,55098.79502716023,79823.21120794491,62177.11991708639,82142.12544704217
2022-06-09,51980.31392031274,64270.903759420034,45483.78346098541,67539.40411127383,113934.54767498105,53117.202184511305,81118.76463907753,44969.771635903424,70970.23861513878,44247.91954387928,35374.73153465659,44940.98037441732,50968.945715419046,43443.167033065605,59337.467138899636,76196.55106829798,88956.78578741512,63731.62423466327,59792.82456006686,77784.41035029366,63434.32044774416,82732.46322027856,63300.60901555851,79994.67654645012,47807.58834691195,71150.87466688738,55098.79502716023,79823.21120794491,62177.11991708639,82142.12544704217
2022-06-10,50225.527732363276,59719.080966584406,42439.7887196289,64706.855624383265,109099.66320521326,50119.25889513705,77223.90314555014,42384.19426407765,67448.74453251313,43218.57994313541,34551.0351852383,43073.90957699969,49125.41132641523,41429.983501184135,55444.74004815491,76196.55106829798,88956.78578741512,63731.62423466327,59792.82456006686,77784.41035029366,63434.32044774416,82732.46322027856,63300.60901555851,79994.67654645012,47807.58834691195,71150.87466688738,55098.79502716023,79823.21120794491,62177.11991708639,82142.12544704217
