,BTC_BH__always_on,ETH_BH__always_on,TOP20_EQ__always_on,TOP20_MOM_top4_monthly__always_on,TOP20_MOM_top4_biweekly__always_on,TOP20_MOM_top6_monthly__always_on,TOP20_MOM_top6_biweekly__always_on,TOP20_MOM_top8_monthly__always_on,TOP20_MOM_top8_biweekly__always_on,TOP20_SECTOR_top2_monthly__always_on,TOP20_SECTOR_top2_biweekly__always_on,TOP20_SECTOR_top3_monthly__always_on,TOP20_SECTOR_top3_biweekly__always_on,TOP20_SECTOR_top4_monthly__always_on,TOP20_SECTOR_top4_biweekly__always_on,BTC_BH__bull_only,ETH_BH__bull_only,TOP20_EQ__bull_only,TOP20_MOM_top4_monthly__bull_only,TOP20_MOM_top4_biweekly__bull_only,TOP20_MOM_top6_monthly__bull_only,TOP20_MOM_top6_biweekly__bull_only,TOP20_MOM_top8_monthly__bull_only,TOP20_MOM_top8_biweekly__bull_only,TOP20_SECTOR_top2_monthly__bull_only,TOP20_SECTOR_top2_biweekly__bull_only,TOP20_SECTOR_top3_monthly__bull_only,TOP20_SECTOR_top3_biweekly__bull_only,TOP20_SECTOR_top4_monthly__bull_only,TOP20_SECTOR_top4_biweekly__bull_only
2021-09-08,-0.21834062765245044,-0.162356810163667,-0.13659384303494682,-0.07262334602355602,-0.052621644927052014,-0.10919671415806265,-0.09106530975190896,-0.11865250829379292,-0.10885371205148742,-0.1073375689627094,-0.08325185741523689,-0.11917950145372891,-0.09655535820621086,-0.1400674475662208,-0.11230421087962039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-09,-0.212921845175171,-0.18041560356341146,-0.1129634086104061,-0.042149842678784966,-0.043417572657071024,-0.08788254237147208,-0.07240184144854811,-0.10402361724788867,-0.09331505468190926,-0.09076241074663272,-0.07006748929536277,-0.10427483346822797,-0.08533998292550105,-0.12475751365883325,-0.1026578629321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-10,-0.23904448236800413,-0.23183469681811086,-0.1517613986095122,-0.02708789519944177,-0.031212277987036186,-0.08747243188023635,-0.07997623054694991,-0.11413446501048263,-0.10467069391624839,-0.098362549261098,-0.10816477472840025,-0.11052247514784908,-0.12195596828164279,-0.14310061395617912,-0.13752556024217277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-11,-0.2337339398162258,-0.21818708383397012,-0.12613011366685944,0.0,-0.009837220657742618,-0.03263067301460454,-0.028712375252277877,-0.06867744464535663,-0.05554533837235731,-0.06866704319818151,-0.1263863829794939,-0.07574876424501853,-0.10892531903514491,-0.11080016995385344,-0.12642661167940406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-12,-0.21874321909949423,-0.18494406441328748,-0.08545199419703375,0.0,0.0,-0.0064427402043590876,0.0,-0.04048130855301646,0.0,-0.05186061605035164,-0.10863930160940838,-0.057647703289421925,-0.06417712364580352,-0.08890448110259641,-0.08923478100361981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-13,-0.23725530015117924,-0.21364665559284135,-0.13800598899498429,-0.05622765044433409,-0.07904364090973082,-0.05967551932545012,-0.0585843107428079,-0.08905857755583835,-0.05322533113052974,-0.10058393994648651,-0.1678317014316999,-0.10996476299559144,-0.1068261988711201,-0.14475067849253265,-0.1258828818835933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-14,-0.20043251859885913,-0.17758890574961417,-0.11779216184986097,-0.06833553427461758,-0.1045712476581796,-0.05984189564386144,-0.06413521474732187,-0.07340157438053929,-0.04443608045979186,-0.0985172247969166,-0.13207234240064636,-0.11074432948936874,-0.06730114891423289,-0.13945596105800295,-0.08632855624106184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-15,-0.1831372036062554,-0.13470495593606613,-0.08806326650321794,-0.03557557999927341,-0.0562260666273402,-0.027917937735948972,-0.004034790028535684,-0.036451217926976365,-0.0003568356717994492,-0.056126147279866756,-0.10414833309261784,-0.07107559368993221,-0.023269131102034546,-0.09717865599081954,-0.049008633547883984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-16,-0.18965161843288558,-0.14570538197519456,-0.0998804989763653,-0.011722671790543981,-0.019386858974241306,-0.016129499274677883,0.0,-0.033350570302591254,-0.0022522028287452756,-0.0412802215168343,-0.13610706883762969,-0.059325456689612865,-0.06112422713763144,-0.096840052294341,-0.07871823002170808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-17,-0.19756585712363706,-0.18649982527608822,-0.12789408274854674,-0.02800554058813043,-0.03246089123708307,-0.03646714655749683,-0.03613918966963703,-0.061632080610024564,-0.04148297217580876,-0.06179443685394226,-0.16637290068232646,-0.07577729014450696,-0.1082583459550317,-0.1119779822503365,-0.11565423078771075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-18,-0.18035469103863278,-0.17765831661887754,-0.10493162773718423,0.0,0.0,0.0,0.0,-0.03129475334097953,-0.004997104816784503,-0.0336711004111091,-0.11958878176305399,-0.04618568380137378,-0.07433542485130307,-0.09033689470426476,-0.08579755870681216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-19,-0.19835000279082515,-0.2032469925945789,-0.1328065836800265,-0.036346964022563766,-0.0003047507842193209,-0.030988540933682307,-0.020543819054259616,-0.06091924833521489,-0.027168043346227244,-0.05277589431067742,-0.12684164995461444,-0.07339088396789295,-0.09805188498960749,-0.1140058417562787,-0.10836616071965233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-20,-0.27174786951422447,-0.2899722835218601,-0.2470452432966842,-0.1824718990149573,-0.18173343987438673,-0.16899296607793435,-0.17898064577968031,-0.18996719733323075,-0.1810476007876337,-0.17832282778142405,-0.26657638746281187,-0.20486744203632012,-0.23399196854230253,-0.23683009260897736,-0.22926999241113855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-21,-0.3093412243292809,-0.3393521333071652,-0.28692764500701085,-0.20522992177493027,-0.21368666721120766,-0.19756321997930326,-0.22127748108740108,-0.22516697777724282,-0.22440100405422925,-0.20776192599381027,-0.3287396290320962,-0.2328038027616729,-0.2969792593030405,-0.26790917376164713,-0.2863093379597157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-22,-0.26070858469850455,-0.2630767684214059,-0.18632105208513305,-0.04041503354831355,-0.04876949861253976,-0.048364618184289276,-0.067751225777397,-0.09051757613569211,-0.07574316650968049,-0.08367921075679918,-0.23401854857810112,-0.09788436377534582,-0.18844182493319428,-0.1519016321776595,-0.19261128476930722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-23,-0.238352798706142,-0.24494856415239818,-0.1670787618919246,-0.009772295327476477,0.0,-0.024268961048554027,-0.014351503769098106,-0.07013887885933012,-0.028823627377272842,-0.06747394727901024,-0.1905335086046187,-0.08220028341957042,-0.15270155070308145,-0.1414733065474928,-0.15995474596038406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-24,-0.2730550617179637,-0.2985050334847612,-0.22906833445905195,-0.06700227339889109,-0.0913992969680355,-0.08252750912930673,-0.06815998984391924,-0.1287642392111812,-0.08065650226768328,-0.13099914945444324,-0.25549736461058903,-0.14412219853723518,-0.21558390700857644,-0.2067885009243069,-0.21629903599874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-25,-0.2752011981718643,-0.29982623347901693,-0.2410796910745031,-0.0962889031174422,-0.1260159256833926,-0.10644898328025942,-0.0990668727456786,-0.1480414161316378,-0.1060331462328874,-0.1549927790628005,-0.23681726501868383,-0.16831912510241076,-0.21573731566964227,-0.22951771471127635,-0.21700425766050357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-26,-0.26705979136160496,-0.2665880010148354,-0.24075814185601319,-0.11647416623375761,-0.1341472261164811,-0.12285212244711363,-0.11561063287575757,-0.13911174431046525,-0.12669153731572957,-0.1677656052740405,-0.23703983736719658,-0.17533837435215882,-0.21988173646995457,-0.24197188150650784,-0.21784464716555008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-27,-0.2842675643454965,-0.2992541921771563,-0.2639207573904695,-0.12997367803186333,-0.1594116528794408,-0.13808529234991618,-0.1514562830210887,-0.16147145801030127,-0.16129151391642826,-0.17963491644187002,-0.27294137050940814,-0.18983908625357115,-0.24659147273872162,-0.24975290722140742,-0.24245190124454674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-28,-0.30345080079731035,-0.32804534205197733,-0.29212831533277805,-0.17532881693241653,-0.208873773355282,-0.17617874431207126,-0.2058866212474979,-0.19206940456503174,-0.21144003298036618,-0.2038869975439922,-0.3048725279463713,-0.22204696713214733,-0.2798389169819947,-0.28222688712839916,-0.27246625282457937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
