strategy,total_return,cagr,annualized_volatility,sharpe,sortino,max_drawdown,calmar,monthly_win_rate,annualized_turnover,avg_turnover_per_rebalance,average_holdings,variant,cagr_delta_vs_best_baseline,sharpe_delta_vs_best_baseline,drawdown_improvement_vs_best_baseline
SECTOR_V2B_top3_biweekly__bull_only__BTC_LT_21D,1.304285550827419,0.18159202490753867,0.3516264393822679,0.6492649379160091,1.0426176737894568,-0.598592056111134,0.3033652435805538,0.18032786885245902,8.958084126619452,0.9958880739852127,0.8220153340635268,BTC_LT_21D,0.06690219310439205,0.18116116329593496,0.027147128822855415
TOP20_SECTOR_top4_biweekly__bull_only__BTC_LT_21D,1.151806725299922,0.16553199676804864,0.3195747464126631,0.6398351745108422,0.9770983343365853,-0.605139691878939,0.27354344623152577,0.19672131147540983,8.796411037749184,0.9779145543336382,1.0930996714129244,BTC_LT_21D,0.050842164964902015,0.17173139989076797,0.020599493055050377
TOP20_SECTOR_top4_biweekly__bull_only,0.7214697147867235,0.11468983180314662,0.4257619155904642,0.4681037746200742,0.7228421878468427,-0.6257391849339894,0.1832869581521341,0.21311475409836064,9.708311655558823,0.9340030075369026,2.108433734939759,BASELINE,0.0,0.0,0.0
SECTOR_V2B_top3_biweekly__bull_only,0.6955164375461995,0.11131016212550549,0.4612549731210246,0.45868153978915044,0.7236689003031227,-0.6807236963036476,0.16351738999233226,0.22950819672131148,10.551982867500955,1.0151696899924525,1.5717415115005477,V2B,-0.0033796696776411395,-0.009422234830923748,-0.05498451136965821
SECTOR_V2A_top3_biweekly__bull_only,0.5719023579591889,0.09462055407546721,0.4280281477385733,0.42537774760816266,0.6589730225814624,-0.6426173444438938,0.1472424529053906,0.19672131147540983,9.39411596118291,0.9037753290368808,1.5717415115005477,V2A,-0.020069277727679413,-0.04272602701191153,-0.016878159509904456
TOP20_SECTOR_top3_biweekly__bull_only,0.5278354142095201,0.08841658987360868,0.42522921997950386,0.41206323708187204,0.635439105232428,-0.6151969196950644,0.14372079417665853,0.19672131147540983,10.874003025356554,1.046150132997949,1.5870755750273822,BASELINE,-0.02627324192953795,-0.05604053753820215,0.010542265238924986
SECTOR_V2C_top3_biweekly__bull_only,0.4171879652772821,0.07218297146957986,0.527899219851581,0.3918287067312137,0.6452715135911288,-0.7251162847872116,0.09954675268500177,0.21311475409836064,10.79991466962266,1.0390223491428332,1.0350492880613362,V2C,-0.042506860333566765,-0.07627506788886046,-0.09937709985322218
