rebalance_date,sector,coin_id,coin_rank_in_sector,coin_score,coin_weight
2023-12-14,Smart Contract Platform / L1,immutable-x,2,2.0712391564136245,0.25
2023-12-14,Oracle / Middleware,chainlink,1,0.6537987345329064,0.3
2023-12-14,Store of Value,bitcoin,1,0.40366006015584144,0.2
2023-12-28,Smart Contract Platform / L1,avalanche-2,1,1.8801092698335224,0.25
2023-12-28,Smart Contract Platform / L1,solana,2,1.8102033005420028,0.25
2023-12-28,DeFi,uniswap,1,0.5535713885938556,0.15
2023-12-28,DeFi,aave,2,0.3953669467384624,0.15
2023-12-28,Oracle / Middleware,chainlink,1,0.38765548617091017,0.2
2024-01-11,Smart Contract Platform / L1,internet-computer,1,1.8756853788516246,0.25
2024-01-11,Smart Contract Platform / L1,injective-protocol,2,1.4478876923210766,0.25
2024-01-11,Store of Value,ethereum-classic,1,0.5710171781936589,0.15
2024-01-11,Store of Value,bitcoin,2,0.2789730413523528,0.15
2024-01-11,Oracle / Middleware,chainlink,1,0.2124989851751621,0.2
2024-01-25,Smart Contract Platform / L1,sui,1,0.7713800143162428,0.25
2024-01-25,Smart Contract Platform / L1,arbitrum,2,0.5318056976152267,0.25
2024-01-25,Store of Value,bitcoin,1,0.025175701204802302,0.3
2024-01-25,Payments,ripple,1,-0.14809842821788485,0.2
2024-02-08,Smart Contract Platform / L1,sui,1,1.1176023772799475,0.25
2024-02-08,Smart Contract Platform / L1,arbitrum,2,0.30655050344800394,0.25
2024-02-08,Exchange / Trading Infrastructure,binancecoin,1,0.18339927937321887,0.3
2024-02-08,Oracle / Middleware,chainlink,1,0.23284284772276434,0.2
2024-02-22,Exchange / Trading Infrastructure,binancecoin,1,0.4020003493620518,0.5
2024-02-22,Oracle / Middleware,the-graph,1,0.7006894694334658,0.15
2024-02-22,Oracle / Middleware,filecoin,2,0.5992814876513262,0.15
2024-02-22,Smart Contract Platform / L1,sui,1,0.9936796663279308,0.1
2024-02-22,Smart Contract Platform / L1,immutable-x,2,0.7294382731409179,0.1
2024-03-07,Meme,shiba-inu,1,2.445508862470786,0.25
2024-03-07,Meme,dogecoin,2,0.9205564566650855,0.25
2024-03-07,Oracle / Middleware,filecoin,1,0.890176620922452,0.15
2024-03-07,Oracle / Middleware,chainlink,2,0.24651501042622806,0.15
2024-03-07,Exchange / Trading Infrastructure,binancecoin,1,0.6536479626500813,0.2
2024-03-21,Meme,shiba-inu,1,1.7667019632758392,0.25
2024-03-21,Meme,dogecoin,2,0.7748196076180646,0.25
2024-03-21,Exchange / Trading Infrastructure,binancecoin,1,0.7102359918540367,0.3
2024-03-21,Smart Contract Platform / L1,near,1,0.9934600025049123,0.1
2024-03-21,Smart Contract Platform / L1,the-open-network,2,0.8255208647152973,0.1
