rebalance_date,sector,sector_score,sector_weight,sector_rank,sector_ret_30,sector_ret_60,sector_ret_90,sector_rel_btc_60,breadth_positive_30,breadth_above_ma20,leader_momentum,top2_momentum,member_count
2023-01-26,Oracle / Middleware,0.5599999999999999,0.3333333333333333,3.0,0.2154967785690065,0.0397389412617839,0.007872908758610908,-0.3614748799303942,1.0,1.0,0.1212446534147606,0.1212446534147606,1.0
2023-02-09,CASH,0.0,1.0,,,,,,,,,,
2023-02-23,CASH,0.0,1.0,,,,,,,,,,
2023-03-09,Smart Contract Platform / L1,0.90625,0.3333333333333333,1.0,-0.22657190823957973,0.27663847856713775,0.3678082381246222,0.08648271030376031,0.0,0.0,0.3000514924400185,0.14617788283383656,4.0
2023-03-09,Store of Value,0.71875,0.3333333333333333,2.0,-0.12395507117858595,0.19015576826337743,0.18938859159740407,0.0,0.0,0.0,0.03294691320920107,0.03294691320920107,1.0
2023-03-09,Meme,0.45625000000000004,0.3333333333333333,3.0,-0.2934665226781857,0.032028630968560345,-0.11191019267022606,-0.1581271372948171,0.0,0.0,-0.08134490238611707,-0.15950671058256996,2.0
2023-03-23,Store of Value,0.8687500000000001,0.3333333333333333,1.0,0.15930962557002926,0.2478852070813149,0.6891574205781905,0.0,1.0,1.0,0.2918518590250472,0.2918518590250472,1.0
2023-03-23,Smart Contract Platform / L1,0.775,0.3333333333333333,2.0,0.02145351190741209,0.1954541595709281,1.045031218706041,-0.0524310475103868,0.4,1.0,0.7002540680662808,0.5284078575694393,5.0
2023-03-23,Payments,0.5687500000000001,0.3333333333333333,3.0,0.0675962873358642,0.09082699738927202,0.34090624884212073,-0.15705820969204287,1.0,1.0,0.15135247771766003,0.12922749265313785,2.0
2023-04-06,CASH,0.0,1.0,,,,,,,,,,
2023-04-20,CASH,0.0,1.0,,,,,,,,,,
2023-05-04,CASH,0.0,1.0,,,,,,,,,,
2023-05-18,CASH,0.0,1.0,,,,,,,,,,
2023-06-01,CASH,0.0,1.0,,,,,,,,,,
2023-06-15,CASH,0.0,1.0,,,,,,,,,,
2023-06-29,CASH,0.0,1.0,,,,,,,,,,
2023-07-13,CASH,0.0,1.0,,,,,,,,,,
2023-07-27,CASH,0.0,1.0,,,,,,,,,,
2023-08-10,CASH,0.0,1.0,,,,,,,,,,
2023-08-24,CASH,0.0,1.0,,,,,,,,,,
2023-09-07,CASH,0.0,1.0,,,,,,,,,,
2023-09-21,CASH,0.0,1.0,,,,,,,,,,
2023-10-05,CASH,0.0,1.0,,,,,,,,,,
2023-10-19,CASH,0.0,1.0,,,,,,,,,,
2023-11-02,Oracle / Middleware,0.8800000000000001,0.3333333333333333,1.0,0.48603050344176,0.825870646766169,0.5435300714986682,0.4802677771447357,1.0,1.0,0.5994824600504642,0.5994824600504642,1.0
2023-11-02,Store of Value,0.73,0.3333333333333333,2.0,0.274110729434103,0.3456028696214333,0.20182051968962655,0.0,1.0,1.0,0.2811003295414068,0.2811003295414068,1.0
2023-11-02,Smart Contract Platform / L1,0.64,0.3333333333333333,3.0,0.19876929987116373,0.24819075918141884,0.050110646314012665,-0.09741211044001444,1.0,1.0,0.8229442478984247,0.5205055149222142,6.0
2023-11-16,Oracle / Middleware,0.8899999999999999,0.3333333333333333,1.0,0.8935153583617745,1.254917899528532,1.2468815810788918,0.892001665026144,1.0,1.0,1.072609365255225,1.072609365255225,1.0
2023-11-16,Smart Contract Platform / L1,0.7799999999999999,0.3333333333333333,2.0,0.7530871544403163,0.7853473518373371,0.582801248549384,0.4224311173349491,1.0,1.0,1.669076645186424,1.4889758414249987,8.0
2023-11-16,Store of Value,0.6099999999999999,0.3333333333333333,3.0,0.27290064647480095,0.36291623450238797,0.3882092262902168,0.0,1.0,1.0,0.32296703884616024,0.32296703884616024,1.0
2023-11-30,Oracle / Middleware,0.8500000000000001,0.3333333333333333,1.0,0.26848591549295775,0.7909520258513549,1.4263343997305942,0.44320277072954695,1.0,0.0,0.6567954454480042,0.6567954454480042,1.0
2023-11-30,Smart Contract Platform / L1,0.7699999999999999,0.3333333333333333,2.0,0.36165067223780084,0.5439707119365491,0.6848931623264188,0.19622145681474112,1.0,0.6666666666666666,1.1302849022083161,1.081335229260329,6.0
2023-11-30,Store of Value,0.61,0.3333333333333333,3.0,0.08863390649070202,0.347749255121808,0.4624554097304563,0.0,1.0,1.0,0.24113281172798465,0.24113281172798465,1.0
2023-12-14,Smart Contract Platform / L1,0.9,0.3333333333333333,1.0,0.5602804786458666,1.757682436510703,1.7905222203706859,1.1743601110941164,1.0,1.0,2.270368007221566,2.1708035818175953,9.0
2023-12-14,Oracle / Middleware,0.75,0.3333333333333333,2.0,0.1010752688172043,1.0692442408729623,1.4124391393120779,0.48592191545637564,1.0,1.0,0.6537987345329064,0.6537987345329064,1.0
2023-12-14,Store of Value,0.5800000000000001,0.3333333333333333,3.0,0.21038355656530405,0.5833223254165867,0.6173579212410669,0.0,1.0,1.0,0.40366006015584144,0.40366006015584144,1.0
2023-12-28,Smart Contract Platform / L1,0.8785714285714286,0.3333333333333333,1.0,0.7128102613663768,1.3819228738998677,2.0050686602412116,1.1487254977598047,1.0,0.9090909090909091,1.8801092698335224,1.8451562851877625,11.0
2023-12-28,DeFi,0.7785714285714286,0.3333333333333333,2.0,0.2470903929306757,0.6447305168023179,0.7875240808006289,0.4115331406622549,1.0,1.0,0.5535713885938556,0.474469167666159,2.0
2023-12-28,Oracle / Middleware,0.7142857142857144,0.3333333333333333,3.0,0.10254645560908471,0.4445446348061317,1.0150943396226415,0.21134725866606874,1.0,1.0,0.38765548617091017,0.38765548617091017,1.0
2024-01-11,Smart Contract Platform / L1,0.91,0.3333333333333333,1.0,0.4526153098954348,0.8951625872222063,2.4066078833017226,0.645069544548791,1.0,0.6363636363636364,1.8756853788516246,1.6617865355863506,11.0
2024-01-11,Store of Value,0.77,0.3333333333333333,2.0,0.28825943606132165,0.3628331614164685,0.8600772165870225,0.11274011874305312,1.0,1.0,0.5710171781936589,0.42499510977300586,2.0
2024-01-11,Oracle / Middleware,0.52,0.3333333333333333,3.0,0.035148173673328786,-0.06359102244389025,1.070011025358324,-0.3136840651173056,1.0,1.0,0.2124989851751621,0.2124989851751621,1.0
2024-01-25,Smart Contract Platform / L1,1.0,0.3333333333333333,1.0,0.05041808608519185,0.5455024096295669,1.1520233923157073,0.4792579865470481,0.4,0.2,0.7713800143162428,0.6515928559657347,5.0
2024-01-25,Store of Value,0.625,0.3333333333333333,2.0,-0.06057719536414807,0.06624442308251877,0.17795485981060355,0.0,0.0,0.0,0.025175701204802302,0.025175701204802302,1.0
2024-01-25,Payments,0.375,0.3333333333333333,3.0,-0.17457000482237583,-0.16626075661633388,-0.05467599410898394,-0.23250517969885265,0.0,0.0,-0.14809842821788485,-0.14809842821788485,1.0
2024-02-08,Smart Contract Platform / L1,0.9099999999999999,0.3333333333333333,1.0,0.13594103799202253,0.36935662355064425,0.8233778835988728,0.33480804387784335,0.8571428571428571,1.0,1.1176023772799475,0.7120764403639757,7.0
2024-02-08,Exchange / Trading Infrastructure,0.7849999999999999,0.3333333333333333,2.0,0.060038520289566355,0.3309151553053993,0.27052736318407966,0.2963665756325984,1.0,1.0,0.18339927937321887,0.18339927937321887,1.0
2024-02-08,Oracle / Middleware,0.635,0.3333333333333333,3.0,0.32798833819241957,0.11301160659743426,0.17472598323662147,0.07846302692463336,1.0,1.0,0.23284284772276434,0.23284284772276434,1.0
2024-02-22,Exchange / Trading Infrastructure,0.8200000000000001,0.3333333333333333,1.0,0.28061890887169705,0.4444696282864913,0.6417500322012795,0.2529319155404144,1.0,1.0,0.4020003493620518,0.4020003493620518,1.0
2024-02-22,Oracle / Middleware,0.6900000000000002,0.3333333333333333,2.0,0.5819250668193956,0.3546330501915709,0.578215740643471,0.16309533744549398,1.0,0.6666666666666666,0.7006894694334658,0.649985478542396,3.0
2024-02-22,Smart Contract Platform / L1,0.6799999999999999,0.3333333333333333,3.0,0.3257118803447449,0.2996625037992156,0.9600471473472848,0.10812479105313871,1.0,0.5714285714285714,0.9936796663279308,0.8615589697344244,7.0
2024-03-07,Meme,0.9041666666666667,0.3333333333333333,1.0,1.7859538418299643,1.7529424100460793,1.3208650781956495,1.2301467137635964,1.0,1.0,2.445508862470786,1.6830326595679357,2.0
2024-03-07,Oracle / Middleware,0.6958333333333333,0.3333333333333333,2.0,0.5298103748181554,0.6477058265272153,0.5456444015354888,0.12491013024473241,1.0,1.0,0.890176620922452,0.5683458156743401,2.0
2024-03-07,Exchange / Trading Infrastructure,0.6541666666666667,0.3333333333333333,3.0,0.5695270181001453,0.5705645161290323,0.9885754938064948,0.04776881984654935,1.0,1.0,0.6536479626500813,0.6536479626500813,1.0
2024-03-21,Meme,0.8958333333333333,0.3333333333333333,1.0,1.2965777250098942,1.3662585761588488,1.0629717504717506,0.7907725966692292,1.0,0.0,1.7667019632758392,1.2707607854469518,2.0
2024-03-21,Exchange / Trading Infrastructure,0.8208333333333334,0.3333333333333333,2.0,0.561421319796954,0.7379076556075206,1.0407651763665178,0.16242167611790093,1.0,1.0,0.7102359918540367,0.7102359918540367,1.0
2024-03-21,Smart Contract Platform / L1,0.575,0.3333333333333333,3.0,0.25622477967962737,0.5074994345276177,0.5051637090308609,-0.06798654496200196,0.7272727272727273,0.45454545454545453,0.9934600025049123,0.9094904336101048,11.0
2024-04-04,Meme,0.7833333333333334,0.3333333333333333,1.0,-0.02028668992222532,1.708850378756309,1.4966406409712065,1.0991850752494672,0.5,0.5,0.8921387177318321,0.8018398968600213,2.0
2024-04-04,Exchange / Trading Infrastructure,0.775,0.3333333333333333,2.0,0.4849429657794675,0.9232739091894022,0.8437352469077515,0.31360860568256044,1.0,1.0,0.6882007050281046,0.6882007050281046,1.0
2024-04-04,Payments,0.675,0.3333333333333333,3.0,0.2862476896022181,0.8266146075373841,0.7662160830301366,0.21694930403054236,1.0,0.6666666666666666,1.2319070399264382,0.7858269589669569,3.0
2024-04-18,Meme,0.855,0.3333333333333333,1.0,0.0500529460706452,1.0636972071993909,1.1953325114718167,0.8455917961785742,0.5,0.0,0.6504250999521055,0.5832021374895031,2.0
2024-04-18,Exchange / Trading Infrastructure,0.7650000000000001,0.3333333333333333,2.0,0.08844918310636363,0.5793251358307119,0.7562007122869496,0.36121972480989517,1.0,0.0,0.3692622747597853,0.3692622747597853,1.0
2024-04-18,Store of Value,0.6150000000000001,0.3333333333333333,3.0,0.025631087904176786,0.2181054110208167,0.5257773665979026,0.0,1.0,0.0,0.18340264057791394,0.18340264057791394,1.0
2024-05-02,Smart Contract Platform / L1,0.8750000000000001,0.3333333333333333,1.0,-0.18434214814248992,-0.062325976070199705,0.1970177404843327,0.0020543358344366283,0.14285714285714285,0.14285714285714285,0.6058172014256875,0.2883467647699594,7.0
2024-05-02,Store of Value,0.65,0.3333333333333333,2.0,-0.09749917553642828,-0.06438031190463633,0.36826100680125906,0.0,0.0,0.0,0.0055885200206467756,0.0055885200206467756,1.0
2024-05-02,Meme,0.6125,0.3333333333333333,3.0,-0.2069754607273086,-0.06464601018086996,1.0892775711537772,-0.00026569827623362796,0.0,0.0,0.23800622223150722,0.0949739808128402,2.0
2024-05-16,Exchange / Trading Infrastructure,0.8208333333333334,0.3333333333333333,1.0,0.05823636566415091,-0.0033960612691467107,0.5787853577371045,0.0421527583293434,1.0,0.0,0.14385643599875234,0.14385643599875234,1.0
2024-05-16,Store of Value,0.7208333333333334,0.3333333333333333,2.0,0.022339783814103287,-0.04554881959849011,0.25089008973362104,0.0,1.0,1.0,0.047683263974228826,0.047683263974228826,1.0
2024-05-16,Meme,0.6916666666666668,0.3333333333333333,3.0,0.02070790073940354,-0.09846131430748928,1.1134662707549914,-0.05291249470899917,0.5,1.0,0.28805164756347823,0.20350881022845324,2.0
2024-05-30,Exchange / Trading Infrastructure,0.8,0.3333333333333333,1.0,-0.14084507042253525,inf,inf,inf,0.0,0.0,inf,inf,1.0
