coin_id,price,market_cap,volume_usd,history_days,symbol,name,sector,rebalance_date,universe_rank
internet-computer,56.6,31238819445.947414,39703653.49,127,ICP,Internet Computer,Smart Contract Platform / L1,2021-08-26,10
avalanche-2,41.37,17835740764.10608,78326722.09,127,AVAX,Avalanche,Smart Contract Platform / L1,2021-08-26,11
chainlink,24.4,17733904719.751865,141578804.55,127,LINK,Chainlink,Oracle / Middleware,2021-08-26,12
uniswap,25.53,16174728792.552397,32399192.31,127,UNI,Uniswap,DeFi,2021-08-26,13
litecoin,167.82,12930611102.71895,64579115.63,127,LTC,Litecoin,Payments,2021-08-26,14
bitcoin-cash,606.35,12141052291.247953,43267664.08,127,BCH,Bitcoin Cash,Payments,2021-08-26,15
stellar,0.3352,11116796368.031609,61163129.24,127,XLM,Stellar,Payments,2021-08-26,16
vechain,0.116,9974209011.062426,32420278.63,127,VET,VeChain,Payments,2021-08-26,17
ethereum-classic,59.81,9359946745.554928,25570262.01,127,ETC,Ethereum Classic,Store of Value,2021-08-26,18
the-graph,0.8655,9345591135.507053,45323899.77,127,GRT,The Graph,Oracle / Middleware,2021-08-26,19
monero,291.75,5380384384.047358,48795210.01,127,XMR,Monero,Privacy,2021-08-26,20
bitcoin,47159.26,944052247107.4073,1418199668.83,132,BTC,Bitcoin,Store of Value,2021-08-31,1
ethereum,3435.17,414647748752.3278,1922788188.74,132,ETH,Ethereum,Smart Contract Platform / L1,2021-08-31,2
cardano,2.771,102412447680.06372,177694823.06,132,ADA,Cardano,Smart Contract Platform / L1,2021-08-31,3
ripple,1.187,73083576588.91226,151309697.75,132,XRP,XRP,Payments,2021-08-31,4
binancecoin,464.42,62588554209.78887,124588498.48,132,BNB,BNB,Exchange / Trading Infrastructure,2021-08-31,5
solana,108.34,62337072811.75794,717694743.79,132,SOL,Solana,Smart Contract Platform / L1,2021-08-31,6
filecoin,75.95,58733822106.12002,44408476.47,132,FIL,Filecoin,Oracle / Middleware,2021-08-31,7
polkadot,31.36,52726904529.07322,315924766.7,132,DOT,Polkadot,Smart Contract Platform / L1,2021-08-31,8
dogecoin,0.2783,42840560146.09374,101124514.0,132,DOGE,Dogecoin,Meme,2021-08-31,9
internet-computer,63.0,34771124118.280685,27946646.51,132,ICP,Internet Computer,Smart Contract Platform / L1,2021-08-31,10
chainlink,26.74,19434615254.351017,187274305.12,132,LINK,Chainlink,Oracle / Middleware,2021-08-31,11
uniswap,29.44,18651939508.52889,97823441.63,132,UNI,Uniswap,DeFi,2021-08-31,12
avalanche-2,39.51,17033843789.940325,62585166.41,132,AVAX,Avalanche,Smart Contract Platform / L1,2021-08-31,13
litecoin,171.7,13229566954.694576,93154484.62,132,LTC,Litecoin,Payments,2021-08-31,14
bitcoin-cash,636.65,12747754500.244099,66684090.84,132,BCH,Bitcoin Cash,Payments,2021-08-31,15
stellar,0.3406,11295885569.664576,65851783.39,132,XLM,Stellar,Payments,2021-08-31,16
vechain,0.1229,10567502478.099758,46317205.06,132,VET,VeChain,Payments,2021-08-31,17
ethereum-classic,63.95,10007834716.238716,32106450.64,132,ETC,Ethereum Classic,Store of Value,2021-08-31,18
algorand,1.11,9896362708.16278,78198482.5,132,ALGO,Algorand,Smart Contract Platform / L1,2021-08-31,19
the-graph,0.8541,9222494961.105227,28624566.72,132,GRT,The Graph,Oracle / Middleware,2021-08-31,20
bitcoin,46392.85,928709956267.6954,1499767099.51,141,BTC,Bitcoin,Store of Value,2021-09-09,1
ethereum,3424.24,413328425430.96,1646622795.7,141,ETH,Ethereum,Smart Contract Platform / L1,2021-09-09,2
