date,walk_forward_sharpe_switch0bps,walk_forward_sharpe_switch40bps,fixed_equal_weight_candidates,BTC
2023-01-01,0.0408753171054541,0.0408753171054541,0.0016350126842181638,0.004688636133552748
2023-01-02,-0.0210606960834665,-0.0210606960834665,-0.0008424278433386601,0.00381296237878348
2023-01-03,-0.008185460485626,-0.008185460485626,-0.00032741841942504,-0.000516181344295652
2023-01-04,0.007132063687707,0.007132063687707,0.00028528254750828,0.010994169649782615
2023-01-05,-0.0144863552211225,-0.0144863552211225,-0.0005794542088449,-0.0015715613249244198
2023-01-06,0.0029909377850996,0.0029909377850996,0.000189943466626524,0.00684413338723755
2023-01-07,-0.0044051405726963,-0.0044051405726963,-0.00035456471571500004,0.00018333672240578025
2023-01-08,0.0158783072159414,0.0158783072159414,0.001268005163062832,0.008025148611963573
2023-01-09,0.021429507420648,0.021429507420648,0.00171476611775,0.006167498533321769
2023-01-10,-0.0007116681880499,-0.0007116681880499,-5.6933455043992e-05,0.014522586838815466
2023-01-11,0.0141342073448984,0.0141342073448984,0.001130736587591872,0.028522112643937003
2023-01-12,0.0110016762200932,0.0110016762200932,0.000880134097607456,0.05158803538184964
2023-01-13,0.0574766854126924,0.0574766854126924,0.06998702814565554,0.05511442891275986
2023-01-14,0.2154484395797813,0.2154484395797813,0.24805853262410774,0.05357850138673492
2023-01-15,-0.0307611582918633,-0.0307611582918633,-0.035735847302117166,-0.004552785531146242
2023-01-16,0.0167087439576785,0.0167087439576785,0.018793237574642293,0.01383249633874728
2023-01-17,-0.0149413182687884,-0.0149413182687884,-0.01805760404450409,-0.00038326412480793604
2023-01-18,-0.0560181362379765,-0.0560181362379765,-0.05486935705947233,-0.022339534564535524
2023-01-19,0.0169001578720981,0.0169001578720981,0.016478884881335115,0.01923808754978773
2023-01-20,0.1116384285008775,0.1116384285008775,0.11534612345937967,0.07539119064056954
2023-01-21,-0.0238780886666326,-0.0238780886666326,-0.02315956560671682,0.004457205456948943
2023-01-22,-0.0071837071169349,-0.0071837071169349,-0.009915093090293002,-0.0025116832181237836
2023-01-23,0.0058919926322613,0.0058919926322613,0.003458239346218407,0.00941953876273871
2023-01-24,-0.0412412546966737,-0.0412412546966737,-0.04049777534598146,-0.012991913648701114
2023-01-25,0.0471435877741281,0.0471435877741281,0.04788232548331202,0.02126614199835486
2023-01-26,-0.0039145979034134,-0.0039145979034134,-0.0055313935523736354,-0.0036803616064422506
2023-01-27,0.000236712391797,0.000236712391797,0.0010483381558371117,0.0019949952196161025
2023-01-28,-0.0095239651561201,-0.0095239651561201,-0.010350145326534032,-0.0020641564188493833
2023-01-29,0.0507953646533114,0.0507953646533114,0.05398216733811114,0.032281414163845445
2023-01-30,-0.0502999974367424,-0.0502999974367424,-0.05261232996732795,-0.039303641502676956
2023-01-31,-0.0019934505875779,-0.0019934505875779,-0.0016125356467458969,0.013097337268629605
2023-02-01,0.0290891508623656,0.0290891508623656,0.029690940284315417,0.025259456854756834
2023-02-02,-0.019867407310424,-0.019867407310424,-0.020254393815149055,-0.010618009527347483
2023-02-03,0.0028642415327271,0.0028642415327271,0.0038117153697134957,-0.000960674175039089
2023-02-04,-0.011500253090133,-0.011500253090133,-0.011734817494772516,-0.005009717820696147
2023-02-05,-0.0255074670146231,-0.0255074670146231,-0.026806344230009053,-0.016123074979374374
2023-02-06,-0.0269127239842893,-0.0269127239842893,-0.02649158528636128,-0.008518888228211896
2023-02-07,0.0151544629629762,0.0151544629629762,0.015335143340669826,0.022151999296601277
2023-02-08,-0.0440111962411627,-0.0440111962411627,-0.04275915524719573,-0.013965286300207103
2023-02-09,-0.121928735732963,-0.121928735732963,-0.12162434965913929,-0.048839936938460005
2023-02-10,0.0361953415516191,0.0361953415516191,0.03141292362942819,-0.00769310347551222
2023-02-11,0.0057180032956838,0.0057180032956838,0.0061970222076820555,0.010146802286697287
2023-02-12,-0.0098867244740025,-0.0098867244740025,-0.009636071925958004,-0.00377991650227516
2023-02-13,-0.0255564314795165,-0.0255564314795165,-0.025467291674196892,0.0009132366923336743
2023-02-14,0.0483150569182322,0.0483150569182322,0.04756223662983431,0.018924268346738105
2023-02-15,0.0662979932012803,0.0662979932012803,0.0654797222282316,0.0939226668526687
2023-02-16,0.0367953418861677,0.0367953418861677,0.034458977060613745,-0.02815415973923374
2023-02-17,0.1669991969395636,0.1669991969395636,0.16348288087037616,0.039880988247764426
2023-02-18,-0.0630674768080774,-0.0630674768080774,-0.06293695200261515,0.0030805253424341927
2023-02-19,0.0096947561617926,0.0096947561617926,0.009484676614155163,-0.01272804476811551
2023-02-20,0.0099554584852377,0.0099554584852377,0.009779092868236276,0.020614653258309135
2023-02-21,-0.0370188904641693,-0.0370188904641693,-0.037487945577919436,-0.01581983772365181
2023-02-22,0.0212771215541396,0.0212771215541396,0.019919016623422527,-0.010128822940341897
2023-02-23,-0.0058978210744464,-0.0058978210744464,-0.0066164696881381236,-0.009977759322793545
2023-02-24,-0.0566806368536155,-0.0566806368536155,-0.05807804279101621,-0.03129200414480027
2023-02-25,0.0265653907687604,0.0265653907687604,0.02545060814257048,-0.0009807624366484635
2023-02-26,0.0365611887371701,0.0365611887371701,0.03553080400463103,0.016648587756958433
2023-02-27,-0.0156139179988356,-0.0156139179988356,-0.015469017262324596,-0.0016272929817011672
2023-02-28,-0.0053238293913666,-0.0053238293913666,-0.0065460918591054166,-0.01596397438043795
2023-03-01,-0.0074039507970012,-0.0074039507970012,-0.007311431667758484,0.021566029637501982
2023-03-02,-0.011252314176871,-0.011252314176871,-0.011518259634346386,-0.007235015772380615
2023-03-03,-0.0210479723121496,-0.0210479723121496,-0.021162601619020407,-0.04740214191114356
2023-03-04,0.0007575739304852,0.0007575739304852,0.0007451515024976601,-0.0004171797960399459
2023-03-05,0.0025404304150138,0.0025404304150138,0.0023641918638744553,0.003675696160577946
2023-03-06,-0.0026512701247054,-0.0026512701247054,-0.002667762227420777,-0.0002565871045638879
2023-03-07,-0.0411498418303215,-0.0411498418303215,-0.040275089770493676,-0.009362047810472784
2023-03-08,-0.0072440159004395,-0.0072440159004395,-0.00688603466114527,-0.02257850830528163
2023-03-09,-0.0495088606646727,-0.0495088606646727,-0.04685350167203018,-0.06239311805125358
