train_start,train_end,test_start,test_end,selected_candidate,previous_candidate,switched,train_metric,train_primary,train_rebalance_1d,train_rebalance_2d,train_rebalance_5d,train_hold_rank_1,train_hold_rank_3,train_target_vol_0.6,train_target_vol_0.7,train_target_vol_0.9,train_target_vol_1.0,train_btc_ma_50,train_btc_ma_150,train_btc_ma_200,train_no_btc_gate,train_no_vol_target,train_fixed_stop_15,train_fixed_stop_20,train_fixed_stop_25,train_fixed_stop_30,train_fixed_stop_40,train_trailing_stop_15,train_trailing_stop_20,train_trailing_stop_25,train_trailing_stop_30,train_trailing_stop_40,switch_cost_bps
2022-01-01,2022-12-31,2023-01-01,2023-03-31,no_btc_gate,,False,0.048486892845906425,-1.4317605000840112,-1.445346134637234,-1.3708297723284097,-1.5432097473245108,-1.2518890209790112,-1.4547017369102972,-1.4192274086649423,-1.419995316425704,-1.4547181745821347,-1.4901884657503124,-0.4609014198200947,-2.009158950318377,0.0,0.048486892845906425,-1.5420779970968326,-1.451556667909167,-1.4673806727414374,-1.4317605000840112,-1.4317605000840112,-1.4317605000840112,-1.3571147383068254,-1.3928462757706392,-1.4763793662941282,-1.4317605000840112,-1.4317605000840112,0.0
2022-04-01,2023-03-31,2023-04-01,2023-06-29,no_btc_gate,no_btc_gate,False,0.62126580920748,0.23829999734434348,0.058118472200785316,0.16234924585287205,0.2794391820421148,0.129649652071761,0.12474219100347003,0.23951522115192508,0.2376426829860457,0.19959120976729164,0.1838557055066305,0.48886121561457957,0.4152605707267069,0.13391663351655358,0.62126580920748,-0.07319112371941565,0.21548425270087682,0.22711214137308933,0.23829999734434348,0.23829999734434348,0.23829999734434348,0.18675764985035562,0.2042539193168881,0.22421178596416574,0.23829999734434348,0.23829999734434348,0.0
2022-06-30,2023-06-29,2023-06-30,2023-09-27,no_btc_gate,no_btc_gate,False,1.1060305609688585,0.7719309350488485,0.5505238181029989,0.58870311123639,0.9042202337533283,0.4197369921859362,0.7834666521938344,0.7742271624005144,0.7756421208972845,0.758240329308229,0.781409924868273,0.7472615636739443,0.5202805231307418,0.17876484256558603,1.1060305609688585,0.6573840176265966,0.7602164397752419,0.7719309350488485,0.7719309350488485,0.7719309350488485,0.7719309350488485,0.7096663609781219,0.7339457170168873,0.7719309350488485,0.7719309350488485,0.7719309350488485,0.0
2022-09-28,2023-09-27,2023-09-28,2023-12-26,btc_ma_50,no_btc_gate,True,0.8470518003263513,0.4309287511573191,0.28048777659667073,0.31615779029443775,0.5495171797636497,0.09524180566493065,0.4858510584420713,0.3718656460928411,0.3767309790129298,0.41417842303354396,0.43442743247327975,0.8470518003263513,0.11914098832776907,-0.24284904119640818,0.6604221595669367,0.2078116037623092,0.3721791063019945,0.41930330058968235,0.4309287511573191,0.4309287511573191,0.4309287511573191,0.34842789961963855,0.32819759428642653,0.4309287511573191,0.4309287511573191,0.4309287511573191,0.0
2022-12-27,2023-12-26,2023-12-27,2024-03-25,rebalance_5d,btc_ma_50,True,2.44285957651014,2.32486114556822,2.2328298528664807,2.247480103288675,2.44285957651014,1.459050158403009,2.191547731398081,2.301970938922131,2.288705928676092,2.309120093065116,2.31225344573009,2.4074069264463906,1.990799854618171,1.8187023658376225,2.0785360668955204,2.109834206699365,2.0401621515535555,2.3159672669928106,2.32486114556822,2.32486114556822,2.32486114556822,2.018556018642984,2.2422377968615805,2.32486114556822,2.32486114556822,2.32486114556822,0.0
2023-03-27,2024-03-25,2024-03-26,2024-06-23,btc_ma_50,rebalance_5d,True,2.41002120869529,2.352190633376749,2.3924400709598004,2.3007466855498953,2.3979818657447183,1.7738978758497712,2.18270237821388,2.3736695681049973,2.344605599200623,2.330719368175521,2.31992129824849,2.41002120869529,2.113955367427294,2.1750789957439873,2.131706375318653,2.0086537162073945,2.0543856272899887,2.3350419815314556,2.3465855646385196,2.364556612931843,2.352190633376749,2.072599010426152,2.2032824766310273,2.3078939239539933,2.3224669222311167,2.352190633376749,0.0
2023-06-25,2024-06-23,2024-06-24,2024-09-21,btc_ma_50,btc_ma_50,False,2.2939948203968843,1.9637179211869302,2.1254954271369075,2.028684214002861,1.8323057248972974,1.5726650852636677,1.6130974270142535,2.0048615601970448,1.9673227174267842,1.8941998098603183,1.8211408756805199,2.2939948203968843,1.7539016748467116,1.823422706146371,1.7826376249995604,1.2477939657445494,1.6449528850304096,1.9296746092330328,1.9449454393102363,1.9743886336743839,1.9637179211869302,1.724179263104046,1.874671361964345,1.8720277927643993,1.8893193611652939,1.9637179211869302,0.0
2023-09-23,2024-09-21,2024-09-22,2024-12-20,rebalance_1d,btc_ma_50,True,2.040700209006557,1.9481977305333529,2.040700209006557,1.957877894602857,1.8011466383934118,1.4888707842463058,1.5142092051483647,2.025196295590915,2.0014017619812563,1.8805872413232583,1.8139539306712484,1.9760791162118128,1.8854071287099614,1.498687932355099,1.6803460543243491,1.3188310339033984,1.6581097800447664,1.923834994364396,1.9287249079602933,1.9594296752270843,1.9481977305333529,1.7222043428573388,1.9213279927773783,1.8523488492552806,1.8700644104213795,1.9481977305333529,0.0
2023-12-22,2024-12-20,2024-12-21,2025-03-20,hold_rank_1,rebalance_1d,True,1.668558375477421,1.1442080460790711,1.303357997889923,1.1955468654672348,0.842344498884332,1.668558375477421,0.8501382144467904,1.136861142094314,1.1538142505314672,1.1247484300217312,1.116460731553646,1.3312521211247885,1.124765596164014,0.5845878812437924,1.1410095639760238,0.8415267077249057,1.2262868605146608,1.2104238864888652,1.1204640342821512,1.156429489684521,1.1442080460790711,1.1242730935060865,1.1881783522829938,1.1229547135590674,1.057253423935604,1.1442080460790711,0.0
2024-03-21,2025-03-20,2025-03-21,2025-06-18,hold_rank_1,hold_rank_1,False,0.9432850851666056,0.4999547594911355,0.548028496826245,0.49280329047460686,0.2834410973294231,0.9432850851666056,-0.02232142370607248,0.5054492794732243,0.511903068613762,0.47303235778022523,0.45611638980813907,0.6595113065267372,0.502046115301769,-0.5896279478844636,0.23332629406994243,0.37628854117640564,0.6817853617248129,0.6286491593085496,0.47360401032901017,0.5156638389384807,0.4999547594911355,0.4061485821785762,0.782727640667716,0.5891364991994026,0.49634228273969505,0.4999547594911355,0.0
