hold_count,lookback,btc_ma,asset_ma,target_vol,total_return,cagr,sharpe,max_drawdown,calmar,annualized_turnover,avg_gross_exposure,stress15_total_return,stress15_sharpe,stress15_max_drawdown,pareto
1,45,100,50,1.0,2.6127877176783203,0.31251626420669965,0.7362226223185009,-0.5870594749216709,0.5323417431400754,18.9821002701365,0.3525974978669705,2.3026013128682092,0.7057291227229758,-0.5931266651296689,True
1,45,100,50,0.9,2.497579909019113,0.30354137537845394,0.7383964953802586,-0.5606792580719056,0.5413814957633507,18.027667483320048,0.32770157895342694,2.211767760409788,0.7070303514339167,-0.5667459679159235,True
3,30,50,0,0.7,2.488968811471133,0.30286124349638555,0.8053893538368418,-0.500975499892192,0.6045430236839129,20.836860840041084,0.3616000455283916,2.1616728558423386,0.7598309007166365,-0.5041843681171019,True
2,30,50,0,0.9,2.46723788899014,0.301138963921717,0.7499163560124223,-0.5635535428763268,0.5343573254543494,23.799228173158784,0.39730012073981597,2.0982206317620125,0.7065452831465717,-0.5667538439142837,False
3,30,50,0,0.8,2.3911383578639342,0.2950398337665965,0.7607128704818528,-0.536739283471792,0.5496892864971418,22.534379249464536,0.3961696066395423,2.0484378818425357,0.7163102463293337,-0.5404049909805655,False
2,30,50,0,1.0,2.380424713076569,0.2941725285944221,0.7298566035866776,-0.5648208191449147,0.5208245139401404,24.752048450975643,0.4191491194873886,2.0070572050698767,0.6871280709476635,-0.5680246819102164,False
1,45,100,50,0.8,2.369569706848015,0.29329156704029424,0.7458764704255001,-0.5241683551081624,0.5595369582732124,16.68912336054251,0.2987290885711711,2.1138877766423043,0.7138325187641092,-0.5302022818795271,False
2,30,50,0,0.8,2.353640186764924,0.29199471316952774,0.7535348331526833,-0.5575143542863426,0.5237438478930313,22.462352187108532,0.36932923443456234,2.015730721542436,0.7095959425537539,-0.5607025870293333,False
3,30,50,0,0.9,2.2905866105787984,0.28681325097011756,0.7317827097106294,-0.5416578195553781,0.5295100349618314,23.61195358239501,0.42171507739278485,1.9430040975297072,0.6884747318748714,-0.5461904142764997,False
2,30,50,0,0.7,2.261440763613389,0.2843916866464977,0.7732059820026974,-0.5167531926035385,0.5503433567844208,20.43845424986969,0.3312836373887695,1.96104334516072,0.7285901479691667,-0.5199472566171642,False
3,30,50,0,0.6,2.257622618829198,0.2840731961543572,0.8249702037946536,-0.44777978494464443,0.6344037978165428,18.626546280784826,0.31949728706336306,1.9830588836756733,0.7783495279631041,-0.4508044488842927,True
3,30,50,50,0.7,2.177679965823789,0.2773362119655385,0.7686499971477689,-0.5029307114487525,0.5514401997178461,23.73771592503715,0.3583103770206195,1.8403713855859092,0.7156418401690219,-0.5084422281539456,False
1,30,50,50,0.8,2.080277962332435,0.26894488388991156,0.7049405208650289,-0.5089991447013845,0.5283798346020678,21.404765050524215,0.3190039592858836,1.7837479140539392,0.6649033603703549,-0.5166337017177867,False
1,30,50,50,0.9,2.052885351171745,0.2665473235556157,0.686161782153635,-0.5565602724413572,0.47891906187698813,23.125162060123714,0.3478478181385793,1.7366104035867904,0.6467760672994588,-0.5640697090669389,False
3,30,50,50,0.6,2.0509519517018715,0.2663774614291461,0.7977669242248636,-0.4500080848473341,0.5919392793120929,21.237795860307227,0.3165477944468115,1.7595368648393248,0.7435286355056541,-0.4553791800430199,False
2,30,50,0,0.6,2.00011779794693,0.2618805927972365,0.7825671092910311,-0.4638969519547961,0.5645232021760626,18.01712481487838,0.28915731839014364,1.7551728537410103,0.7372997721645115,-0.4669654231325885,False
1,30,50,50,0.7,1.979575923091125,0.2600463750991402,0.7175608660362437,-0.4557213142371589,0.5706258780861218,19.421705910364164,0.28699442711595086,1.7181351667769191,0.6768041401691545,-0.4626824473036054,False
1,30,50,0,0.8,1.9188100929507792,0.2545614993401344,0.6824247821459738,-0.5394835953094744,0.47186142739726006,21.406318319246807,0.32600583047309395,1.6377985687330452,0.6426702559191284,-0.5466319664670056,False
3,30,50,0,0.5,1.8575457264597732,0.2489397305953387,0.8259961917069369,-0.38939504549031767,0.6392986594934182,16.03094087866252,0.27192047870875297,1.6490255350838807,0.7786847460807719,-0.3921652252665484,True
3,30,50,50,0.5,1.7346858518071624,0.2373732011626608,0.8070566103097024,-0.38972229964082794,0.6090829325943791,18.32254670149573,0.2694411160736149,1.5078216355140546,0.7518949816116313,-0.39469899136571407,False
1,30,50,100,0.8,1.7332593241816423,0.23723651694811565,0.6579826844062173,-0.5394835953094741,0.4397474158820811,20.337081714368438,0.305555978632254,1.4826462038971253,0.619773606529609,-0.5475609947694722,False
3,30,100,0,0.5,1.6470538774367864,0.22887028051210057,0.7673855753713054,-0.42991189318197076,0.5323655477826607,15.468631326498596,0.2798360828152975,1.4604160253625675,0.7229041800923308,-0.4433242325576796,False
2,30,50,0,0.5,1.6384246315400635,0.22802104049359695,0.7819606475692452,-0.4048851951456497,0.5631745572015069,15.35063018218344,0.24436488478857082,1.4537655754244643,0.7360749805654427,-0.4077061346987346,False
