strategy,total_return,cagr,annualized_volatility,sharpe,sortino,max_drawdown,calmar,monthly_win_rate,annualized_turnover,avg_turnover_per_rebalance,average_holdings,variant,frequency,top_k,stop_lookback,immediate_reentry,risk_on_fraction,total_return_delta_vs_momentum,cagr_delta_vs_momentum,sharpe_delta_vs_momentum,drawdown_improvement_vs_momentum
SECTOR_LEAD_V3_top1_7D_NO_STOP,3.873624584219203,0.37244539615779915,0.45878761055364464,0.9091570518346214,1.7576290008161546,-0.6647605499695513,0.5602700042516944,0.21311475409836064,18.789704271631983,1.0561797752808988,0.18400876232201532,V3,7D,1.0,,False,,2.110395960633187,0.1471663238690344,0.22927883583576814,-0.17162983822988587
SECTOR_LEAD_V3_top2_7D_NO_STOP,3.8404037275187957,0.3705702571617675,0.33261397001027276,1.1110256665050957,1.9908505822986249,-0.4217643449089876,0.8786192138686657,0.2786885245901639,18.60074648166177,1.033941037306374,0.36801752464403065,V3,7D,2.0,,False,,2.0771751039327793,0.14529118487300274,0.4311474505062425,0.07136636683067776
SECTOR_LEAD_V3_top1_biweekly_BTC21_reentry_0,3.3559738319070647,0.34198312277584053,0.5099245425181642,0.8204615938150792,1.507058815153777,-0.53101131031897,0.6440222950626358,0.16393442622950818,9.994523548740416,1.25,0.18072289156626506,V3+STOP,biweekly,1.0,21.0,False,0.5021905805038335,1.5927452083210483,0.11670405048707577,0.14058337781622599,-0.03788059857930459
SECTOR_LEAD_V3_top1_biweekly_BTC14_reentry_0,2.6481427435497342,0.2952476154095758,0.43037394981608296,0.8079716818757027,1.4830784724664965,-0.36048736880288856,0.8190234692273356,0.14754098360655737,10.79408543263965,1.173913043478261,0.15060240963855423,V3+STOP,biweekly,1.0,14.0,False,0.5197152245345017,0.8849141199637178,0.06996854312081102,0.12809346587684944,0.13264334293677682
SECTOR_LEAD_V3_top1_7D_BTC21_reentry_0,2.594979278703363,0.29145242888506084,0.3642239655748914,0.8758171675809715,1.7021992995254103,-0.4904304592343345,0.5942788083351912,0.14754098360655737,12.792990142387733,1.0666666666666667,0.11226725082146768,V3+STOP,7D,1.0,21.0,False,0.5021905805038335,0.8317506551173466,0.06617335659629608,0.19593895158211827,0.0027002525053309023
SECTOR_LEAD_V3_top1_7D_BTC24_reentry_0,2.283790397722182,0.26828988145172605,0.37292944931707256,0.8151919522927242,1.5707401423004406,-0.5613279008225194,0.47795572081594057,0.16393442622950818,13.992332968236584,1.0606060606060606,0.11555312157721796,V3+STOP,7D,1.0,24.0,False,0.5043811610076671,0.5205617741361657,0.043010809162961294,0.135313736293871,-0.06819718908285399
SECTOR_LEAD_V3_top1_biweekly_BTC18_reentry_0,2.2698634618804903,0.2672128487831329,0.5002644995314732,0.7134914328894768,1.2768900167843082,-0.6354726948893148,0.42049461909559377,0.14754098360655737,11.593647316538883,1.183673469387755,0.17634173055859803,V3+STOP,biweekly,1.0,18.0,False,0.5082146768893757,0.5066348382944739,0.041933776494368136,0.033613216890623576,-0.1423419831496494
SECTOR_LEAD_V3_top1_7D_BTC24_reentry_1,2.1834628651460464,0.26044783175922337,0.38374333074358796,0.7866960571117422,1.4899410722899278,-0.5279671247269877,0.49330312354940886,0.18032786885245902,16.391018619934282,1.0512820512820513,0.12705366922234393,V3+STOP,7D,1.0,24.0,True,0.5043811610076671,0.42023424156003,0.03516875947045861,0.10681784111288894,-0.03483641298732232
SECTOR_LEAD_V3_top1_7D_BTC14_reentry_1,2.1261523071786352,0.25587902935192464,0.37585092088316163,0.786520360191523,1.4973128434383183,-0.49788764064600866,0.5139292652854807,0.19672131147540983,19.589266155531217,1.0208333333333333,0.12431544359255203,V3+STOP,7D,1.0,14.0,True,0.5197152245345017,0.36292368359261884,0.030599957063159877,0.10664214419266982,-0.004756928906343272
SECTOR_LEAD_V3_top1_7D_BTC21_reentry_1,2.1062263582170417,0.25427482741971996,0.38503133250048527,0.7719693948273977,1.4844559124794003,-0.4883797860756869,0.5206497784499082,0.16393442622950818,16.7907995618839,1.05,0.1248630887185104,V3+STOP,7D,1.0,21.0,True,0.5021905805038335,0.34299773463102534,0.028995755130955203,0.09209117882854445,0.0047509256639785
