cycle_days,target_volatility,vol_window,stop_mode,gate_mode,offset_days,cost_bps,multiple,cagr,sharpe,max_drawdown,annualized_turnover,average_exposure,average_holdings
14,0.5,60,own75,btc_ma100,0,2.0,3.2671402858709895,0.28486656581895287,0.7300581531810145,-0.3967992582281801,15.076446565770816,0.27614117312909003,0.43420289855072464
14,0.5,60,own75,btc_ma100,0,20.0,2.873417357192489,0.25040520014838763,0.6748930568916942,-0.4084214623409901,15.076446565770816,0.27614117312909003,0.43420289855072464
14,0.5,60,own75,btc_ma100,0,100.0,1.6186329373697692,0.1073381260844839,0.42789854830715585,-0.45759283721906596,15.076446565770816,0.27614117312909003,0.43420289855072464
14,0.6,60,own75,btc_ma100,0,2.0,3.648950123424995,0.3152868308452681,0.7502173042227912,-0.45709925402324025,16.956869819959078,0.31273399203673724,0.43420289855072464
14,0.6,60,own75,btc_ma100,0,20.0,3.1581664210977816,0.27567149437235305,0.6942543483107783,-0.469267903225966,16.956869819959078,0.31273399203673724,0.43420289855072464
14,0.6,60,own75,btc_ma100,0,100.0,1.655389760912947,0.11261495623858453,0.44357212187644296,-0.5203311321798474,16.956869819959078,0.31273399203673724,0.43420289855072464
14,0.5,60,own75,btc_ma100,1,2.0,2.76674355431935,0.2404301204990058,0.7545031053239603,-0.4577674081247226,16.16113021984389,0.2802537191609547,0.423768115942029
14,0.5,60,own75,btc_ma100,1,20.0,2.4109291148707457,0.2047998907759676,0.6777576831881116,-0.4777459550304617,16.16113021984389,0.2802537191609547,0.423768115942029
14,0.5,60,own75,btc_ma100,1,100.0,1.3029467192886586,0.05762551559269857,0.3355482979857833,-0.5584325759644146,16.16113021984389,0.2802537191609547,0.423768115942029
14,0.6,60,own75,btc_ma100,1,2.0,2.97973210942863,0.2600603587877506,0.7438821338608339,-0.5103401766204363,18.218880012518998,0.3176190664182131,0.423768115942029
14,0.6,60,own75,btc_ma100,1,20.0,2.551357299441955,0.2193275040600211,0.668751165846252,-0.5305112747703986,18.218880012518998,0.3176190664182131,0.423768115942029
14,0.6,60,own75,btc_ma100,1,100.0,1.274253922469208,0.052651160381711914,0.33388337762487924,-0.6110436701793692,18.218880012518998,0.3176190664182131,0.423768115942029
14,0.5,60,own75,btc_ma100,2,2.0,4.152683793058099,0.3517945561062039,0.9424735626485032,-0.40682440080953486,16.36910240204417,0.28548771303592385,0.4266666666666667
14,0.5,60,own75,btc_ma100,2,20.0,3.61222108034819,0.3124726779186857,0.8699819849937732,-0.43225693405872556,16.36910240204417,0.28548771303592385,0.4266666666666667
14,0.5,60,own75,btc_ma100,2,100.0,1.936687732670048,0.1502053404215431,0.5438908741491223,-0.5347359012200996,16.36910240204417,0.28548771303592385,0.4266666666666667
14,0.6,60,own75,btc_ma100,2,2.0,4.485808311354827,0.3740600692850016,0.9084638957099259,-0.4774940234091961,18.496353150695068,0.3231327955730004,0.4266666666666667
14,0.6,60,own75,btc_ma100,2,20.0,3.8318338445332625,0.3289758014315134,0.8372916415663617,-0.5022556052988381,18.496353150695068,0.3231327955730004,0.4266666666666667
14,0.6,60,own75,btc_ma100,2,100.0,1.8934863077303015,0.14472481456209274,0.5175463026705408,-0.6033861253431756,18.496353150695068,0.3231327955730004,0.4266666666666667
14,0.5,60,own75,btc_ma100,3,2.0,6.405554013778259,0.481704888862712,1.145439535442937,-0.37920783212521747,14.81054989826656,0.2666212155438979,0.4197101449275362
14,0.5,60,own75,btc_ma100,3,20.0,5.646368663708873,0.4426543152277518,1.082270396148789,-0.39020645621934946,14.81054989826656,0.2666212155438979,0.4197101449275362
