cycle_days,target_volatility,vol_window,stop_mode,gate_mode,cost_bps,basket_multiple,basket_cagr,basket_sharpe,basket_max_drawdown,train_multiple,train_sharpe,test_multiple,test_sharpe,test_max_drawdown,phase_median_multiple,phase_min_multiple,phase_max_multiple,phase_median_sharpe,phase_worst_drawdown,phase_median_exposure,phase_median_turnover
7,0.5,20,own75,btc_ma100,2.0,3.6842275928215935,0.3179688201500086,1.030267784606817,-0.3567817187630793,2.248024850925828,0.9928587196309708,1.6388731607234117,1.1023221977605422,-0.1916651513313271,3.8385747286802054,0.8171019196294552,9.206709054341013,0.9700044412324157,-0.5483798224827876,0.2705990613142528,24.470325355571745
7,0.5,20,own75,btc_ma100,20.0,2.9880826978202126,0.2608071645094592,0.8901550722079937,-0.38456334014695503,1.9569343992771426,0.8503418052043055,1.526920217113031,0.9665955993146305,-0.19960489854359298,3.132885399107274,0.6571499247909575,7.580480749541426,0.8575016140624938,-0.6030501620279323,0.2705990613142528,24.470325355571745
7,0.5,30,own75,btc_ma100,2.0,3.9149262377595706,0.3350256866764034,1.038267762909931,-0.3548908935871399,2.3689073985990126,1.0133562666604994,1.6526294949624798,1.0875941632164796,-0.19622917167577125,3.9759143416677363,0.8863364159406161,9.871619914887138,0.9780764203940333,-0.5589190626725316,0.27450204065427075,24.700940090497706
7,0.5,30,own75,btc_ma100,20.0,3.1600581130430028,0.27583323061562215,0.9011833890519932,-0.38304677645219065,2.055318337096664,0.8741124641132657,1.5375030018497735,0.954380860867004,-0.20445584523788263,3.2295784781299917,0.7072720207657434,8.084242340196454,0.8581256470744812,-0.6053845542555051,0.27450204065427075,24.700940090497706
7,0.5,60,own75,btc_ma100,2.0,4.999572104557695,0.40596956461542044,1.1159442039084366,-0.3675814118313797,2.740521653508405,1.0799179719637793,1.824314030928112,1.1873356906345431,-0.1894915533158017,4.32521832796984,1.1113619285983143,13.658006146811708,0.9548310060036096,-0.5605844095422929,0.29140548087717694,26.37716005125941
7,0.5,60,own75,btc_ma100,20.0,3.98291369267792,0.3399009511703597,0.9839910753698569,-0.3870592703852591,2.354363414796905,0.9451260502246375,1.6917157596171284,1.0605483750244644,-0.1975338443749557,3.4686296823672986,0.8723658540733779,11.030368139258266,0.8413028065796163,-0.5836540414383234,0.29140548087717694,26.37716005125941
7,0.6,20,own75,btc_ma100,2.0,4.418421757298424,0.3696638352380748,1.0383541079772025,-0.39001634171184296,2.526344443028244,1.0061626656337335,1.7489387757443757,1.100312601675692,-0.22449898250084976,4.525516088539047,0.7527769310248278,12.826440909618446,0.9874758933895491,-0.6216075305805735,0.3068175270429471,27.59798400394104
7,0.6,20,own75,btc_ma100,20.0,3.4856233120084954,0.30259664836856737,0.9017781947892519,-0.41900558145667843,2.1588430795792344,0.8669784352182464,1.614579283218608,0.9684869877812643,-0.23349850096056046,3.596070020235627,0.5871595283027269,10.288774135629653,0.8677643641091439,-0.6757684533505486,0.3068175270429471,27.59798400394104
7,0.6,30,own75,btc_ma100,2.0,4.616550713349524,0.3824431788086895,1.0329031293302502,-0.3886463865374795,2.6417939808586524,1.0154352443808794,1.7475059549681553,1.0674122737543235,-0.23224796063859565,4.4765820582791065,0.8286097291699863,13.522244632674317,0.949368334971982,-0.61748207756931,0.3136689939494223,28.136837069067713
7,0.6,30,own75,btc_ma100,20.0,3.6165129065718613,0.31280267522798244,0.8985210326786617,-0.41820277658805627,2.2466288193810136,0.8784114005971774,1.609750963476145,0.937810232880676,-0.2414950947231126,3.5333294929867582,0.6399514242299266,10.765271626281804,0.8328384285828057,-0.6742153485397655,0.3136689939494223,28.136837069067713
7,0.6,60,own75,btc_ma100,2.0,6.16164380284952,0.46957631268244104,1.1121624784382043,-0.4119988004781693,3.200447893050276,1.094323915080978,1.9252442185449816,1.1500103846180736,-0.22287689534983823,4.970430172905985,1.0591520182987972,18.435301246322805,0.9357210918221792,-0.6187267025659289,0.33280591003815985,30.094244548155217
