date,coin_id,symbol,name,price,volume_usd,market_cap,price_source,volume_source,market_cap_source,current_market_cap,current_rank
2021-01-01,pepe,PEPE,Pepe,0.007053,1036.76,2964295118654.4346,cryptocompare,cryptocompare,proxy_anchor,1590073814.0,52.0
2021-01-01,bitcoin,BTC,Bitcoin,29388.94,1487306218.52,588319130688.3264,cryptocompare,cryptocompare,proxy_anchor,1515152852412.0,1.0
2021-01-01,ethereum,ETH,Ethereum,730.6,320856381.75,88188254216.95308,cryptocompare,cryptocompare,proxy_anchor,277796098715.0,2.0
2021-01-01,filecoin,FIL,Filecoin,22.27,6370363.72,17221885691.945923,cryptocompare,cryptocompare,proxy_anchor,718746194.0,83.0
2021-01-01,ripple,XRP,XRP,0.2379,175586750.32,14647500312.1333,cryptocompare,cryptocompare,proxy_anchor,87944651031.0,4.0
2021-01-01,polkadot,DOT,Polkadot,8.294,28445476.78,13945055681.254251,cryptocompare,cryptocompare,proxy_anchor,2141346104.0,42.0
2021-01-01,litecoin,LTC,Litecoin,126.49,127656503.43,9746114875.36003,cryptocompare,cryptocompare,proxy_anchor,4278871853.0,25.0
2021-01-01,chainlink,LINK,Chainlink,11.88,59447580.29,8634376560.27263,cryptocompare,cryptocompare,proxy_anchor,6830639644.0,19.0
2021-01-01,bitcoin-cash,BCH,Bitcoin Cash,342.38,85074080.92,6855534729.904303,cryptocompare,cryptocompare,proxy_anchor,8931526249.0,16.0
2021-01-01,cardano,ADA,Cardano,0.1755,11119437.38,6486244881.938355,cryptocompare,cryptocompare,proxy_anchor,9185710657.0,15.0
2021-01-01,binancecoin,BNB,BNB,37.76,25193507.84,5088807129.239971,cryptocompare,cryptocompare,proxy_anchor,85130812268.0,5.0
2021-01-01,stellar,XLM,Stellar,0.1324,34676602.05,4391001906.704609,cryptocompare,cryptocompare,proxy_anchor,5872983271.0,20.0
2021-01-01,the-graph,GRT,The Graph,0.3629,29373203.25,3918561551.791461,cryptocompare,cryptocompare,proxy_anchor,268195477.0,149.0
2021-01-01,algorand,ALGO,Algorand,0.399,51245828.2,3557341189.6909456,cryptocompare,cryptocompare,proxy_anchor,926994774.0,74.0
2021-01-01,uniswap,UNI,Uniswap,4.753,35837010.14,3011299880.5719366,cryptocompare,cryptocompare,proxy_anchor,2058061102.0,44.0
2021-01-01,crypto-com-chain,CRO,Cronos,0.05965,1857578.35,2597644750.6865063,cryptocompare,cryptocompare,proxy_anchor,3050555428.0,34.0
2021-01-01,tron,TRX,TRON,0.0269,757836.94,2550726565.4399343,cryptocompare,cryptocompare,proxy_anchor,31410698540.0,8.0
2021-01-01,monero,XMR,Monero,135.95,113605573.8,2507157693.269026,cryptocompare,cryptocompare,proxy_anchor,6838727045.0,18.0
2021-01-01,tezos,XTZ,Tezos,2.011,11131360.63,2176438467.9004254,cryptocompare,cryptocompare,proxy_anchor,397157142.0,118.0
2021-01-01,theta-token,THETA,Theta Network,1.974,5132851.56,1973839793.9996302,cryptocompare,cryptocompare,proxy_anchor,220108300.0,166.0
2021-01-01,near,NEAR,NEAR Protocol,1.363,106280.46,1763000046.335125,cryptocompare,cryptocompare,proxy_anchor,1776627837.0,47.0
2021-01-01,vechain,VET,VeChain,0.0192,3063319.99,1650903560.4517114,cryptocompare,cryptocompare,proxy_anchor,614386926.0,89.0
2021-01-01,avalanche-2,AVAX,Avalanche,3.744,2440712.98,1614141006.0626824,cryptocompare,cryptocompare,proxy_anchor,4039334038.0,27.0
2021-01-01,hedera-hashgraph,HBAR,Hedera,0.03302,172158.8,1430188545.274401,cryptocompare,cryptocompare,proxy_anchor,3900574966.0,28.0
2021-01-01,aave,AAVE,Aave,90.87,13854142.05,1378930023.8550014,cryptocompare,cryptocompare,proxy_anchor,1402388194.0,55.0
2021-01-01,leo-token,LEO,LEO Token,1.394,187252.22,1283581917.7210786,cryptocompare,cryptocompare,proxy_anchor,9536017417.0,14.0
2021-01-01,solana,SOL,Solana,1.847,2079255.09,1062733740.8465655,cryptocompare,cryptocompare,proxy_anchor,49354817048.0,7.0
2021-01-01,neo,NEO,NEO,14.49,13975721.78,1021583960.1447493,cryptocompare,cryptocompare,proxy_anchor,200841493.0,175.0
2021-01-01,zcash,ZEC,Zcash,56.81,44085498.78,945743506.1693077,cryptocompare,cryptocompare,proxy_anchor,5349411156.0,22.0
2021-01-01,ethereum-classic,ETC,Ethereum Classic,5.706,4610102.89,892958637.8554826,cryptocompare,cryptocompare,proxy_anchor,1326777625.0,59.0
2021-01-01,dogecoin,DOGE,Dogecoin,0.005699,1639311.25,877284772.8084378,cryptocompare,cryptocompare,proxy_anchor,14599392802.0,10.0
2021-01-01,injective-protocol,INJ,Injective,4.109,1067714.39,410901141.74725443,cryptocompare,cryptocompare,proxy_anchor,327154015.0,133.0
2021-01-01,okb,OKB,OKB,9.222,13361193.78,193650468.46213987,cryptocompare,cryptocompare,proxy_anchor,1755418075.0,48.0
2021-01-01,decentraland,MANA,Decentraland,0.08337,115546.77,161173037.95712736,cryptocompare,cryptocompare,proxy_anchor,176437837.0,191.0
2021-01-01,axie-infinity,AXS,Axie Infinity,0.5925,950209.82,100607756.34448026,cryptocompare,cryptocompare,proxy_anchor,187570793.0,186.0
2021-01-01,whitebit,WBT,WhiteBIT Coin,0.0,0.0,0.0,cryptocompare,cryptocompare,proxy_anchor,11678412208.0,11.0
2021-01-01,sui,SUI,Sui,0.0,0.0,0.0,cryptocompare,cryptocompare,proxy_anchor,3736312381.0,29.0
2021-01-01,shiba-inu,SHIB,Shiba Inu,0.0,0.0,0.0,cryptocompare,cryptocompare,proxy_anchor,3580883262.0,32.0
2021-01-01,the-open-network,TON,Toncoin,0.0,0.0,0.0,cryptocompare,cryptocompare,proxy_anchor,3432102503.0,33.0
2021-01-01,world-liberty-financial,WLFI,World Liberty Financial,0.0,0.0,0.0,cryptocompare,cryptocompare,proxy_anchor,2514622744.0,37.0
2021-01-01,bittensor,TAO,Bittensor,0.0,0.0,0.0,cryptocompare,cryptocompare,proxy_anchor,2335646118.0,39.0
2021-01-01,sky,SKY,Sky,0.0,0.0,0.0,cryptocompare,cryptocompare,proxy_anchor,1842792529.0,45.0
2021-01-01,aster-2,ASTER,Aster,0.0,0.0,0.0,cryptocompare,cryptocompare,proxy_anchor,1666102901.0,50.0
2021-01-01,htx-dao,HTX,HTX DAO,0.0,0.0,0.0,cryptocompare,cryptocompare,proxy_anchor,1644315922.0,51.0
2021-01-01,internet-computer,ICP,Internet Computer,0.0,0.0,0.0,cryptocompare,cryptocompare,proxy_anchor,1361733923.0,56.0
2021-01-01,bitget-token,BGB,Bitget Token,0.0,0.0,0.0,cryptocompare,cryptocompare,proxy_anchor,1329292631.0,58.0
2021-01-01,render-token,RENDER,Render,0.0,0.0,0.0,cryptocompare,cryptocompare,proxy_anchor,928908961.0,73.0
2021-01-01,arbitrum,ARB,Arbitrum,0.0,0.0,0.0,cryptocompare,cryptocompare,proxy_anchor,768404106.0,80.0
2021-01-01,optimism,OP,Optimism,0.0,0.0,0.0,cryptocompare,cryptocompare,proxy_anchor,263455782.0,152.0
2021-01-01,immutable-x,IMX,Immutable,0.0,0.0,0.0,cryptocompare,cryptocompare,proxy_anchor,147508128.0,218.0
2021-01-01,eos,EOS,EOS,2.64,11889011.72,0.0,cryptocompare,cryptocompare,proxy_anchor,0.0,
2021-01-01,maker,MKR,Maker,582.36,3073420.67,0.0,cryptocompare,cryptocompare,proxy_anchor,0.0,
2021-01-01,fantom,FTM,Fantom,0.0173,15173.57,0.0,cryptocompare,cryptocompare,proxy_anchor,0.0,
2021-01-02,pepe,PEPE,Pepe,0.006763,2943.33,2842411440161.625,cryptocompare,cryptocompare,proxy_anchor,1590073814.0,52.0
2021-01-02,bitcoin,BTC,Bitcoin,32203.64,3750440817.91,644664880386.9692,cryptocompare,cryptocompare,proxy_anchor,1515152852412.0,1.0
