strategy,cost_bps,period,start,end,days,multiple,cagr,sharpe,max_drawdown
primary,2.0,stress_2020_10_to_2021_12,2020-10-03,2021-12-31,455,4.6846382276943235,2.4609865734090004,2.4354396701800023,-0.184558761074319
primary,20.0,stress_2020_10_to_2021_12,2020-10-03,2021-12-31,455,4.54747158058135,2.379277786759502,2.3935946089315725,-0.18876419848509374
primary,50.0,stress_2020_10_to_2021_12,2020-10-03,2021-12-31,455,4.327599776022505,2.2472837351905857,2.3237223853737152,-0.19572931465655208
primary,100.0,stress_2020_10_to_2021_12,2020-10-03,2021-12-31,455,3.9841891798184,2.038450487685812,2.2069458546860945,-0.20742992125181103
parameter_ensemble,2.0,stress_2020_10_to_2021_12,2020-10-03,2021-12-31,455,4.6683031526609575,2.451280789516954,2.516545184338931,-0.18681550731529573
parameter_ensemble,20.0,stress_2020_10_to_2021_12,2020-10-03,2021-12-31,455,4.523252613899759,2.364800950696926,2.4701493200570184,-0.19096617838739982
parameter_ensemble,50.0,stress_2020_10_to_2021_12,2020-10-03,2021-12-31,455,4.291347370047059,2.2253958077350817,2.392710705889404,-0.19784020488580045
parameter_ensemble,100.0,stress_2020_10_to_2021_12,2020-10-03,2021-12-31,455,3.930701891169236,2.005612692765675,2.2633698622375182,-0.2091763370110432
