strategy,removed_year,days,multiple,cagr,sharpe,max_drawdown
primary,2022,1360,29.911132834563077,1.491029960808798,1.7336745825641744,-0.4491912481307191
primary,2023,1360,4.825753418672256,0.5261309893717212,1.1117823511872587,-0.44919124813071876
primary,2024,1359,12.935438318740404,0.9898570806042133,1.500983611109632,-0.3961627966180541
primary,2025,1360,13.95224319864409,1.0296834493206646,1.484927463342486,-0.4491912481307183
primary,2026,1461,10.906898176607601,0.8172945103458975,1.2930677693934067,-0.4491912481307183
parameter_ensemble_20bps,2022,1360,20.120807762182665,1.2394061865493353,1.6073117558405778,-0.47150406699092506
parameter_ensemble_20bps,2023,1360,3.911773716146695,0.44244624997255433,1.0108294532103093,-0.4715040669909246
parameter_ensemble_20bps,2024,1359,9.24249046833217,0.8179522261338787,1.382776231084798,-0.3934060714644223
parameter_ensemble_20bps,2025,1360,10.609376862746402,0.8857304806809452,1.3983026611677014,-0.4715040669909252
parameter_ensemble_20bps,2026,1461,8.426398321498882,0.7037681532250877,1.209439855892673,-0.4715040669909252
