strategy,annualized_turnover,avg_turnover_per_rebalance,average_holdings
TOP20_SECTOR_top4_biweekly__bull_only,10.857875684169954,0.9534890110540019,2.1565407772304326
TOP20_SECTOR_top3_biweekly__bull_only,11.201887944245732,0.9836985952481111,1.6365626710454297
TOP20_SECTOR_top2_biweekly__bull_only,13.14887062168583,1.1546737142907963,1.0782703886152163
TOP20_MOM_top8_biweekly__bull_only,9.447427453798007,0.8296298946449872,2.8385331143951835
ETH_BH__always_on,0.19978106185002736,1.0,0.983032293377121
ETH_BH__bull_only,2.5971538040503557,1.0,0.33169129720853857
TOP20_MOM_top6_biweekly__bull_only,9.85468148937861,0.8653930824847259,2.1652983032293376
TOP20_MOM_top4_biweekly__bull_only,11.241594575491611,0.9871854501044545,1.4537493158182813
BTC_BH__always_on,0.19978106185002736,1.0,0.983032293377121
TOP20_EQ__always_on,7.314257217128039,0.6423046352171559,11.365079365079366
TOP20_SECTOR_top4_monthly__always_on,12.314165632040549,1.0813737375504966,5.162014230979748
TOP20_MOM_top8_biweekly__always_on,17.18133560075348,0.6935550186163637,7.221674876847291
TOP20_EQ__bull_only,4.222577897328971,0.8129241115300349,4.598795840175151
TOP20_SECTOR_top4_biweekly__always_on,21.59737972648763,0.8718164551545051,5.305966064586754
TOP20_MOM_top6_biweekly__always_on,18.94799409239341,0.7648693152187971,5.590585659551177
TOP20_SECTOR_top3_monthly__always_on,12.969148588856077,1.1388913468800796,4.114395183360701
TOP20_MOM_top4_monthly__always_on,13.231128099075686,1.16189718995488,3.8007662835249043
TOP20_MOM_top4_monthly__bull_only,5.891666524667512,1.1342544510608583,1.3267651888341543
TOP20_SECTOR_top3_monthly__bull_only,5.735363999796492,1.1041633327321594,1.541871921182266
TOP20_MOM_top8_monthly__always_on,10.327819760507094,0.9069419227323461,7.098522167487685
TOP20_MOM_top6_monthly__always_on,11.594148846720282,1.0181451546723363,5.566502463054187
TOP20_SECTOR_top4_monthly__bull_only,5.4012083610668595,1.0398322102917967,1.922824302134647
TOP20_SECTOR_top3_biweekly__always_on,24.264738195195815,0.9794891003672724,4.111658456486043
TOP20_MOM_top4_biweekly__always_on,23.64335237989982,0.954405762219995,3.7679255610290094
TOP20_MOM_top8_monthly__bull_only,5.229570254943124,1.0067887097767214,2.6042692939244665
TOP20_MOM_top6_monthly__bull_only,5.647594446582681,1.0872660752272452,1.9901477832512315
TOP20_SECTOR_top2_biweekly__always_on,29.19979868263948,1.1787015508878111,2.7334428024083195
TOP20_SECTOR_top2_monthly__always_on,15.217919085294533,1.3363680927100747,2.7350848385331146
TOP20_SECTOR_top2_monthly__bull_only,6.7177313920625545,1.2932871710535603,0.9616858237547893
BTC_BH__bull_only,2.5971538040503557,1.0,0.33169129720853857
