,BTC_BH__always_on,ETH_BH__always_on,TOP20_EQ__always_on,TOP20_MOM_top4_monthly__always_on,TOP20_MOM_top4_biweekly__always_on,TOP20_MOM_top6_monthly__always_on,TOP20_MOM_top6_biweekly__always_on,TOP20_MOM_top8_monthly__always_on,TOP20_MOM_top8_biweekly__always_on,TOP20_SECTOR_top2_monthly__always_on,TOP20_SECTOR_top2_biweekly__always_on,TOP20_SECTOR_top3_monthly__always_on,TOP20_SECTOR_top3_biweekly__always_on,TOP20_SECTOR_top4_monthly__always_on,TOP20_SECTOR_top4_biweekly__always_on,BTC_BH__bull_only,ETH_BH__bull_only,TOP20_EQ__bull_only,TOP20_MOM_top4_monthly__bull_only,TOP20_MOM_top4_biweekly__bull_only,TOP20_MOM_top6_monthly__bull_only,TOP20_MOM_top6_biweekly__bull_only,TOP20_MOM_top8_monthly__bull_only,TOP20_MOM_top8_biweekly__bull_only,TOP20_SECTOR_top2_monthly__bull_only,TOP20_SECTOR_top2_biweekly__bull_only,TOP20_SECTOR_top3_monthly__bull_only,TOP20_SECTOR_top3_biweekly__bull_only,TOP20_SECTOR_top4_monthly__bull_only,TOP20_SECTOR_top4_biweekly__bull_only
2022-06-30,-0.705273967958733,-0.7776893225274739,-0.83439749864075,-0.8363532604354327,-0.7601244975899142,-0.8354825903024964,-0.7644590111749977,-0.8565070401942891,-0.8022605629046844,-0.8884764738455494,-0.8842904745781057,-0.8770683183475773,-0.8397485828513801,-0.8766637129123238,-0.8295964685022497,-0.5538361258467364,-0.42470801226484844,-0.6188894875605732,-0.6644198930428877,-0.4341829882988135,-0.6420089235307488,-0.4449872165478339,-0.646815852123231,-0.46467789827017403,-0.763571880382966,-0.3854787036852908,-0.709612543604637,-0.3898354851106476,-0.6633519769298062,-0.4354336287672733
2022-07-01,-0.7150321973011051,-0.7800838500344007,-0.8406143616191724,-0.8459440756107078,-0.7703991358565113,-0.8435917817004626,-0.7746072261424874,-0.8624472322114646,-0.8098009656642666,-0.8915090600921967,-0.8883770300682098,-0.8814887456047793,-0.8453017681484325,-0.8805758410650212,-0.8346991932885764,-0.5538361258467364,-0.42470801226484844,-0.6188894875605732,-0.6644198930428877,-0.4341829882988135,-0.6420089235307488,-0.4449872165478339,-0.646815852123231,-0.46467789827017403,-0.763571880382966,-0.3854787036852908,-0.709612543604637,-0.3898354851106476,-0.6633519769298062,-0.4354336287672733
2022-07-02,-0.715382608868151,-0.7784874983631161,-0.8396161041478563,-0.8456322985906293,-0.7683616449843101,-0.8431233745119846,-0.7728866587603864,-0.8617557735800809,-0.8086000463666287,-0.8911526816836662,-0.8876911527584956,-0.8803798011718288,-0.8433718378292574,-0.8796288729182111,-0.8329978429060819,-0.5538361258467364,-0.42470801226484844,-0.6188894875605732,-0.6644198930428877,-0.4341829882988135,-0.6420089235307488,-0.4449872165478339,-0.646815852123231,-0.46467789827017403,-0.763571880382966,-0.3854787036852908,-0.709612543604637,-0.3898354851106476,-0.6633519769298062,-0.4354336287672733
2022-07-03,-0.7143677920992032,-0.776978447173855,-0.8386268902373957,-0.845260451718868,-0.7674705571318653,-0.8421619524570235,-0.7717582685169677,-0.8610344135941406,-0.8076936428673275,-0.8903902376513367,-0.8864013205210048,-0.8797160626230249,-0.8422162393900771,-0.8790617023288171,-0.8319862668280751,-0.5538361258467364,-0.42470801226484844,-0.6188894875605732,-0.6644198930428877,-0.4341829882988135,-0.6420089235307488,-0.4449872165478339,-0.646815852123231,-0.46467789827017403,-0.763571880382966,-0.3854787036852908,-0.709612543604637,-0.3898354851106476,-0.6633519769298062,-0.4354336287672733
2022-07-04,-0.7007688032741788,-0.7610024589635773,-0.8304228506338527,-0.8385754198455225,-0.7578773573759342,-0.836196406237769,-0.7629303584410055,-0.8555853331507027,-0.7996016224351129,-0.88521494291111,-0.8819028806678654,-0.8750687253494644,-0.8362404595427171,-0.8743912838957631,-0.8255867842352997,-0.5538361258467364,-0.42470801226484844,-0.6188894875605732,-0.6644198930428877,-0.4341829882988135,-0.6420089235307488,-0.4449872165478339,-0.646815852123231,-0.46467789827017403,-0.763571880382966,-0.3854787036852908,-0.709612543604637,-0.3898354851106476,-0.6633519769298062,-0.4354336287672733
2022-07-05,-0.7015699977823547,-0.7647127294495707,-0.8327758439108724,-0.8405498415913211,-0.7603690364699682,-0.8386776784065388,-0.7655491320675463,-0.8577456544299025,-0.8013987539888558,-0.8864058076844618,-0.8826440250959068,-0.8771238537167714,-0.8379311872208025,-0.8766779693069977,-0.8279420031527249,-0.5538361258467364,-0.42470801226484844,-0.6188894875605732,-0.6644198930428877,-0.4341829882988135,-0.6420089235307488,-0.4449872165478339,-0.646815852123231,-0.46467789827017403,-0.763571880382966,-0.3854787036852908,-0.709612543604637,-0.3898354851106476,-0.6633519769298062,-0.4354336287672733
2022-07-06,-0.6958504579036826,-0.7536027038206434,-0.8283507528256757,-0.8384708878205067,-0.7570133211702231,-0.8361925310932243,-0.7619921264886718,-0.8552831531993451,-0.7978041936260983,-0.8830893307043538,-0.8793724819286208,-0.874864664250703,-0.8347342963163049,-0.8744806743709923,-0.8247031974411577,-0.5538361258467364,-0.42470801226484844,-0.6188894875605732,-0.6644198930428877,-0.4341829882988135,-0.6420089235307488,-0.4449872165478339,-0.646815852123231,-0.46467789827017403,-0.763571880382966,-0.3854787036852908,-0.709612543604637,-0.3898354851106476,-0.6633519769298062,-0.4354336287672733
2022-07-07,-0.6800581028862835,-0.742954123596697,-0.8218455220005679,-0.8321029946597345,-0.7506385581318955,-0.8301928108917922,-0.7534550779497148,-0.8505092849662776,-0.7907758458024885,-0.8809695484362948,-0.8768306682789233,-0.8709564520636266,-0.8297098294455173,-0.8698008077698285,-0.8182725817585592,-0.5538361258467364,-0.42470801226484844,-0.6188894875605732,-0.6644198930428877,-0.4341829882988135,-0.6420089235307488,-0.4449872165478339,-0.646815852123231,-0.46467789827017403,-0.763571880382966,-0.3854787036852908,-0.709612543604637,-0.3898354851106476,-0.6633519769298062,-0.4354336287672733
2022-07-08,-0.68034160020394,-0.747660035294338,-0.82497715072249,-0.836557262638873,-0.7586932357684297,-0.8339748555617171,-0.7593193114465044,-0.8535082632666797,-0.7945982262623639,-0.88163679491364,-0.8774413703751386,-0.8734233991931298,-0.8327140723691302,-0.8721355817042222,-0.8213260929536934,-0.5538361258467364,-0.42470801226484844,-0.6188894875605732,-0.6644198930428877,-0.4341829882988135,-0.6420089235307488,-0.4449872165478339,-0.646815852123231,-0.46467789827017403,-0.763571880382966,-0.3854787036852908,-0.709612543604637,-0.3898354851106476,-0.6633519769298062,-0.4354336287672733
2022-07-09,-0.6804967465166836,-0.7471341538192924,-0.8224090071086079,-0.8317511617965496,-0.755192389986712,-0.8301918552988496,-0.7548830596085806,-0.8503542534963979,-0.7915173316677473,-0.8796074791095378,-0.8758989624057394,-0.8707666829859033,-0.8302159837675158,-0.8694390531580677,-0.8183503141677101,-0.5538361258467364,-0.42470801226484844,-0.6188894875605732,-0.6644198930428877,-0.4341829882988135,-0.6420089235307488,-0.4449872165478339,-0.646815852123231,-0.46467789827017403,-0.763571880382966,-0.3854787036852908,-0.709612543604637,-0.3898354851106476,-0.6633519769298062,-0.4354336287672733
